"","Iteration","Intercept","scPreClim","scInvClim","InvTime"
"1",1,0.0174859131326985,-0.126675751553968,-0.136250758398028,0.0502078317969386
"2",51,-0.090514697803219,-0.120795577254101,-0.041583773213308,0.0643130031443493
"3",101,-0.227735664820938,-0.0308195736790214,-0.0692131613095755,-0.0238017609579055
"4",151,-0.0130298115742464,-0.11678713869427,-0.159372278344538,0.0378368799834006
"5",201,-0.0192582552028696,-0.0915156099799054,-0.15419235698877,0.0944967253385062
"6",251,-0.0280707707740275,-0.126215218799378,-0.109187998388414,0.0555579616627422
"7",301,-0.199170979974156,0.0926656551940745,-0.0350556471972569,-0.0577551212684642
"8",351,-0.0601688605333188,-0.075230413408264,-0.1102980377972,-0.0095661373232598
"9",401,-0.197792202200943,-0.0608684448195901,-0.0570395465472304,0.0125912064499825
"10",451,-0.0179245811183119,-0.117147644947901,-0.152664540822602,0.0325897341248091
"11",501,-0.0446483423412931,-0.0710952462807791,-0.155582196972532,0.0999895264104587
"12",551,-0.0863322458344443,-0.122941341741015,-0.0831869952663999,0.0527874841334365
"13",601,0.0167330159592061,0.0265498985993395,0.131189569830377,0.00360932312305348
"14",651,-0.114141592855453,-0.114562723042661,-0.12824123186148,0.0298964774819096
"15",701,-0.110167297290864,-0.108490222611148,-0.0913933868187558,0.00107451236696378
"16",751,-0.0654252311874334,-0.123340680358789,-0.1586145814992,0.0331343007910525
"17",801,-0.0844891532893176,-0.115520323540791,-0.197602808175936,-0.00538102324940068
"18",851,-0.0841034275842417,-0.116640847725359,-0.12261865511636,0.0437793147301837
"19",901,-0.0435112826163931,-0.0645701049830307,-0.153116862117454,0.103607682425862
"20",951,-0.0909179782397782,-0.118830843588231,-0.150725984576963,-0.00565424705076655
"21",1001,-0.0634925055091699,-0.0402103002365785,-0.119486104087477,0.099781830659814
"22",1051,-0.0363043088147236,-0.06306367852875,-0.149444960532281,0.0955352521235335
"23",1101,-0.0929870328706816,-0.093001138550626,-0.0942322443910688,-0.0380593660635747
"24",1151,-0.13520389526284,-0.0917662172605272,-0.115379798424893,-0.00445133403257598
"25",1201,-0.0428235162067919,-0.114681550238694,-0.177676700805664,0.0271089156697356
"26",1251,-0.0907714094309136,-0.101103271635051,-0.0152239657819342,0.0695440679530662
"27",1301,-0.0437964100057347,-0.0456458745959672,-0.116927058362676,0.128161544411602
"28",1351,-0.0521147375140091,-0.12426961797194,-0.106455582712606,-0.0159984347718084
"29",1401,-0.0545034384710126,-0.114840599356472,-0.175183512464543,0.0412730551390425
"30",1451,-0.0715787947921737,-0.114079088419807,-0.150979206807083,0.00415340836638233
"31",1501,-0.0325901158303251,-0.115880390276545,-0.160747311494813,0.0401641853217559
"32",1551,-0.0517221224969628,-0.0618117965428651,-0.144430475035254,0.09204095260007
"33",1601,-0.0417040418069065,-0.116502300036434,-0.163359388299172,0.0379490964139309
"34",1651,-0.0406700394311322,-0.120521860487962,-0.157949117634326,0.0376498281570145
"35",1701,-0.0720018076545207,-0.121068312230141,-0.111657033699656,0.0535079627815602
"36",1751,-0.180034599395086,0.0693762343789788,-0.11363514716131,-0.0972945487800666
"37",1801,-0.0750915965964338,-0.0499162965564512,-0.125865299603441,0.125693178109556
"38",1851,-0.202524319523725,0.0711029322184379,0.00743806915051508,-0.0335985489252577
"39",1901,-0.143613283678227,-0.106843288110286,-0.0604187611840486,0.0330924906292372
"40",1951,-0.141410475146292,-0.114691036728836,-0.0427979181468319,0.0331711983356773
