"","Iteration","AbSpec","units"
"1",1,0.00588076330924009,0.0290134298444025
"2",51,0.000805408741256679,0.0238525295394717
"3",101,-0.00179139268361903,0.0326377760274188
"4",151,-0.0218058948928868,0.0258437423869738
"5",201,-0.0214815598053186,0.0250907794876433
"6",251,0.435951257609022,0.0288849191336472
"7",301,0.00804117079680357,0.0316598173480698
"8",351,-0.00255609492674436,0.0294278622413162
"9",401,0.0159496945684479,0.0340281781113998
"10",451,-0.00184969055570068,0.026276247628667
"11",501,-0.0212861369742238,0.0235044704282338
"12",551,0.0860842048812094,0.0290719290057418
"13",601,-0.00336442731324537,0.0316394375733531
"14",651,0.211099440962465,0.0276439169604357
"15",701,0.0314005029531825,0.0281431178375982
"16",751,0.222481257436286,0.0270695742067649
"17",801,0.000251337871559568,0.0239381203169891
"18",851,0.246265883775148,0.0275478248911016
"19",901,-0.0224052880436872,0.0225409152578272
"20",951,-0.0193688414009822,0.0251656480920862
"21",1001,0.0014474479078938,0.0230991175454952
"22",1051,-0.0224373686388623,0.0222844940325571
"23",1101,0.00641357333188642,0.0294453011887427
"24",1151,0.487829259346643,0.0265921559888939
"25",1201,-0.0235241609017672,0.0260067482550319
"26",1251,0.00338111196644046,0.0211227321370282
"27",1301,0.000198739171410815,0.0221053932485086
"28",1351,0.0110397242537674,0.0275021824316097
"29",1401,0.00602128123165836,0.0273544861863001
"30",1451,0.195566651542112,0.0265655592735787
"31",1501,-0.0231995987376585,0.0256914077416903
"32",1551,-0.0116838417540998,0.0239347186363526
"33",1601,-0.00709070332389674,0.0285564836066613
"34",1651,0.234135573396041,0.0260101798485082
"35",1701,0.240317345426017,0.0293151071932335
"36",1751,0.00104211718514302,0.0234891707931913
"37",1801,-0.0230042856664884,0.0227960747636296
"38",1851,-0.0138141364708329,0.0275749924589493
"39",1901,0.00477626536817114,0.0313184721444371
"40",1951,0.000911170504734955,0.0304411793629593
"41",2001,-0.00204502874331081,0.0270233670372652
"42",2051,-0.0227744950960863,0.0231933240913497
"43",2101,0.257036977606462,0.0274194757876044
"44",2151,-0.0241381502241534,0.0256014983247302
"45",2201,-0.0129581296628897,0.0266626722613492
"46",2251,0.0210668576545542,0.0382038889636587
"47",2301,-0.0235026710527824,0.0261138627922456
"48",2351,-0.0225267073110347,0.0232176477707631
"49",2401,0.000469780689635547,0.0224830445902479
"50",2451,-0.00881120035183582,0.0225671931895132
"51",2501,-0.000865320966555381,0.0250664050847699
"52",2551,0.121793983140834,0.0318779670993708
"53",2601,0.0431041488782325,0.0315841399628646
"54",2651,-0.0183807120611381,0.0253214301850216
"55",2701,-0.000784215955600551,0.0247513049190502
"56",2751,-0.0101580515109156,0.0290426546961997
"57",2801,0.000180947406887516,0.026181298448068
"58",2851,-0.00377500594575997,0.023921939345733
"59",2901,-0.00157652521564526,0.0215297310258882
"60",2951,0.248657003789124,0.0277697245011874
"61",3001,0.0368165233215702,0.0303801814056837
"62",3051,0.00255386296545002,0.0218201340161952
"63",3101,0.00869470650085879,0.0278647324974249
"64",3151,-0.000935235218559155,0.0305100939337387
"65",3201,0.000740015878473799,0.0228654881642912
"66",3251,-0.00128315492706589,0.0242380781443214
"67",3301,0.199848080981535,0.0269024048769342
"68",3351,-0.000304736778732457,0.0300800320680352
"69",3401,0.136745762402513,0.0254273577038845
"70",3451,0.00104852033178655,0.0291612637926248
"71",3501,0.322323646520633,0.027634846559431
"72",3551,0.00155809651916007,0.023151040103281
"73",3601,-0.00101037511385846,0.0239563267097653
"74",3651,-0.00331362161126507,0.0276757245812503
"75",3701,-0.00344642333770746,0.0242728257887441
"76",3751,0.00553272169438255,0.0274801291320213
"77",3801,-0.0164481112363392,0.0263094350645824
"78",3851,0.0571032887957156,0.0334112482550996
"79",3901,-0.000608997715693976,0.0266911829968879
"80",3951,0.000506542601131557,0.0231279663551585
"81",4001,-0.0184581624194529,0.0256259910408725
"82",4051,0.209359344121151,0.0266727669737094
"83",4101,8.35174486825562e-05,0.0224679850157884
"84",4151,-0.0226617039775065,0.0253617545501504
"85",4201,-0.0186985233550505,0.0235292763540891
"86",4251,0.00435807667746644,0.0290654581110443
"87",4301,0.140141686821274,0.0335891425576199
"88",4351,0.168431176041316,0.0341398607386015
"89",4401,0.00764989611098946,0.0361658860788684
"90",4451,0.0015550259792178,0.0279211388887469
"91",4501,0.113621672509603,0.0315663047740041
"92",4551,0.00227933792116612,0.0292662328523466
"93",4601,-0.00470090616313165,0.0268665289475862
"94",4651,-0.00523701022701825,0.0280967449570433
"95",4701,-0.0185580632971262,0.02783288878062
"96",4751,0.00707301030820964,0.0305546577845629
"97",4801,0.00171148825440705,0.0247408767192896
"98",4851,-6.04677233056178e-05,0.0280426317905216
"99",4901,0.163404058007388,0.0270333315348336
"100",4951,0.000826449647361114,0.0216450280787503
