"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-0.00417980533549205,0.0156611970429395,0.0156611970429396,-0.0084334467205672,-0.00272412805165634
"Lag 250",-0.00936234553708369,0.00359016980860607,0.00359016980860606,3.92459518693579e-05,-0.017890610773812
"Lag 500",0.00293864858717434,-0.00641366403043046,-0.00641366403043047,0.0280463264222106,0.00703502255971535
"Lag 2500",0.00687349834660504,0.00651822387577731,0.00651822387577732,-0.00304488192488149,0.00163297104594581
