"","Iteration","PhyloDIC","PolyDIC","Diff"
"1",1,-140.986888403934,-140.802907577182,-0.183980826752077
"2",51,-90.2356650792408,-89.9697518576309,-0.265913221609921
"3",101,-168.410968752128,-168.396046808977,-0.0149219431517054
"4",151,-222.717342783933,-222.684085754548,-0.0332570293852825
"5",201,-346.175403799648,-346.102546071442,-0.0728577282053493
"6",251,-388.941720657014,-388.933721278827,-0.00799937818709395
"7",301,-114.710803343666,-114.697822969212,-0.01298037445369
"8",351,-135.575028322183,-135.547141353368,-0.027886968815352
"9",401,-45.4089840745344,-46.1405461843882,0.731562109853819
"10",451,-173.104756317536,-173.072875479262,-0.0318808382739348
"11",501,-140.023846359081,-140.000047987517,-0.0237983715643395
"12",551,-257.954388117022,-257.924382636512,-0.0300054805097147
"13",601,-415.166433658035,-415.160489770816,-0.00594388721890482
"14",651,-280.193627499799,-280.184525206258,-0.00910229354104786
"15",701,-152.94311505827,-152.790649975194,-0.152465083075498
"16",751,-194.912683214423,-194.906128431331,-0.0065547830922128
"17",801,-208.680954072502,-208.643192066904,-0.0377620055980117
"18",851,-533.018808493748,-533.013054280839,-0.00575421290875511
"19",901,-209.629077422281,-209.578188517279,-0.05088890500204
"20",951,-92.467146152004,-92.4438839663969,-0.0232621856070807
"21",1001,-189.936560154254,-189.91644437714,-0.0201157771142562
"22",1051,-230.487673813813,-230.480874958497,-0.00679885531644686
"23",1101,-205.338083577705,-205.331265969277,-0.00681760842797985
"24",1151,-98.3499668483864,-98.0291479479842,-0.320818900402273
"25",1201,-226.348507904368,-226.342785862328,-0.00572204203930937
"26",1251,-122.068539693402,-121.759368828208,-0.309170865193607
"27",1301,-149.681435014234,-149.671060646333,-0.0103743679003401
"28",1351,-70.7252496186966,-70.4628357402667,-0.262413878429925
"29",1401,-441.252818963732,-441.248701967837,-0.00411699589454884
"30",1451,-114.087587293955,-114.073188370977,-0.0143989229774775
"31",1501,-219.737687323702,-219.733214696851,-0.00447262685031546
"32",1551,-228.665416567411,-228.659730895473,-0.00568567193855074
"33",1601,-143.280170290867,-143.247677171808,-0.0324931190586994
"34",1651,-395.763765977336,-395.76025569761,-0.00351027972618567
"35",1701,-425.189676699209,-425.185822830898,-0.00385386831101187
"36",1751,-160.857042808736,-160.724306676247,-0.132736132489043
"37",1801,-211.256120222967,-211.240047977954,-0.0160722450130208
"38",1851,-269.640404205095,-269.630912896563,-0.0094913085316648
"39",1901,-60.0405944766439,-60.4058810154059,0.365286538762007
"40",1951,-113.938857281392,-113.695617427551,-0.243239853840691
"41",2001,-175.661318313558,-175.649122931788,-0.0121953817693168
"42",2051,-469.043757386765,-469.039181861003,-0.00457552576193621
"43",2101,-42.6358825743105,-42.9150796371165,0.279197062805956
"44",2151,-131.470385110333,-131.423024380778,-0.0473607295558338
"45",2201,-155.496203604515,-155.251460126443,-0.244743478072365
"46",2251,-191.243595395485,-191.227847328785,-0.015748066700354
"47",2301,-239.971583717232,-239.965282315992,-0.006301401240421
"48",2351,-188.320216688917,-188.311221713412,-0.00899497550480532
"49",2401,-213.964566498242,-213.960276947969,-0.00428955027302891
"50",2451,-315.111497581093,-315.104832280882,-0.00666530021118206
"51",2501,-191.756832318091,-191.708840310318,-0.0479920077727627
"52",2551,-98.4039106006559,-98.2179573565319,-0.185953244124008
"53",2601,-169.648133647851,-169.442405714306,-0.205727933545091
"54",2651,-116.902532691837,-116.881710701624,-0.0208219902134488
"55",2701,-216.211379840865,-216.2034832962,-0.00789654466453271
"56",2751,-356.216637206144,-356.210330465184,-0.00630674095998529
"57",2801,-158.906510902386,-158.869058913998,-0.0374519883880851
"58",2851,-192.437471824258,-192.431998202537,-0.00547362172099497
"59",2901,-192.138796749378,-192.123007582577,-0.0157891668018522
"60",2951,-546.699191446785,-546.693730547566,-0.00546089921840576
"61",3001,-256.643943791852,-256.634638611052,-0.00930518079974263
"62",3051,-332.940353610828,-332.935368553853,-0.00498505697515839
"63",3101,-414.791826161171,-414.786739352637,-0.00508680853357646
"64",3151,-196.640487372791,-196.625986527188,-0.0145008456028677
"65",3201,-144.599487228585,-144.447455187731,-0.152032040854323
"66",3251,-502.568243590621,-502.562207945283,-0.00603564533730605
"67",3301,-268.63694551938,-268.631313805805,-0.0056317135749282
"68",3351,-59.6094317169712,-59.3832482606371,-0.226183456334127
"69",3401,-66.9120489340117,-66.7333111678436,-0.178737766168098
"70",3451,-165.907210860177,-165.886488497413,-0.020722362764019
"71",3501,-210.398697283411,-210.378702719224,-0.0199945641873285
"72",3551,-135.233965281085,-135.20876126617,-0.0252040149144932
"73",3601,-75.1785334884857,-75.0667012071434,-0.111832281342373
"74",3651,-18.948130630161,-19.5051986552921,0.557068025131116
"75",3701,-124.20821200113,-124.188418395557,-0.019793605573085
"76",3751,-189.812794563036,-189.803136187621,-0.00965837541423298
"77",3801,-254.140650935741,-254.119719504402,-0.0209314313389655
"78",3851,-231.875701794706,-231.75591451121,-0.119787283496521
"79",3901,-296.199726410718,-296.196673787523,-0.00305262319545818
"80",3951,-176.079302809629,-176.074264359039,-0.00503845059049013
"81",4001,-37.9846267985732,-38.3142258788017,0.32959908022849
"82",4051,-100.131619076933,-100.031540743925,-0.100078333008611
"83",4101,-202.153204064349,-202.147804687065,-0.0053993772838794
"84",4151,-358.646426573823,-358.642501672228,-0.00392490159464387
"85",4201,-69.5109442014691,-69.3892590212367,-0.121685180232404
"86",4251,-45.3437144816088,-45.1973512903582,-0.146363191250558
"87",4301,-135.796625854222,-137.5973260007,1.8007001464785
"88",4351,-159.763836561932,-159.722573034392,-0.0412635275398543
"89",4401,-113.781086435342,-113.544223106531,-0.23686332881158
"90",4451,-157.994397323639,-157.92675093495,-0.0676463886888712
"91",4501,-121.106458310038,-121.063050877244,-0.043407432793714
"92",4551,-114.099408030537,-113.969217839806,-0.130190190731213
"93",4601,-264.591507881829,-264.5857445702,-0.00576331162830002
"94",4651,-155.291897198583,-155.283978362296,-0.00791883628664891
"95",4701,-97.3996992712746,-97.360802659889,-0.0388966113855673
"96",4751,-47.556993539625,-47.2460572547506,-0.310936284874479
"97",4801,-212.728037394651,-212.693025212018,-0.0350121826329541
"98",4851,-291.575863862062,-291.564236208103,-0.0116276539591809
"99",4901,-177.052792683716,-177.019947965597,-0.0328447181187528
"100",4951,-207.3507730218,-207.323538754419,-0.0272342673816297
