"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept):(Intercept).Cage",1,1,0.359611128265592,1,0.00363386438850409,0.000105424081308681
"nTreatment:(Intercept).Cage",1,1,0.892978783134459,1,0.000830413552837989,8.29369159845005e-05
"(Intercept):nTreatment.Cage",1,1,0.892978783134459,1,0.000830413552837989,8.29369159845005e-05
"nTreatment:nTreatment.Cage",1,1,0.438123236375598,1,0.0141642894696424,0.000421932627472175
"units",1,1,0.820635521866619,1,0.130547120623727,0.000283273724639959
