"","Iteration","Intercept","scPreClim","scInvClim","InvTime"
"1",1,-0.00327571312762155,0.0119971687848663,-0.00677598575333145,-0.00686478765913988
"2",51,-0.00487380514698442,0.0068687624632853,-0.0116250918376083,-0.0107983696686831
"3",101,-0.00543567503470122,0.0179107004868307,-0.00363365124340463,0.0159612652933302
"4",151,0.0123551422253011,0.0119122253039541,-0.000862932800922445,-0.0224604720325693
"5",201,0.013423963680002,0.0107173809173955,-0.0297320606373594,-0.0177704094170538
"6",251,0.00207607728308912,0.0113349481635065,0.0128113152823826,0.0389479681718548
"7",301,0.00569412734099381,0.0140262356667007,-0.00379297275972616,-0.020321317168843
"8",351,0.0142725144699881,0.0124730296700695,-0.0038020584760812,-0.0157614498190172
"9",401,-0.00858763440252507,0.0117373975730546,-0.0133845312395435,-0.00758877829123634
"10",451,0.00555838134944096,0.00692691566898294,-0.00618429038507435,-0.00900219493063383
"11",501,0.00367045684101585,-0.00110301564990297,-0.0246614241915913,-0.0287764256178892
"12",551,0.020817739889514,0.00448528596952608,-0.00340690655581408,-0.0235041121616532
"13",601,0.00950414363671564,0.00376886855867624,-0.00477553136268056,-0.00156348949609571
"14",651,0.0134522518355486,0.0173529964058316,-0.0119247416650218,-0.0200497356582012
"15",701,0.0107488732209999,0.00510304618367473,0.00478736969989546,-0.00478200226183159
"16",751,0.00589550453572051,0.00884607655147393,-0.03307294578193,-0.0263348155731058
"17",801,0.00318638272159671,0.00682691407306336,-0.00260062389966491,-0.0110044482011683
"18",851,-0.00838614249270572,0.0116561295517782,-0.0128298847460554,0.00137767036000444
"19",901,0.0169752280861709,0.0026473952084952,-0.00216082767066873,-0.0269904159456524
"20",951,0.0130715255774882,0.00864622197066433,-0.00397059885702988,0.0027331313759807
"21",1001,0.00199842942945037,0.00317045747981674,-0.00795557001502434,0.00368751336741788
"22",1051,0.00207724993092547,0.0302225510252924,0.0275534818628209,-0.00404492528575677
"23",1101,-0.00867203034479051,0.0136590983274052,-0.0135748547480375,0.00463439126764593
"24",1151,0.00648297634479546,0.00499468058663382,-0.00209283783688276,-0.0121370020949098
"25",1201,-0.00250314337887458,0.0109993749217358,-0.00709692528874657,-0.010785362670658
"26",1251,0.00423047559087368,0.00945402162906999,-0.00864870429848979,-0.00429537155433325
"27",1301,0.0167621660594993,0.00917314525739421,-0.00762215505615478,-0.0196432385766529
"28",1351,0.00120837634021552,0.00583215005460398,-0.00280977214969375,-0.0198036947226545
"29",1401,0.00113981302338175,0.0113740824258673,-0.00990911889861858,-0.000807555919275433
"30",1451,0.0140201109884866,0.00528134334839617,-0.00241072896969365,-0.0020117951100106
"31",1501,0.0122611189227948,0.00582000652385087,-0.00416359498783822,-0.00130009720802695
