"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",0.0428035040482906,-0.927833183726761,1.05329117370275,0.0536271358409444,0.81127
"PreClim",0.0255537511535347,-0.976466216612607,1.0051509874429,0.0417297422699274,0.87429
"InvClim",-0.0223333545168435,-0.980861853087845,0.945500345886103,-0.00637600079579137,0.89283
"InvTime",0.028542602969356,-0.901903178753855,1.02756677259458,0.0201968553813021,0.88552
"Phylo",0.681096688261378,1.39883026515128e-14,2.59201467639963,-0.00598649653769295,5e-06
"Spp",0.848712184088239,2.06978111302627e-12,3.5635169196304,-0.00784847579940832,5e-06
"units",0.0150238894797647,2.27106132501979e-05,0.0489264833504258,0.000348956019453352,5e-06
"h2phylo",0.42914400700695,2.5218188099714e-13,0.957261874063765,0.00221887121650912,5e-06
"s2",0.493150084249232,3.01860519543073e-11,0.974851386924156,0.0020978629336455,5e-06
"CVphylo",-1.43302033081966,-20.782468647967,21.7931113594223,-198.704115046537,0.81127
"CVspp",-0.584177071806841,-23.3403464053973,24.1377032643685,-38.3869143718912,0.81127
"CVresid",-0.284789407123326,-7.58509624728752,7.38645138236201,-71.830994226053,0.81127
