"","V1"
"1",0.355263370116065
"2",0.294455787473453
"3",0.295036916622346
"4",0.241569662633517
"5",0.434560505292849
"6",0.411539012764415
"7",0.189486658026097
"8",0.208293955413568
"9",0.310895825730313
"10",0.230419856505375
"11",0.158141494067589
"12",0.235855088736928
"13",0.375931216133811
"14",0.629447135893581
"15",0.407621294949325
"16",0.247956289821298
"17",0.340079584017689
"18",0.367325744059742
"19",0.27448460979927
"20",0.452403273787848
"21",0.453919271607312
"22",0.228975428957982
"23",0.373602180034375
"24",0.320392546467963
"25",0.329192504233485
"26",0.427203129614953
"27",0.215088413411399
"28",0.320446660133908
"29",0.340559785752598
"30",0.227939865114673
"31",0.37673494404646
"32",0.323815307493639
"33",0.546485971348537
"34",0.303717457564057
"35",0.317668130314629
"36",0.284350511771975
"37",0.282731717990037
"38",0.33633298390738
"39",0.28256038329149
"40",0.307638646029401
"41",0.314698472975886
"42",0.315337569801061
"43",0.370329605236158
"44",0.0668468647750719
"45",0.289944892226951
"46",0.293688484905328
"47",0.132217377359288
"48",0.350685075103191
"49",0.36498177077236
"50",0.320819506102666
"51",0.339002418589407
"52",0.382152151140285
"53",0.220607577392556
"54",0.407614319815536
"55",0.344741866826379
"56",0.557642454875345
"57",0.322799414687777
"58",0.313312716623066
"59",0.327266621782698
"60",0.351866700193877
"61",0.364003934518526
"62",0.371943216092102
"63",0.282776176441135
"64",0.234043062380476
"65",0.315030988225354
"66",0.12361209276328
"67",0.436909551383796
"68",0.24994408469685
"69",0.201355457466664
"70",0.267768896590812
"71",0.279325451338909
"72",0.305089987916929
"73",0.35777333818814
"74",0.294728153687023
"75",0.211046838521009
"76",0.172236772810169
"77",0.436163958119372
"78",0.29736832214833
"79",0.141064778433235
"80",0.329313367653045
"81",0.332431810522799
"82",0.350596971718692
"83",0.395423693950546
"84",0.282626402544547
"85",0.272926502941158
"86",0.432059246781734
"87",0.306322494518503
"88",0.313555827025146
"89",0.351577117663334
"90",0.373835656387145
"91",0.125463527088082
"92",0.301281987876966
"93",0.317071187216373
"94",0.217866325393673
"95",0.254409026274484
"96",0.327614473720941
"97",0.442851743821018
"98",0.16765845820302
"99",0.409282573271605
"100",0.350485951953025
