"","Iteration","AbSpec","units"
"1",1,0.187002717290635,0.00478368806681403
"2",51,0.0899418458026418,0.00550957569307206
"3",101,0.137322845282169,0.00429447285083847
"4",151,0.164858263795051,0.00516834462438471
"5",201,0.180519298436296,0.00526847546461153
"6",251,0.0181184651138763,0.00493716674496884
"7",301,0.158754311889276,0.00510237624038837
"8",351,0.15856024785671,0.00479813090991149
"9",401,0.131127301236563,0.00554804918887745
"10",451,0.115530077220822,0.00501602802238244
"11",501,0.187502570862301,0.00547370416108377
"12",551,0.144511117971587,0.00548671857798725
"13",601,0.039317326357094,0.00454688105739074
"14",651,0.180251129373412,0.00519698141092338
"15",701,0.0661740733123965,0.00466821652303582
"16",751,0.179105540995761,0.00538298582535407
"17",801,0.156463168320988,0.00481330280426042
"18",851,0.0993815886748262,0.0050918502877153
"19",901,0.140178250139861,0.005742825723458
"20",951,0.0673321847338728,0.00467572795229733
"21",1001,0.0491572119478284,0.00413098504773092
"22",1051,-0.00935730112277173,0.00362841702183403
"23",1101,0.110494154946646,0.00490452081798371
"24",1151,0.138408228656486,0.00494347302700707
"25",1201,0.174625692617359,0.00499091126573135
"26",1251,0.0940154611407942,0.00499730289535734
"27",1301,0.1512041736851,0.00508009290958421
"28",1351,0.151670275206651,0.00544405816601756
"29",1401,0.140114300561828,0.00481783874929226
"30",1451,0.0952665696014072,0.00455715987229943
"31",1501,0.0745090907749137,0.00461961471479319
"32",1551,0.0984697771987712,0.00523951729627745
"33",1601,0.164701502467972,0.00501967141981422
"34",1651,0.203262566616822,0.00554157531140823
"35",1701,0.136339878246069,0.00555596115468565
"36",1751,0.145384207535358,0.00472128220544973
"37",1801,0.15876203099297,0.00517188713208306
"38",1851,0.050945804943877,0.00490796221274157
"39",1901,0.177591423627871,0.00537358009726677
"40",1951,0.0626092351128311,0.00495755606799585
"41",2001,0.167933293107097,0.0052161998328905
"42",2051,0.105685099254034,0.00546529931854059
"43",2101,0.0408648891452102,0.00465855085164763
"44",2151,0.181845607610497,0.00552303511998326
"45",2201,0.00741591852306352,0.00753703435767512
"46",2251,0.160213305131493,0.00479722778288242
"47",2301,0.15508150133854,0.00561854285603689
"48",2351,0.016942328466633,0.00431026461003558
"49",2401,0.22722960752208,0.00548936778021714
"50",2451,0.200027249196076,0.00572845956893094
"51",2501,0.0112185921860767,0.00499035010069101
"52",2551,0.0943070758048049,0.00444496604162484
"53",2601,0.129093219623217,0.00444144348703027
"54",2651,0.0586272037924638,0.0045443004780239
"55",2701,0.156702854173952,0.00493731516295289
"56",2751,-0.00133022217045599,0.00431117123252849
"57",2801,0.193156742658205,0.00534514026053088
"58",2851,0.0241198824258086,0.0045636499095996
"59",2901,0.0195664315337663,0.00429000704609149
"60",2951,0.0158082829648979,0.0041765135081986
"61",3001,0.16949044287894,0.00521349555354098
"62",3051,0.0498207599210967,0.00470700051936766
"63",3101,0.134470183567462,0.00518007461634189
"64",3151,0.18916114587949,0.00563118667774598
"65",3201,0.0967266185999106,0.00550379992542264
"66",3251,0.120273450990146,0.00354511067660579
"67",3301,0.0482579162856338,0.00474343336754214
"68",3351,0.152074510372813,0.00571987402366472
"69",3401,0.149116339581905,0.00532994477053603
"70",3451,0.20956342671464,0.00547171477348417
"71",3501,0.201289233893935,0.00552622389176682
"72",3551,0.219776071662932,0.00478787965296259
"73",3601,0.16165478858633,0.00589972975120703
"74",3651,0.159993308633736,0.00512742439750615
"75",3701,0.138641764386754,0.00557596215131562
"76",3751,0.156733815906627,0.00526164409531107
"77",3801,0.0478326499512444,0.00507378060197423
"78",3851,0.175078276063753,0.00563515849858901
"79",3901,0.166834410140459,0.00564803291768807
"80",3951,0.0915151801076334,0.00486296168390008
"81",4001,0.157851446545812,0.0052075446937539
"82",4051,0.148180833143294,0.00562966720281227
"83",4101,0.0541009327668091,0.00473882100417593
"84",4151,0.168422376960288,0.00530913023779712
"85",4201,0.135599906082289,0.00414905113644707
"86",4251,0.0652105044635292,0.00478616751174661
"87",4301,0.104203932814381,0.00540954320373463
"88",4351,0.126785356399859,0.00493733199939334
"89",4401,0.181294545659931,0.00483765932121327
"90",4451,0.0593355256782238,0.0047696807973716
"91",4501,0.193087021528491,0.00569557152730956
"92",4551,0.114722700121925,0.0052089882843176
"93",4601,0.0760686823403633,0.00513423841024829
"94",4651,0.207554051613821,0.00416185557573486
"95",4701,0.161465478038104,0.00532135294952228
"96",4751,0.0916696068400794,0.00550413393454264
"97",4801,-0.00716867365641279,0.00690973479360792
"98",4851,0.172439250918526,0.00555933996146051
"99",4901,0.193547359199535,0.00544750912168863
"100",4951,0.0617208010983255,0.00463391542133428
