"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-0.0194655723014093,0.0131737366525255,0.0131737366525255,-0.0321403415975879,-0.0230748478319003
"Lag 250",0.00116407083054386,-0.0130811705325001,-0.0130811705325001,-0.00946351143747056,-0.0030198120633391
"Lag 500",0.00389209432812877,-0.0204663334785422,-0.0204663334785422,0.0471141375748642,0.0246491278332944
"Lag 2500",-0.00736026312070057,-0.0204539357740488,-0.0204539357740488,-0.0288838130741154,0.0108785759640071
