"","Phylogeny","Species","Residuals","Intercept","InvClim","PreClim","InvTime"
"1",385.839842942644,221.808759211785,2000,1462.50388882183,1391.88231823367,1739.69698744655,1676.04586756084
"2",20.7369937805741,58.4457885264869,2000,1559.17151143114,2000,2010.19848771621,2437.937120337
"3",828.762498294681,510.952697965652,2000,2505.42973041099,2354.92221354477,1804.95733149708,1636.49144504922
"4",261.410460136794,255.971573682882,2000,2126.29375526627,1763.59290964305,1966.07729108187,2656.87241702992
"5",285.234698780979,103.771376073144,2000,1799.23219679669,3292.92829133453,2292.81509457107,2832.56020277067
"6",999.150987530267,730.120785701087,2000,2951.82964477866,2230.78609098086,2087.92481012159,1897.28756064775
"7",402.427976032269,309.993418510605,2000,1876.6710872337,1658.95488091998,1697.93374059219,1955.84869861878
"8",242.242007326902,281.564851691501,2000,2660.87297964891,2475.66139102884,1719.44629152623,2073.61991082671
"9",785.311991398641,396.155813539716,2000,2285.93793807301,1586.80950956992,1981.73901371224,2119.2197653425
"10",965.188721492355,460.051762817889,2000,2647.14690710524,2164.25051121628,1918.50372909022,1548.92398421196
"11",122.666382155097,180.887347502559,2000,1846.98730217723,2890.46760165364,2000,2000
"12",213.80502074857,323.487097112726,2000,2395.82600531093,1823.01626491073,2107.90379357955,1858.03574128831
"13",973.348235095956,785.691390733426,2000.00000000001,2593.5923912126,2385.59437098502,1734.5619036255,2000
"14",694.633747453163,389.260435970061,2000,2339.63073005975,2076.5772016428,2110.13675231167,1765.92286865904
"15",331.627258568477,393.639581097285,2000,2761.02789173417,3420.89352749101,1347.78993759985,2763.17048732544
"16",91.5965396136325,126.112657745976,2000,1350.72636643743,4075.50175134094,2228.42262347042,2715.26848837542
"17",413.171751456385,349.100407255862,2000,2151.59426038043,1419.39287040878,1294.27559743973,1700.27606540081
"18",559.700523592083,478.764935830598,2000,2100.30793446067,1187.04059323086,1848.74246985214,1859.55374661054
"19",209.26354203028,272.405014599653,2000,2334.45460868309,1981.52953224214,1795.08766613681,2072.53691258488
"20",593.142433028944,610.558444420336,2000,2379.61827059587,2985.97497328734,2375.3201679356,1673.22137205762
"21",607.984388641753,683.716234443173,1999.99999999999,3094.48479845847,3489.3211487347,1495.17286313739,2195.57582347485
"22",1547.13811167616,1485.18035875358,2000,2429.40177787499,2287.04327834703,1851.94229917633,2000
"23",467.70838888881,433.241877610401,2000,1373.40577066713,1138.72379822459,1367.64841262098,1955.39603149792
"24",512.28333348821,426.196703417816,2000,2000,1678.48047209559,1829.55528746424,1761.97266979064
"25",323.55293180539,324.451772573469,2000,1551.87379060771,1530.63342075558,1798.29146998275,1664.35484864613
"26",571.889752458154,366.311843502455,2000,2568.10245554048,1210.4984120725,1605.42140402331,2279.19641476389
"27",206.400397104804,262.836804987362,2000,2268.09179786253,2900.39431940237,2043.09895087696,2161.96052680497
"28",268.07513817485,208.756146100211,2000,1793.33554089755,1556.98730438535,1651.23435473633,2446.51423163954
"29",503.574578046844,371.368559737212,2000,2151.333507959,1468.44026754355,1638.39880442303,1642.27830884578
"30",971.70809883337,530.977486007116,2000,2364.80220800534,2469.53652412676,1383.70983004637,2000
"31",1048.06698116512,710.749683865549,2000,2308.81184825474,2192.06035852889,1668.0552884906,2000
"32",441.062170981073,524.886871371191,2000,2329.83642158161,3036.65254656666,1340.63485020274,1954.46560537519
"33",963.931431278879,325.386466706023,2000,2419.67485044112,2617.8433814719,1802.84399046827,1593.69968925516
"34",171.207738638213,321.378611024081,2000,2000,2000,3029.33010929953,2000
"35",23.8274115331089,92.0026318764317,2000,1155.16988166978,2000,1997.9301676976,1829.79838691945
"36",485.950571697528,376.103977270528,2000,2349.5719094733,1441.05578366378,1346.18602311974,1612.38004363485
"37",436.331377468598,262.033427189873,2000,1859.08841056152,1754.17099411811,1498.7370981303,1656.50613972633
"38",921.451845255355,754.677621475462,2000,2322.11786044396,2914.59727395353,1880.37664560996,2019.00139784103
"39",240.106444907602,232.906254517405,2000,2426.76290101328,2775.34537616134,2621.64315905492,1692.26322810682
"40",770.830062107709,723.788306674227,2000,2086.86843062556,2850.88849991973,1596.74836300177,1955.89571503916
"41",585.549769520834,379.507692087339,2000,1953.60490085028,1603.902631952,2246.57966524257,1662.63603015373
"42",22.1188054077703,42.2616214626885,2000,1625.56984722049,2367.62781597621,2004.31348233453,2227.62167482849
"43",939.562756743435,709.766996421009,2000,2459.62585491128,2783.33212063337,1639.68459411885,1983.25765010795
"44",507.906685948124,202.425523303695,2000,2000,2848.654103172,3589.50785920271,2000
"45",1393.21670085369,1239.95202697223,2000,2913.11053804848,2955.56289788515,1848.67732915718,2140.01491998499
"46",344.117665768285,363.682153574929,2000,1656.36668512161,1659.67724731453,1597.20637992576,1755.0958616247
"47",633.482907852913,180.835465706169,2000,2713.46268152955,2242.50320590146,2166.46700797236,2031.92890744866
"48",1050.7306286229,911.241123748575,2000,2494.79414837994,2617.56998047576,1788.19840646697,2022.23438971547
"49",15.4021019561168,42.9318237329486,2000,1492.95960660128,2412.69047715784,1895.91021248676,2484.11581153089
"50",70.8393494734929,71.2613548389227,2000,1758.46402539203,3271.71986367872,2093.57148778982,2651.13616985751
"51",1125.17765430065,891.169534578971,2000,2690.05434291559,2396.99418771361,2149.89492847471,1902.99338138386
"52",1124.54011511397,663.978936244688,2000,2638.4094452829,1781.490415093,2148.41499220254,1634.37020099626
"53",632.713707445346,383.216728414446,2000,2940.72495237292,2502.18066582625,1513.39556328198,1573.09962128647
"54",1059.36148082949,701.768728041203,2000,2579.20147050957,1933.89358086304,1612.68595490466,1955.38647097884
"55",210.838054918476,311.758050841474,2000,1579.14650086456,1419.37167103875,1339.12478054683,1923.37635377995
"56",565.556503265848,713.316014609646,2000,3657.94287273008,3019.43548398876,2088.65242451288,2847.55085268362
"57",397.774082928022,229.522250341417,2000,2075.59819683629,1672.74166243858,1816.64119543572,1567.23969964731
"58",1182.73688727188,871.499632336373,2000,2563.61384317917,2356.51783728941,1771.19100545105,2000
"59",1162.17656506859,930.862747527203,2000,2638.05355919032,3229.97446446961,1709.6713152848,2000
"60",1094.45552772584,765.836689561167,2000,2669.98161061045,2708.11947618186,1648.05970806303,2348.03739864711
"61",304.287351386127,247.420668417418,2000,1786.38242936068,1825.63483840798,1786.68752364606,1557.95368964551
"62",915.60777233389,733.154772507291,2000,2589.26321497188,2261.65053863742,1527.69756202393,1949.97983779166
"63",439.672052080503,334.866896065239,2000,2330.8488871875,2060.21541604488,1227.94981558873,1658.43917282101
"64",62.6428433416105,110.756265784284,2000,1520.66814695929,2383.40108700896,1840.75306150225,2000
"65",18.6181809522146,54.7399952587736,2000,1648.55381299888,2000,1980.43357286412,2448.67105360002
"66",451.109663158683,281.44183753377,2000,2000,2663.80654346804,1262.56424752455,2000
"67",767.888811921498,690.432252765329,2000,2497.48587278803,3008.86946171487,1556.16265367744,2059.09987717893
"68",220.942453446653,271.764498599607,2000,2312.87157510751,2065.0284823327,2001.67367885717,2073.20530913534
"69",840.503352284189,322.083151117446,2000,1993.09787847776,1745.60101710264,1841.45269822953,1584.38173053567
"70",882.583823785194,203.535097512865,2000,1865.54201255271,1564.60394088872,1823.14579265375,1785.68664659129
"71",149.522646386769,246.811944646124,2000,1496.46156319079,2000,2306.07154458017,3614.68956809787
"72",370.019814666794,272.119752659333,2000,1596.87314074279,1325.06190166291,1719.85692775491,1440.47385648134
"73",344.602516722643,339.788341326123,2000,1862.55010445047,2061.46659376589,1442.03750756167,1780.23753199039
"74",750.474847582039,281.863230730739,2000,2000,1780.56699345282,2159.22739974129,2071.52827080597
"75",604.570048979847,263.436256015875,2000,2174.80021888561,1391.17408798291,2033.42278838688,1961.82929460504
"76",308.868667938564,212.00905918148,2000,2429.92973431965,2131.73043572816,1769.28529681096,2510.10723410879
"77",918.309774426954,780.234842328978,2000,3483.8125807883,2660.52236461139,1879.06454185645,2581.25575315686
"78",29.7812394289852,97.916793854206,2000,1109.2630692408,2000.00000000001,2583.06559479266,1780.05058518577
"79",377.20980503681,97.3808089915528,2000,2831.91172838053,1956.52436765738,3733.99104573499,3309.35311400774
"80",1183.40401491017,701.728873076133,2000,2358.59823993422,2220.99159868267,2002.70944974341,2000
"81",178.79085487991,259.940344427162,2000,2308.7878061607,1627.05202717981,1523.52123047796,2537.69412461726
"82",259.6800614723,213.106274644668,2000,2217.59821798224,1642.29857469947,1669.64611682319,2746.46896738048
"83",899.448676905904,641.471924953792,2000,2429.27975442784,2265.63526248153,2069.23977260017,2000
"84",254.615372494384,213.23090379897,2000,2794.73805113057,2167.86407346735,2075.9377950254,2086.55131246791
"85",538.347756175995,377.30339694998,2000,2387.65844654398,1860.40398778822,1750.78273289848,2000
"86",723.755080218472,557.560935324913,2000,2548.50052927471,2606.75428322007,1477.98357145648,1768.18781440518
"87",679.052030735717,495.04630992479,2000,2117.75882422771,2023.23075346235,1465.28466377103,2131.14292324308
"88",1092.55789090897,801.357631296793,2000,2141.08725401119,2000,2050.01592155976,2000
"89",501.170067614272,290.980106699478,2000,1641.89575495962,1648.19404901563,1858.0118408095,1598.20289467694
"90",1036.77860276894,699.025292122911,2000,2556.17669901777,2268.31628958889,1699.37637501503,2000
"91",286.463605079786,218.344308579929,2000,2577.53850725521,3319.12299761877,2484.10960237427,2000
"92",872.070191352764,518.927836113018,2000,2352.61114688051,1807.36276559131,2103.37922747049,2000
"93",1102.87572053136,729.126265615634,2000,2494.03520294793,2592.72672765792,1633.37435646786,2000
"94",548.321208873196,343.340357560007,2000,1262.71727586408,1559.23785335103,1606.17103199507,1517.34503330717
"95",124.149143961859,286.242712923932,1999.99999999999,1743.94986351785,2000,2349.21010758183,2711.50300850282
"96",18.042623789027,46.658992654811,2000,1328.31552987224,2000,1801.5667075643,2438.64938356977
"97",796.637184500545,854.042002054147,2000,3683.54057044298,2593.22223729837,2266.00334005365,2595.96653138988
"98",556.767159623715,178.352446125028,2000,3003.25871634512,2291.40436696851,2347.17288780997,2019.99074041492
"99",87.7860869610483,334.527666524862,2000,1841.58117716855,2065.00968536291,2814.86472251789,3877.7140845826
"100",735.853282243149,596.349434495267,2000,2511.76456200631,2338.79859666907,1717.28819422581,1992.55906627842
