"","Iteration","Intercept","scPreClim","scInvClim","InvTime"
"1",1,0.0475181211650286,-0.0367417024977553,-0.0197570438344913,-0.0239360612214939
"2",51,0.0396205148413046,-0.0534148443228945,-0.0768467166933268,0.0480034864934806
"3",101,0.0600733184770811,-0.0599852384222688,-0.0815396128829569,0.0413538469791652
"4",151,0.0496944082868371,0.0153312414628633,0.0150639152408156,0.0850046265742876
"5",201,0.0433456202560335,-0.127509186338051,-0.0264553981204235,-0.00452118703634187
"6",251,0.0196804492560819,-0.025775970787043,-0.0333169922974676,0.00559371129799351
"7",301,0.0433766234682878,-0.00133929584989076,0.0527451717304864,0.0627889779289854
"8",351,0.146208311801253,-0.0909152305374272,-0.143712624277762,0.180159494872794
"9",401,0.199426122503612,-0.142106289355992,-0.0495116645047076,0.163408896820905
"10",451,0.0923427598715227,-0.0947696705186733,-0.0391803563399719,0.140117463105848
"11",501,0.0988291813535059,-0.0709495126903322,-0.125271361377159,0.0101031006560984
"12",551,0.00874337311453114,-0.0421202307915497,0.0367340411745389,0.0335455186875592
"13",601,-0.00148828115875214,0.00666561997848786,-0.0801351926696775,0.0147490375610146
"14",651,0.129376408097337,-0.0176106743083436,-0.0454254858980134,0.00387067087968332
"15",701,-0.00258861026836998,-0.0581550046631445,-0.0458095873658569,-0.0458858341872082
"16",751,0.0884744579363115,-0.117917370692913,-0.00325906249844698,0.0910895928974999
"17",801,0.072833288604891,-0.0562739749690952,-0.0714736502179308,0.0346722628154707
"18",851,0.105547803133955,-0.06000651237022,-0.12238265358018,0.00688632938368167
"19",901,0.0507174554761828,-0.0501747079753499,-0.0608352743149591,0.0134466446185937
"20",951,-0.00222087926691222,-0.0765952155825817,-0.0370283885684863,0.0585531158867043
"21",1001,0.0485507249717495,-0.04423473947847,-0.0409585260873117,0.0128530245346545
"22",1051,0.0763984754268722,-0.0520230902047601,-0.0749534031006935,-0.0459146467014916
"23",1101,0.0227412622061178,-0.00781771981242003,-0.01997214617591,-0.0446960091583897
"24",1151,0.13060139754555,-0.170951959333437,-0.116196296906935,0.174276242532477
"25",1201,0.0702037962916229,-0.00639959316336005,-0.0886809964637358,-0.0206470082320239
"26",1251,0.0518702864748803,-0.0174094484797977,0.0392054067866181,-0.0385276993085503
"27",1301,0.0117359360660246,-0.0104028716151792,0.0679140682761508,0.0328671656941755
"28",1351,0.0643224360254043,-0.030065169065831,-0.0536114676601644,0.00111523158430085
"29",1401,0.129619742068958,-0.0747158564858978,-0.0738685095265768,-0.0846072848138855
