"","Phylogeny","Species","Residuals","Intercept","InvClim","PreClim","InvTime"
"1",639.090439894901,235.199621589769,2000,1637.05305241065,2315.65580385472,2034.27283347168,2004.88425733388
"2",211.651661244119,36.9060973313677,2000,1767.69923158276,2476.39163654829,1459.00820069759,1970.11548398403
"3",233.807661337019,59.7562097884914,2000,2000,2810.53515467713,2218.4268663327,2193.03062554647
"4",200.653108713977,19.6303141576561,2000,1404.64953445855,2725.72341794491,2286.67811180108,1140.13716645311
"5",800.24707562353,118.695256602626,2000,1549.12200128698,2621.0352064247,2263.09568982764,2061.3497668843
"6",232.183797439028,33.846247335505,2000,1322.41096350691,2528.65293602222,2454.31208414918,1186.63655068805
"7",1032.19061332704,659.081782295107,2000,1475.56519177976,2304.2216814889,1789.95832915373,2394.11400533297
"8",449.431158992901,53.8136284931848,2000,1515.73176591551,3794.88761878686,1691.81662395216,1940.77080307948
"9",335.278100208475,283.093371273234,2000,1612.68030660035,2252.10589743469,1580.52434887337,2390.1586253731
"10",218.666653302794,36.3503522301628,2000,1533.62139413596,2204.37047820701,2500.7045177897,1476.38389963643
"11",394.51253160309,117.001439001648,2000,1634.39404909866,2063.88440238279,2000,1944.3814116822
"12",392.64062099151,80.5348274942851,2000,1576.5715958013,2633.87695773867,2394.01273377542,1884.97673944214
"13",355.515759184476,32.6645605378643,2000,1445.86213519653,4431.00832617758,1441.6208229463,1570.75408947114
"14",375.034066376427,623.198567854057,1999.99999999999,1910.94577001453,2121.83186154099,1605.57580658297,1865.06219049792
"15",206.046650620831,124.743343313154,2000,2000,2874.13549382518,2277.75190367773,1273.4086858686
"16",394.523518218098,104.218586191358,2000,1595.89482374066,2426.23192225499,2383.27021577423,2341.4599400838
"17",158.048821162915,193.778550141583,2000,1376.27635140268,2244.73056354591,2817.13861273217,2528.20197371122
"18",678.347745207821,112.507750962426,2000,1274.44115343082,4062.0933491851,2081.81969500513,2022.36323107439
"19",292.372789346146,159.85805320263,2000,2000,2796.48240688025,2095.8450013359,1286.72352321863
"20",303.08609054315,34.7178885652853,2000,1660.71367654884,2283.29365795504,1615.92195022504,2013.33485438131
"21",116.011786911484,183.263696434122,2000,1443.68530814349,2018.47267596285,1187.77464693727,1503.34705768236
"22",391.707555892343,202.119769009663,2000,1978.9620437417,2267.51385192388,2296.44475299288,1216.64947463589
