"","Species","Residuals","Intercept","InvClim","PreClim","InvTime"
"1",119.496337626297,2000,2130.05705969996,2628.51000433205,1993.23591068985,2000
"2",116.360979431694,2000.00000000001,2430.40715717902,2770.47258730755,2105.23443229299,2000
"3",119.539064976221,2000,2126.9286056351,2292.83945915532,1960.04460413753,2000
"4",174.991589289808,2000,2520.18703228417,2814.00110496816,3192.68436077937,1499.8839302282
"5",125.888437533613,2000,2412.37054723233,2680.74510061959,3531.81541086296,2000
"6",193.823570211481,2000,2508.53984669257,2814.70765706547,3115.32808942992,1558.69802028003
"7",132.276921066236,2000,2101.27676081661,2266.36262691491,1996.13924276834,2000
"8",179.502564723435,2000,2433.6689528332,2722.28339185199,3017.04160549735,1749.6929118426
"9",126.236387296277,2000,2442.56870279395,2706.18437064268,2076.03337910642,2000
"10",220.382959784031,2000,2518.51391386952,2834.83955350436,2335.0392587851,1487.17309688835
"11",121.033863420288,2000,2538.24821553155,2775.66903811599,2118.61291701262,2000
"12",132.196584166009,2000,2102.18033831485,2232.47327405577,1931.03058317191,2000
"13",133.549926441719,2000,2521.74523602472,2777.24735044581,2126.36546888208,1818.65987402338
"14",111.937733878843,2000,2159.29751427294,2304.45014306494,1942.54574358317,2000
"15",123.251096937079,2000,2141.06004694805,2264.36684840106,1948.71163215922,2000
"16",127.682503390497,2000,2104.53869624511,2246.79719249505,1930.32796173451,2000
"17",321.476632732763,2000,2351.94076937201,2870.2561020974,2787.91836629665,1308.20761312999
"18",124.927160160033,2000,2389.59387011789,2656.40307661276,3508.74476092872,2000
"19",143.298454376282,2000,1909.61369175435,2186.25331667819,1874.76908012449,2000
"20",118.504930329134,2000,2512.19056407052,2756.89769031563,2085.55999526894,2000
"21",154.725516532476,2000,2587.39052947008,2887.43997664789,3474.36778360095,1475.68773011131
"22",122.434090881747,2000,2135.70197355108,2261.77278661224,1882.25318263644,2000
"23",123.928544844881,2000.00000000001,2107.93385507513,2588.2311948219,1972.07852899221,2000
"24",185.581253541223,2000,2604.98324392029,2888.00692739705,3336.25741254497,1512.38686260098
"25",132.425893014074,2000,2502.01625510244,2761.12748453614,2099.86573807202,2000
"26",126.879210094546,2000,2090.24216555269,2578.20628739908,2360.14394274779,2000
"27",112.862034360628,2000,2148.2430131356,2294.5801541112,1910.32029593132,2000
"28",140.025247260572,2000,2484.56159940748,2765.25124528281,3159.36366166997,1757.68248241042
"29",99.8754557178459,2000,2223.22128794146,2345.84592752413,1956.05417614012,2000
"30",128.10387575252,2000,2477.33654516412,2746.42908211167,3211.32786205045,2000
"31",188.643216025745,2000,2415.38140230254,2712.27130653301,2953.96962261587,1736.39791636319
"32",110.928942138925,2000,2162.04156196505,2301.79697495425,1927.40197024493,2000
"33",134.206260589177,2000,2103.15859524539,2222.58961825668,1914.35884596607,2000
"34",115.796310811015,2000,2508.49260599893,2745.05811510105,2070.99262103925,2000
"35",104.81310110117,2000,2201.06865354492,2338.69272674316,1980.30926163294,2000
"36",108.383151121342,2000,2199.33050397428,2304.23428319798,1918.32079674077,2000
"37",363.656319175536,2000,2335.78519832062,2914.16621165518,2798.3118903821,1303.98639734309
"38",509.507272854123,2000,1761.91878868737,3034.79661910472,2827.58365163888,1263.46321216266
"39",107.840687614707,2000,2449.35092245558,2701.21734069585,2032.60984775524,2000
"40",114.340971494792,2000,2197.24084853205,2287.60318520424,1948.38836347079,2000
"41",142.468518207732,2000,2071.77062846512,2180.13978422364,2282.49701832789,2000
"42",200.847204949484,2000,2612.24396901237,2908.52126814228,3364.35944842955,1461.42572916202
"43",111.259112602043,2000,2429.03667320327,2683.19888966414,2019.36712436216,1999.99999999999
"44",125.859410617467,2000,2131.62119211995,2248.90540989647,1882.76464302632,2000
"45",596.541570432397,2000,1828.43352167357,3207.87982054483,2881.58871316915,1285.21418571011
"46",132.113435731402,1999.99999999999,2083.3236306947,2260.37608588446,2346.38674567675,2000
"47",554.838672835278,2000,1780.67531831782,3179.17036982159,2888.11255956466,1249.71390679749
"48",191.690692614733,2000,2545.5713814321,2846.5043435421,3200.46759009417,1533.67304951426
"49",105.028081673691,2000,2199.10956683195,2675.68741159312,2019.67789975918,2000
"50",151.279118990601,2000,2536.27635512398,2801.52608504878,3426.59139802975,1578.14780788999
"51",138.588410428404,2000,2020.85422266659,2326.02791218789,2280.80006670327,2000
"52",124.03237760981,2000,2099.21882017187,2573.11882332974,1949.44665616404,2000
"53",157.578316263403,2000,2535.49992503208,2811.34316248797,3293.47147594703,1545.75226339834
"54",211.997551798497,2000,2553.5992510361,2870.32322029885,3239.17339676158,1466.8718292627
"55",210.780811528303,2000,2486.14772132466,2805.3922089483,2624.03614161193,1544.23437465164
"56",295.255621303036,2000,2434.43916361516,2854.14433645101,2779.52806900498,1343.62488622447
"57",106.908230485161,2000,2490.38312577382,2742.98705001955,2082.3734195322,2000
"58",113.485317414892,2000,2161.44435676553,2318.1804386078,1980.67645069357,2000
"59",123.816993529085,2000,2369.20778477598,2631.63911686286,3514.85035242396,2000
"60",146.656118633495,2000,2519.94731307964,2780.66053778777,2134.56204260489,1793.3470612349
"61",129.420447165184,2000,2103.97762389799,2236.16792726092,1914.23113150515,2000
"62",116.510005226863,2000,2119.59240383272,2588.06774152641,1919.37294402104,2000
"63",230.33759718733,2000,2524.15173848449,2854.54150624602,2342.20994185676,1466.94537831652
"64",126.037692132827,2000,2508.87216143243,2760.85922235758,2097.25857731301,2000
"65",142.374770971637,2000,2585.06500329662,2841.54108240721,2218.0607276026,1592.56577530281
