"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-0.0123367300893182,0.00559528494716023,0.00559528494716023,-0.00527692477274556,-0.000343528210458324
"Lag 250",-0.000621550828801875,0.0125866729262987,0.0125866729262987,0.0199787586715497,0.0156259670915845
"Lag 500",-0.00804289413631681,-0.0201839788482709,-0.0201839788482709,-0.00770535059217922,-0.00168775896894518
"Lag 2500",0.0116939193051972,-0.0294442512812384,-0.0294442512812384,0.00532230764649824,-0.0192447781289006
