"","Iteration","Intercept","Preclim","InvClim","InvTime"
"1",1,-0.149532447438864,-0.00311618935024094,0.0189935026639922,-0.0436285182647692
"2",51,0.025055207927196,-0.00701094186411932,0.00698189139318872,-0.00465728195792736
"3",101,-0.0873895510938588,-0.0144772975548775,0.0190749025670991,-0.0126372617945935
"4",151,-0.122912095626687,-0.0141883470089422,0.0164531327675494,-0.00818931495842379
"5",201,-0.0847785580511441,-0.00987737585475912,-0.00259447318717831,0.00955280152077903
"6",251,-0.201348922419609,-0.0146151473099375,0.0049765303792082,-0.01245820436346
"7",301,-0.0957026432414591,-0.0108868784912807,0.0209208154432865,-0.0248282487873506
"8",351,-0.169242496126013,-0.0255202200048859,0.0174277514317026,-0.0108702920212443
"9",401,-0.0246147944829467,0.00335223878215726,-0.00312767677338882,0.00159494532168229
"10",451,-0.144125998687319,-0.00632671814313346,0.0158782241211412,-0.0046541568464708
"11",501,-0.274986183256212,-0.0149628527021316,0.0233948893612599,-0.0120563826330194
"12",551,-0.00638534882346709,-0.000632292523232492,0.016179343882506,-0.0482404445584255
"13",601,-0.174269140417423,-0.0236096655432741,0.0286903057476084,-0.0200559787630609
"14",651,-0.0945724950641915,-0.0164681812246504,0.015643922962258,-0.0064916402140158
"15",701,-0.0613903763018095,-0.0340212105876837,0.0199733901475161,-0.0182322684741387
"16",751,-0.269416308284207,-0.0155413584092661,0.0349740527721352,-0.00591234145573583
"17",801,-0.045567508453537,-0.000380028940918598,0.0366765579818064,-0.030277218900051
"18",851,-0.202957493452412,-0.0148319426294579,0.0164632576982039,-0.00630761386096701
"19",901,-0.0472702971411463,-0.0019830617956843,0.00211973630420603,-0.00172252959182306
"20",951,-0.140223178100026,-0.0279718944752615,0.0326756875547412,-0.0245134988878043
"21",1001,0.0435042645166853,-0.0209472430653552,-0.00147243012259701,-0.00631626518509892
"22",1051,-0.118031939008362,-0.0100951398172061,0.0101959218335224,-0.00747397458689048
"23",1101,-0.0504536769096286,-0.0126343500122887,-0.004904899339645,-0.00373405145345462
"24",1151,-0.311227985835681,0.00323395140422689,0.0233060478958294,-0.00777938177024717
"25",1201,-0.128639942675836,-0.0144665094192485,0.0218774387420475,-0.0236156778011566
"26",1251,-0.00136574321124672,-0.00906674282412623,0.0156034742144593,0.00657299694747748
"27",1301,-0.102509281899456,-0.0499660271294342,0.0329714281157196,-0.00994747322990963
"28",1351,-0.0807875520482908,-0.0183602185449772,0.0190898966709327,-0.0178712255411728
"29",1401,-0.160584719767277,-0.0123849640700237,-0.0123597695808524,-0.00778946081674614
"30",1451,0.0675542551416108,-0.0217241069614826,-0.00618690219299062,-0.00911092901014177
"31",1501,-0.172325195807365,-0.0138954154819291,0.0252749033861569,-0.00529810053067969
"32",1551,-0.0862707493752867,-0.0200854133078812,0.0211509619663991,-0.00661978645723327
"33",1601,-0.266132076427571,-0.0231781703947135,-0.0069145258514467,-0.000686642308818208
"34",1651,-0.233421199002184,-0.0122557453714029,0.0211941539605014,-0.0144898509056199
"35",1701,-0.107274590530331,-0.0147983847352731,0.0176355140791341,-0.00957761737750429
"36",1751,0.0342535492675108,-0.018632072906889,0.00074188037775802,0.00505811177369214
"37",1801,-0.179670335329364,-0.0204028297107263,0.0213814899197649,-0.0107661972218809
"38",1851,-0.137424841307103,-0.0274590876173839,0.0229496467740513,-0.0149323505488539
"39",1901,-0.0721116397496407,-0.0175702621808581,0.0214371983903461,-0.0142046407405534
"40",1951,0.0233810714949391,0.00869552085953912,-0.0278643900027261,-0.0220507155206897
"41",2001,-0.1339895778777,-0.00719758549165994,0.0175886319331089,-0.0235813814965286
"42",2051,-0.144586992391853,0.00268364172707669,0.0244528111834628,-0.0240457898573794
"43",2101,0.0161102679500498,0.0066072621906228,-0.00567081961383667,-0.00776873701590702
"44",2151,-0.0838246544441814,-0.0219794023975726,0.0215995127488839,-0.0170269096000277
"45",2201,0.00526926412098758,0.00431087129481639,-0.00711963136313953,0.00286394293636372
"46",2251,-0.285898734957573,-0.0228732874357702,0.0236647597590591,-0.0202162288800364
"47",2301,-0.0958504184587634,-0.00187016475805502,0.00423285870416124,-0.00889406760741029
"48",2351,-0.0431156858038749,0.00752980773988376,0.015290390790077,-0.0229881542653123
"49",2401,-0.129862580567941,-0.0085258705615634,0.0222805895415759,-0.0151577985504934
"50",2451,0.00845244784543431,-0.00998865366165252,0.015179681152939,0.00428677687569157
"51",2501,0.028743253977322,-0.010519203524216,0.00984520945691203,-0.00858909931073237
"52",2551,-0.202693469616511,-0.0255207340429706,0.0267348144594177,-0.016383418854197
"53",2601,-0.150178711562207,-0.0180731169137607,0.0200617604677384,-0.0131815301706362
"54",2651,-0.200057911898795,-0.0249716515532395,0.0145517936183319,-0.0151510477217722
"55",2701,-0.234444539334918,-0.0297470077007875,0.0412984613954164,-0.0145542316768654
"56",2751,-0.244047184372675,-0.0192507674504214,0.0160482063245927,-0.00884758312178302
"57",2801,-0.0436651688273775,-0.0288379091403578,0.0319188817639815,-0.0126207455889481
"58",2851,-0.172683723604947,-0.0106414833317784,0.0186348015265807,-0.0129278209759998
"59",2901,-0.287496874144087,-0.0191854814515602,0.0328519528488869,-0.0216259840140454
"60",2951,-0.0655040245552408,-0.0154771739768053,0.0159554511698303,0.00374970983353684
"61",3001,0.121595585301266,0.00884824483581292,-0.0016923332750039,-0.0137984300247293
"62",3051,-0.202339253864939,-0.0194898651074872,0.0236985769556792,-0.0153087137831547
"63",3101,-0.12252017977798,-0.0268013476204804,0.0143589470066886,-0.0112720620721417
"64",3151,-0.0479264888084189,-0.005074800588796,0.00983474162781156,-0.0150481358365079
"65",3201,-0.0982633154242334,-0.00962883255781322,0.0101736372364647,-0.00486290367922493
"66",3251,-0.220615206993389,-0.0253429317281778,0.026464630889362,-0.0176237329089002
"67",3301,-0.161253881531328,-0.00641957578664029,0.00447176909104796,-0.00543328787587513
"68",3351,-0.0700980304236145,-0.0180865644465771,0.00687648971464405,-0.0376709233399092
"69",3401,-0.169299768883391,-0.0101177451236555,0.0134775992668522,-0.0101008301964046
"70",3451,-0.222604999395871,-0.0233993139275377,0.0206534836731682,-0.0151174731975564
"71",3501,-0.0973220077247712,-0.0140259568689916,0.0290967546058406,-0.00694870082356047
"72",3551,-0.0520258482848126,-0.0307097255507749,0.04520782570936,-0.011351963781765
"73",3601,-0.000987608911545368,-0.0123834555163647,0.00839400461006878,-9.25906573640001e-05
"74",3651,-0.110816323819357,-0.00674072382124868,0.0107138040865384,-0.00345373338295674
"75",3701,-0.0762518446855667,-0.0166140338013966,0.0195212052190528,-0.0112205039612167
"76",3751,-0.229674506906892,-0.0187863581419347,0.0284838134188177,-0.0340876908412807
"77",3801,-0.0375996880232665,-0.0124823255736564,0.0131657752461005,-0.00444081635444649
"78",3851,0.0314694673362964,0.00284940312233076,0.00475455625367258,-0.00123570051425892
"79",3901,-0.107518419254291,-0.010273126779835,0.0130678659974135,-0.00704413079388405
"80",3951,-0.122790145166255,0.00254548179245195,-0.00671319206275967,-0.0145337184985068
"81",4001,0.00780822151171867,-0.041113439934808,0.0207680292280661,-0.00770420560700946
