"","Iteration","Species","Units"
"1",1,-0.000515766035219276,0.0244254394568665
"2",51,-5.19801969420942e-05,0.0011213131623525
"3",101,-0.000134512078298982,0.00263161278746501
"4",151,-0.000155574145428001,0.00275279107833194
"5",201,-9.30527411135515e-05,0.00343909479596653
"6",251,-0.00021081370043238,0.00572636470510033
"7",301,-0.000273677186533859,0.00761641528451273
"8",351,-0.000132860240849396,0.0134059007961023
"9",401,-6.15295418367625e-06,0.000218138379187154
"10",451,-7.39206607635294e-05,0.00565211263407888
"11",501,-0.000204940335066419,0.00565468491012422
"12",551,0.00345655596202471,0.026054470151994
"13",601,0.00214903277766077,0.00962730732664254
"14",651,-7.66991559798823e-05,0.0042443189007268
"15",701,-7.72237806075928e-05,0.0106063817202177
"16",751,-0.000765255087428302,0.0276511169986515
"17",801,0.00234577448522774,0.0196038975472877
"18",851,-9.73784716327342e-05,0.00169843772229078
"19",901,-3.06534516782208e-06,0.000100559373069776
"20",951,-0.000450820025112084,0.00847927959075229
"21",1001,-9.48652462330618e-05,0.00611191951110339
"22",1051,-6.07785116693085e-05,0.00106655778920423
"23",1101,0.000889642198616403,0.00399913576025315
"24",1151,-0.000164150178102161,0.00843791943447923
"25",1201,-0.000201671493997265,0.0061588548407159
"26",1251,-0.000338579436073753,0.0236090068131896
"27",1301,-0.000530186295361972,0.029345129023955
"28",1351,-0.000353232328249234,0.00608031804782719
"29",1401,0.00603744397393742,0.00838341176160893
"30",1451,-9.89881522005493e-05,0.00896681297702111
"31",1501,-0.000143267265893535,0.0123597264498831
"32",1551,-0.00025030721400812,0.00501167494301714
"33",1601,-0.000222210785951028,0.0213904017205067
"34",1651,-0.000222567206656107,0.0038552034718023
"35",1701,-8.74310641854655e-05,0.00190826427263025
"36",1751,-0.000185680479136553,0.0197213146411139
"37",1801,-0.000180732782827561,0.00396025190678481
"38",1851,-0.000571493568930634,0.00659700701150642
"39",1901,-0.000203535426084065,0.00332774212190259
"40",1951,-4.91136718649181e-05,0.00594260130141398
"41",2001,-0.000178864634423235,0.0057975078757127
"42",2051,-0.000219877501799409,0.00727416226012721
"43",2101,-4.53386503368202e-05,0.00329733061375562
"44",2151,-0.000260718018135781,0.00492932486196149
"45",2201,-2.74299444663145e-05,0.000507935433004256
"46",2251,-0.000286648321776273,0.00580704541355759
"47",2301,-8.47244947712745e-05,0.00151352164844711
"48",2351,-0.000268533421562239,0.0118997252807558
"49",2401,-0.000624308742567703,0.0238519515682722
"50",2451,-8.33681295359905e-05,0.00722012954547292
"51",2501,-6.93857164046278e-05,0.0012209157008065
"52",2551,-0.00022362969930857,0.00479562285578417
"53",2601,-0.000215824003523832,0.00392669170995048
"54",2651,-0.000307957943867449,0.00983038293439246
"55",2701,-0.00103986981004489,0.0190608109424335
"56",2751,-0.000368389856440387,0.037101992812708
"57",2801,-0.000228675231159722,0.00510708739950322
"58",2851,-0.000182249977223741,0.00794746764792511
"59",2901,-0.000289987809635206,0.00882562841767332
"60",2951,-3.36077798997097e-05,0.00175169501601828
"61",3001,-2.41273113623308e-05,0.00340526025564561
"62",3051,-0.000156043663954992,0.00637555395517152
"63",3101,-0.0001040740368608,0.00755245874514016
"64",3151,0.00062472905645501,0.00492759460582607
"65",3201,-7.26669454663926e-05,0.00129045754282869
"66",3251,0.00207558957132882,0.00655981839034125
"67",3301,-3.36649410229784e-05,0.00136662589455738
"68",3351,-0.000536105019161698,0.0230710791272682
"69",3401,-3.52679523375554e-05,0.00105033635591608
"70",3451,-0.000231779817207367,0.00626364257416055
"71",3501,0.00115890847148172,0.00607723826261897
"72",3551,-0.000412169323441169,0.00656476064971218
"73",3601,-8.3205922438228e-05,0.0024341349309663
"74",3651,-7.76069278763596e-05,0.00112893529813831
"75",3701,-0.000151941453060494,0.0033097117288111
"76",3751,-0.000411451309057934,0.0116788627535738
"77",3801,-0.000127196995007008,0.00256531484597531
"78",3851,-1.39324731719402e-05,0.000998720873855583
"79",3901,-3.32207219760158e-05,0.00149731467885219
"80",3951,-0.000502839378049606,0.0332074343437582
"81",4001,-0.000249247540359128,0.0195942807023713
"82",4051,-0.000177345127507783,0.00552845514271412
"83",4101,-0.000129698594533744,0.00169376413490537
"84",4151,-0.000112350041099875,0.00793426296536408
"85",4201,-0.000158057420953811,0.00363394632611132
"86",4251,-0.000582506094995575,0.0145547920524127
"87",4301,-0.000372613301252247,0.0120301748937185
"88",4351,-0.000858826230607907,0.0183276296674951
"89",4401,-0.000129796502564996,0.0130065748365014
"90",4451,-3.58549946308972e-05,0.000786069779694381
"91",4501,0.00257827900085233,0.00689040118661071
"92",4551,0.00166645240633683,0.00607361836947922
"93",4601,-4.7189347340056e-05,0.00192826400436454
"94",4651,0.0121792786568191,0.0263100715828755
"95",4701,-0.000197549128545966,0.00356555634347429
"96",4751,-1.22067610283053e-05,0.0016185419885773
"97",4801,-0.000133385247889259,0.00238674877905729
"98",4851,0.00191911316990141,0.00531984351386229
"99",4901,0.000620767115407526,0.00549301163454449
"100",4951,-5.45546910515872e-05,0.00101254167361378
