"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",0.126304625621914,-0.235113209942938,0.514162078696245,0.0974963470427603,0.32603
"PreClim",-0.00606174948754981,-0.327198443264933,0.336738882382633,0.00147520590878791,0.8817
"InvClim",0.00727146085273146,-0.30261367483763,0.309225129545666,0.00586385621838836,0.84549
"InvTime",-0.00480558530813776,-0.32697265088791,0.353050110017648,-0.0154267901816523,0.88588
"Phylo",0.15904628812656,6.44657127342675e-14,0.433845612652489,-0.000428709626676096,5e-06
"Spp",0.121252248064442,4.26897085536048e-14,0.359491171032817,-0.000372766780345695,5e-06
"units",0.0217216038262456,0.000468277188827296,0.0565568342884754,0.00182354344295633,5e-06
"h2phylo",0.251516563005612,5.88196302533848e-12,0.824521505926406,0.00163993804934953,5e-06
"s2",0.227005626867562,5.03720898118627e-12,0.78458010880126,0.00217226800344384,5e-06
"CVphylo",0.255071756131775,-7.89182076159478,9.44991476561716,64.7895784884604,0.32603
"CVspp",0.243931596254404,-8.179885681293,8.37681007410473,-39.7221693743777,0.32603
"CVresid",0.0650465908331612,-9.20042239980548,10.9941812257396,-72.1823295694339,0.32603
