"","V1"
"1",0.264866687842869
"2",0.143178552445409
"3",0.280632097310832
"4",0.216092793030554
"5",0.0730360717050545
"6",0.238612772762534
"7",0.284516534380789
"8",0.304844557499946
"9",0.308892751919273
"10",0.267052861098706
"11",0.312071716506447
"12",0.339832730399314
"13",0.0880758286967377
"14",0.119673461501557
"15",0.148964609814214
"16",0.238349508001818
"17",0.397963798203779
"18",0.293584088903249
"19",0.370845577041275
"20",0.149018342326796
"21",0.211504116695618
"22",0.180982519663619
"23",0.349774619035378
"24",0.249855893796016
"25",0.393972860145459
"26",0.223141141600421
"27",0.277975648569147
"28",0.168397298698287
"29",0.288958938188457
"30",0.180546614445022
"31",0.304916241542885
"32",0.254394214967715
"33",0.307997290439571
"34",0.141470140397632
"35",0.156682452944061
"36",0.374177937644065
"37",0.262493304596654
"38",0.256344066567687
"39",0.265352405960247
"40",0.32432289529735
"41",0.305419690833574
"42",0.201124182668117
"43",0.223135924381578
"44",0.288819820431648
"45",0.335651469021483
"46",0.214206608376988
"47",0.0579087371928386
"48",0.308760525934399
"49",0.190720378073035
"50",0.349533493538172
"51",0.368508618657481
"52",0.196012418807587
"53",0.19232701583801
"54",0.276291503002981
"55",0.290325400292755
"56",0.274221290397198
"57",0.290365571244488
"58",0.116496121318227
"59",0.296418999646449
"60",0.295968818472947
"61",0.128060294591101
"62",0.127018582777527
"63",0.233165498496918
"64",0.323632840290281
"65",0.256687808793669
"66",0.344569213612397
"67",0.28359373266406
"68",0.305987604201451
"69",0.145440340586981
"70",0.121437943318381
"71",0.231573763083026
"72",0.210846829786474
"73",0.168528845403637
"74",0.301075421422951
"75",0.125357285827356
"76",0.25474830566471
"77",0.490842423776523
"78",0.259693626244279
"79",0.182006223236358
"80",0.453484111938445
"81",0.167212447031011
"82",0.343011216091574
"83",0.287565735235514
"84",0.122798328867097
"85",0.191162535229519
"86",0.134741027770878
"87",0.415030848532736
"88",0.124160253050634
"89",0.309818835908858
"90",0.242971230195844
"91",0.30131703842535
"92",0.151473370837329
"93",0.153961653648782
"94",0.215653058378523
"95",0.148750009179379
"96",0.277004144071706
"97",0.210797029550353
"98",0.365217518056954
"99",0.268109398400235
"100",0.232126013038819
