"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept):(Intercept).Cage",1,501,0.0826495626992044,1,0.00871568897660985,0.000139216127438091
"nTreatment:(Intercept).Cage",1,1001,0.0815798262711318,1,0.00448291940654258,0.000145965380893227
"(Intercept):nTreatment.Cage",1,1001,0.0815798262711318,1,0.00448291940654258,0.000145965380893227
"nTreatment:nTreatment.Cage",1,1,0.0810781375576731,1,0.0192406034007334,0.000406444173505983
"units",1,1,0.161360426632249,1,0.0944831011492493,0.000207294570879952
