"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",0.00932476836391382,0.00155451749545211,0.00155451749545211,-0.0007212855248155,-0.00492099921592431
"Lag 250",0.00953113857596848,0.032355809263662,0.032355809263662,-0.00511222204072769,-0.00251793642974661
"Lag 500",-0.00595121212631026,0.00192101630903583,0.00192101630903583,0.0201462546054111,0.00910137870649072
"Lag 2500",-0.0146715651165624,0.00479650897425512,0.00479650897425512,-0.0304802469911891,0.0172602548339071
