"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",0.123507058652669,-0.0801064193074126,0.342146094451891,0.0976213754221864,0.23788
"PreClim",-0.00764066276118402,-0.110800228045264,0.100663931658346,-0.00142840323590598,0.79694
"InvClim",0.00879695110852453,-0.0951335118643328,0.115439188521123,0.00583470813643228,0.78375
"InvTime",-0.0049110347270731,-0.109398798704206,0.108115591021487,-0.00725759018448446,0.83771
"Spp",0.0223962686268922,2.29459923706231e-14,0.0591792503482062,-0.00013114511434108,5e-06
"units",0.0216532284600238,0.000450298644204942,0.0565442468045052,0.00593963220803104,5e-06
"s2",0.325601541896123,7.46043251224076e-12,0.957077137880936,0.00233509003322634,5e-06
"CVspp",0.243931596254404,-8.179885681293,8.37681007410473,-39.7221693743777,0.32603
"CVresid",0.0650465908331612,-9.20042239980548,10.9941812257396,-72.1823295694339,0.32603
