"","V1"
"1",0.22787124517406
"2",0.249958414523639
"3",0.263182994458445
"4",0.0640876708825723
"5",0.248349630268912
"6",0.0639672886362854
"7",0.220625437887735
"8",0.19895489459779
"9",0.412811258603308
"10",0.228115659711883
"11",0.137225614954722
"12",0.213732018349243
"13",0.114056970822599
"14",0.182169153476212
"15",0.228705812957638
"16",0.242134129470924
"17",0.045265947591893
"18",0.174279479562817
"19",0.226986359101192
"20",0.0815655648863371
"21",0.130497881574425
"22",0.136162375066788
"23",0.145025548712791
"24",0.213332754267252
"25",0.0758420613067969
"26",0.0989779361590466
"27",0.37407357618473
"28",0.320259970013317
"29",0.142734482953488
"30",0.064903682085993
"31",0.0739625843580023
"32",0.211500263704657
"33",0.146434248684767
"34",0.191498433005578
"35",0.18413212792202
"36",0.245268804401982
"37",0.270898069422465
"38",0.292698434439584
"39",0.12718105938295
"40",0.051401889686666
"41",0.265617742703307
"42",0.140010517835601
"43",0.123191740310452
"44",0.352776100909542
"45",0.122266494483994
"46",0.21352389945485
"47",0.237670965389115
"48",0.110570375983603
"49",0.228785786139852
"50",0.239106780760291
"51",0.0808050360483397
"52",0.28736091390845
"53",0.456481973920298
"54",0.179841604404596
"55",0.112987296000422
"56",0.196968149042204
"57",0.0762240107730187
"58",0.256096746764895
"59",0.245870036735197
"60",0.137325309743487
"61",0.144766387660969
"62",0.0889212274741901
"63",0.237335879139258
"64",0.305621634980217
"65",0.23201888067796
"66",0.300836434907967
"67",0.264237286862747
"68",0.100007504734726
"69",0.0612751005204793
"70",0.199007561532748
"71",0.228278937280432
"72",0.188317276219609
"73",0.304759015274823
"74",0.20110904466885
"75",0.406773028844652
"76",0.0599727391690252
"77",0.250074492097539
"78",0.290424661760634
"79",0.152746786902479
"80",0.302181055674897
"81",0.182835607011602
"82",0.258168925918083
"83",0.266041322635351
"84",0.174394948832381
"85",0.126552965374839
"86",0.131567619668657
"87",0.244834007824642
"88",0.0874087480354627
"89",0.0533333258420226
"90",0.105766900563897
"91",0.237810807866987
"92",0.277791931017243
"93",0.151123042371795
"94",0.182133307001148
"95",0.296252109905366
"96",0.168485200488492
"97",0.140653118184145
"98",0.249377458396818
"99",0.334373152277845
"100",0.120224607504425
