"","Iteration","AbSpec","units"
"1",1,0.464399607278093,-0.0046305894881504
"2",51,0.000358317953774027,-0.00432199038061074
"3",101,-0.00576237131888547,-0.00690060468752126
"4",151,0.421467113972175,-0.00419961745237611
"5",201,0.11122801578449,8.69325791419484e-05
"6",251,0.169160709182324,-0.00774917917374482
"7",301,0.458318919078534,0.00102469187824503
"8",351,-0.00667856086275677,-0.00580411759132344
"9",401,0.113859892162073,0.000199998444399061
"10",451,0.0592255294264592,-0.00740230989877847
"11",501,0.31907159997675,-0.00550963330009921
"12",551,0.350024440872178,-0.00046324148889541
"13",601,0.0788020382569368,-0.00443756222210582
"14",651,-0.00288642261149243,-0.00888016667762091
"15",701,0.113068138295222,-0.00262110014108444
"16",751,0.00352067024425709,-0.00502278417126599
"17",801,0.176624346615472,-0.00736328835215155
"18",851,0.12389291088148,0.00427972747517548
"19",901,0.102253751633269,-0.00571565163597752
"20",951,0.359380379761815,-0.00919976338403011
"21",1001,0.493634969900993,-0.00115654732087765
"22",1051,0.122090373077349,-0.00322415622406593
"23",1101,0.442569614204672,-0.0153963085788705
"24",1151,-0.00316642127345519,-0.00632465309344191
"25",1201,0.440870172585791,-0.00900178890260264
"26",1251,0.0937384251765667,0.00377639427749582
"27",1301,0.409826670386326,-0.00326696869897507
"28",1351,0.370548789744866,0.000435252569622234
"29",1401,0.146686937896168,-0.0074359790754305
"30",1451,0.132329958612071,-0.00759829136734003
"31",1501,0.122959601783408,-0.00790049268831671
"32",1551,0.156999986872069,-0.00597253986553848
"33",1601,0.123190015694938,-0.0137073002822444
"34",1651,0.0728644878654964,-0.0155473040857771
"35",1701,0.0439829171904504,-0.004998978008247
"36",1751,0.140384760657637,-0.00379410124628617
"37",1801,0.478628974517062,-0.00646612746483322
"38",1851,0.35667054236903,-0.0106431632442127
"39",1901,0.283024490319832,-0.00608308957323254
"40",1951,0.103662477078201,-0.00647725850856706
"41",2001,0.11932836518489,-0.00251090549623687
"42",2051,0.0520347585733335,-0.0023325753618881
"43",2101,0.232395827150542,-0.00589460176344244
"44",2151,0.00874519595588985,-0.00373413960865412
"45",2201,0.135839677270787,-0.00395514363705655
"46",2251,0.478777828594496,0.000507233695181067
"47",2301,-0.0030610104575496,-0.00587765948883463
"48",2351,0.429393724867821,-0.00734944851390435
"49",2401,0.00914109591806577,-0.0049559208483271
"50",2451,0.00118719653864098,-0.00503149372904523
"51",2501,0.272030233058798,-0.00740550559293801
"52",2551,-0.00331955758100374,-0.00674386682306456
"53",2601,0.0985657047376547,0.00089316459043206
"54",2651,-0.0091494873448407,-0.00642835630806464
"55",2701,0.127426093919376,-0.00668168333201721
"56",2751,0.119302280038658,-0.00177496320338078
"57",2801,0.00053545307462213,-0.0071959492412338
"58",2851,0.474087684842418,-0.00363783075332912
"59",2901,0.10990222634239,-0.00648229840484651
"60",2951,0.485879144155897,-0.00332348854410047
"61",3001,0.0428264470427473,-0.00637829062170852
"62",3051,0.191510864535712,-0.00471029749247458
"63",3101,0.0995742192205871,-0.0106178022383751
"64",3151,0.488930264265395,-0.000129256794930094
"65",3201,-0.00676126486637433,-0.0069136810272384
"66",3251,0.255817119064619,0.000973486170586932
"67",3301,0.00492677062856066,-0.00447511323625638
"68",3351,0.20349854706883,-0.00904377660635258
"69",3401,0.137447709798716,-0.0151909741915398
"70",3451,0.00562990890612143,-0.00529487687500445
"71",3501,0.0486724379830556,-0.00514794842365109
"72",3551,-0.00376568525809772,-0.00413061394968459
"73",3601,-0.00357085521284068,-0.00412795564327002
"74",3651,0.0149903949253773,-0.00532589202451898
"75",3701,0.0775164635802932,-0.00664863120284839
"76",3751,-0.000459626171448429,-0.00561403786847604
"77",3801,0.125366357624254,-0.00157747656320392
"78",3851,0.0123291463907547,-0.00213810580439488
"79",3901,0.0900216605971597,-0.00320183234489133
"80",3951,0.246332102481856,-0.00461438797680524
"81",4001,0.00184482603126787,-0.00884407820181071
"82",4051,0.446932815328496,-0.00518568514631974
"83",4101,0.288329226481989,-0.00734139354323594
"84",4151,0.181948016750478,0.00283489295965672
"85",4201,0.121979690993226,-0.00621628569433429
"86",4251,0.139076092820967,-0.00827188141993176
"87",4301,0.0973679310185198,-0.00805515598905238
"88",4351,0.114903743726727,-0.0104943148889001
"89",4401,0.0591671307303267,-0.00558238027717284
"90",4451,0.0166347873472116,-0.00230575386883446
"91",4501,0.218876472950492,-0.0171940181493136
"92",4551,0.173542832299794,-0.0078242635341735
"93",4601,0.207602894196407,-0.00375750069816569
"94",4651,0.109131022535913,-0.00452428388910348
"95",4701,0.000739602614689003,-0.000140713548833708
"96",4751,0.110770050812715,-0.00448987403769847
"97",4801,0.0650367398386772,-0.0099692316596194
"98",4851,0.231160296484719,-0.00594288611552073
"99",4901,0.242264964821125,0.000923405081195752
"100",4951,0.449931682082578,-0.00533556099188664
