"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",0.0621358028941338,-0.292492527269587,0.435058511095122,0.126574530577705,0.70337
"PreClim",0.00107931313827508,-0.308136308129178,0.319155683129793,0.015114809202144,0.98576
"InvClim",0.00183927052553674,-0.283174660202349,0.294436161646445,-0.00861462362561838,0.99451
"InvTime",0.00377172552156984,-0.308510934657534,0.287477221127119,-0.0112148666637397,0.95524
"Phylo",0.237243685742928,3.62970743517939e-16,0.326900148981781,-0.000231747944629853,5e-06
"Spp",0.13147526966465,8.69972933597877e-14,0.262807783782015,-0.000216858929548284,5e-06
"units",0.0137120980914245,7.60288917397809e-05,0.0443254989305691,0.0010960153484655,5e-06
"h2phylo",0.243566439024817,2.21564604253996e-15,0.845396942033988,0.00165754166202006,5e-06
"s2",0.228061325841005,5.04821942100693e-12,0.815665065013872,0.00220606116484486,5e-06
"CVphylo",0.0831921829294115,-6.84978767639715,6.89940952529257,31.7829462805494,0.70337
"CVspp",0.0307106744174539,-6.15661786738715,6.89288956298811,89.4871044201136,0.70337
"CVresid",-0.0400883967014545,-7.49776252166421,7.91448236981132,6.65822589298114,0.70337
