"","Iteration","PhyloDIC","PolyDIC","Diff"
"1",1,-568.441684747793,-568.485230629924,0.0435458821305019
"2",51,-579.407411545892,-579.456520115329,0.0491085694374078
"3",101,-439.454128055278,-439.458203254311,0.00407519903353659
"4",151,-558.836517359063,-558.876515800748,0.0399984416848156
"5",201,-464.234311591171,-464.234653799541,0.00034220836954546
"6",251,-542.759953718996,-542.794709006081,0.0347552870850905
"7",301,-500.627357881284,-500.648588729836,0.0212308485520225
"8",351,-464.22219627352,-464.230751872286,0.00855559876561074
"9",401,-571.849451905375,-571.889433050645,0.0399811452696213
"10",451,-581.750795710313,-581.799503484526,0.0487077742129713
"11",501,-547.603522280331,-547.640511719652,0.0369894393205641
"12",551,-575.593095995509,-575.636982334327,0.0438863388183108
"13",601,-471.895329950402,-471.906954456404,0.0116245060026472
"14",651,-545.664845542392,-545.69540681584,0.0305612734484839
"15",701,-450.930298853448,-450.939305748196,0.00900689474826777
"16",751,-513.18432689658,-513.209741140561,0.0254142439808902
"17",801,-549.472055123621,-549.504392343768,0.0323372201477241
"18",851,-343.621518128507,-343.605651569346,-0.0158665591605427
"19",901,-408.427151823852,-408.418631977587,-0.00851984626564217
"20",951,-496.643335502704,-496.664682497349,0.0213469946448868
"21",1001,-469.83772410542,-469.85040572983,0.0126816244095949
"22",1051,-427.144417023434,-427.148565516033,0.0041484925989721
"23",1101,-470.942176817465,-470.949799441899,0.00762262443402051
"24",1151,-511.624338267235,-511.644453926696,0.0201156594615668
"25",1201,-513.256519098843,-513.280239089401,0.0237199905576517
"26",1251,-404.442411686061,-404.442982532025,0.000570845963977717
"27",1301,-451.141740174538,-451.150157440666,0.00841726612731009
"28",1351,-502.798602100915,-502.820424892907,0.0218227919926903
"29",1401,-491.248925543337,-491.270294443947,0.0213689006097866
"30",1451,-355.052355554975,-355.022966334948,-0.0293892200269283
"31",1501,-563.736412520007,-563.779396779199,0.0429842591927354
"32",1551,-518.18371069445,-518.206871593673,0.0231608992227166
"33",1601,-537.50161574786,-537.529916835204,0.0283010873447438
"34",1651,-568.526059824642,-568.565034057809,0.0389742331669822
"35",1701,-580.977767917557,-581.025052663288,0.0472847457307353
"36",1751,-579.02592601518,-579.074261496247,0.0483354810664878
"37",1801,-523.189931645654,-523.208666495937,0.0187348502822715
"38",1851,-418.542780111773,-418.54598201601,0.00320190423730082
"39",1901,-500.016782196972,-500.038820632357,0.0220384353857526
"40",1951,-406.884322151036,-406.885468243844,0.0011460928075735
"41",2001,-572.562434122796,-572.599970473521,0.0375363507248494
"42",2051,-581.727618105217,-581.777861451242,0.0502433460247858
"43",2101,-383.254411190964,-383.23646572624,-0.0179454647247894
"44",2151,-445.076354718768,-445.084287453375,0.00793273460709543
"45",2201,-509.034272158942,-509.056886217091,0.0226140581496566
"46",2251,-543.80886978389,-543.842371088792,0.0335013049020745
"47",2301,-336.41959288317,-336.397315870538,-0.0222770126317187
"48",2351,-525.027757970165,-525.052403665195,0.0246456950304719
"49",2401,-389.421486143969,-389.422626935158,0.00114079118907284
"50",2451,-426.251957543129,-426.249929660306,-0.00202788282240363
"51",2501,-528.312921246552,-528.343777719788,0.030856473236895
"52",2551,-380.091273822329,-380.084979447172,-0.00629437515630116
"53",2601,-517.45734316965,-517.483021663599,0.0256784939492718
"54",2651,-380.610048184822,-380.603102921542,-0.00694526327930589
"55",2701,-544.85362720756,-544.889719597194,0.03609238963395
"56",2751,-581.453255382336,-581.49923740096,0.045982018624386
"57",2801,-379.721674977647,-379.717129686236,-0.00454529141131843
"58",2851,-513.322588543775,-513.345961979331,0.0233734355558681
"59",2901,-425.37177207449,-425.376158518157,0.00438644366636254
"60",2951,-580.206755265517,-580.254453909144,0.0476986436264042
"61",3001,-382.480627566673,-382.46330244545,-0.017325121222882
"62",3051,-540.529593583456,-540.561599605934,0.0320060224782992
"63",3101,-371.187710859445,-371.181169145788,-0.00654171365732736
"64",3151,-490.589470281566,-490.606641958685,0.0171716771193928
"65",3201,-582.3955450671,-582.443182764405,0.0476376973047081
"66",3251,-570.902097511616,-570.946927474414,0.0448299627975075
"67",3301,-579.062748176039,-579.111966987857,0.0492188118181502
"68",3351,-515.503776775639,-515.529361036056,0.0255842604162808
"69",3401,-504.251123334504,-504.273698343971,0.0225750094670047
"70",3451,-415.879034100277,-415.877592048345,-0.00144205193174685
"71",3501,-531.23671055021,-531.268940670261,0.0322301200515085
"72",3551,-473.261695034855,-473.274195045105,0.0125000102505055
"73",3601,-547.208862256431,-547.245494466716,0.0366322102852337
"74",3651,-506.141436023792,-506.160689837848,0.0192538140557872
"75",3701,-539.796180756721,-539.820458171302,0.024277414580979
