"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.0324083565533411,-0.220753408968449,0.139393969002413,-0.0303997591197587,0.40663
"PreClim",-0.00188965958666796,-0.188812342832534,0.189158188572037,0.00239938194921585,0.98552
"InvClim",-0.00377991414430709,-0.189137938272324,0.178401071323606,-0.00543055702982387,0.88941
"InvTime",0.00570668544405081,-0.170114036212908,0.184619116145768,0.00366716794593236,0.91808
"Phylo",0.0267300449574739,3.86380269107556e-14,0.0943441924865985,-0.000157396581775487,5e-06
"Spp",0.0308067965431808,2.4126154509651e-14,0.133711822904004,-0.000207956445375384,5e-06
"units",0.000102527098259277,2.10369957630209e-05,0.000310115247453258,3.60856181360041e-05,5e-06
"h2phylo",0.473388522467442,5.55296093883456e-11,0.97813422507162,0.00177707046511953,5e-06
"s2",0.496773640795545,5.61018131836561e-12,0.983941454527825,0.00172277469135074,5e-06
"CVphylo",7.97637297760902,-14.3551563054828,14.1836432946876,-792.094357329748,0.40663
"CVspp",-0.173621147458055,-15.9044086817843,16.5297698144633,-66.7796740158228,0.40663
"CVresid",0.0457633822818804,-2.08913842505269,1.75005465132901,45.1883997621735,0.40663
