"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",0.000879259880470742,0.0267429634109505,0.0267429634109506,0.0115419994755238,0.00130908045513355
"Lag 250",0.00274847856413101,-0.0243183553231673,-0.0243183553231673,0.00414331180534824,-0.00774001653389255
"Lag 500",-0.00524735396296221,0.00322494676339586,0.00322494676339585,-0.0187589911849429,-0.0143948950979416
"Lag 2500",0.0210461501048423,0.012447364095009,0.012447364095009,-0.0121411550369908,-0.00666469856697183
