"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.401300476184901,1,0.474158695581495,0,0.280097175893583,1,0.00875812061926557
"2",51,1,0.759344797139081,1,0.726111346847225,0,0.200601037345158,1,0.0087710283671037
"3",101,1,0.9016592403931,1,0.589348573598774,0,0.256957395032101,1,0.00880282414488163
"4",151,1,0.181929294721391,1,0.475825401169446,0,0.271846432817386,1,0.00910567296679287
"5",201,1,0.791526329656423,1,0.616579726759409,0,0.200913162331764,1,0.00923611280312399
"6",251,1,0.170591731082454,1,0.552028916783056,0,0.251448760881111,1,0.00910140618987695
"7",301,1,0.565265660892222,1,0.604262716382831,0,1.67824482702287,1,0.00887513701032515
"8",351,1,0.476275408829002,1,0.619436553404415,0,0.20896157899557,1,0.00876829149911013
"9",401,1,0.824925701684953,1,0.734693094231383,0,0.184580821305511,1,0.00878213440900911
"10",451,1,0.0631985888513388,1,0.51159080765949,0,0.25993189322889,1,0.00911388958118136
"11",501,1,0.537866290017816,1,0.646993986842504,0,0.194661091057987,1,0.00880545498720028
"12",551,1,0.2551234224431,1,0.488402395632511,0,1.63070104420898,1,0.00889929500451949
"13",601,1,0.998092411165063,1,0.570685371320071,0,0.229066382641668,1,0.00881635516969958
"14",651,1,0.136683504990675,1,0.605126616533908,0,0.2298276263978,1,0.00888307447551752
"15",701,1,0.740192346818423,1,0.763288625774334,0,0.226180165615705,1,0.00878443896398823
"16",751,1,0.193625930937269,1,0.725952668464827,0,0.208162890207422,1,0.008809315613729
"17",801,1,0.126536745503168,1,0.554801565756989,0,0.182991506493103,1,0.00884728187356806
"18",851,1,0.808365834219138,1,0.601012693857293,0,0.256637722443177,1,0.00877172998116712
"19",901,0,0.0476493826444502,1,0.550222026661346,NA,NA,1,0.00879712146834433
"20",951,1,0.12352504798869,1,0.696586610805482,0,0.21392973683449,1,0.00882857878634368
"21",1001,1,0.989619416081862,1,0.599502143601421,0,0.224234801875507,1,0.0088512149493741
"22",1051,1,0.227858925879999,1,0.462476039104812,0,0.257823351819365,1,0.00908949126230579
"23",1101,1,0.830228039112873,1,0.613236359491889,0,0.170940258360684,1,0.00885665845628459
"24",1151,1,0.196763940354975,1,0.52305545958395,0,0.271429923534784,1,0.00910702854876847
"25",1201,1,0.162319571487589,1,0.508901418633317,0,0.182788944639093,1,0.00919647375891961
"26",1251,1,0.33520411850226,1,0.684142526659181,0,0.240074784842614,1,0.00881916969795605
"27",1301,1,0.424852991865911,1,0.52540402125565,0,0.269146174143172,1,0.0087768752385509
"28",1351,1,0.327220871801415,1,0.516714751187984,0,0.249968700160487,1,0.00909992609129989
"29",1401,1,0.172672456239985,1,0.458515470294447,0,0.249767307384402,1,0.00877814983932219
"30",1451,1,0.115100721212759,1,0.553423744295568,0,0.2396799985672,1,0.00881206456518467
"31",1501,1,0.179132314506655,1,0.589805403359414,0,0.259451179381189,1,0.00914589220519471
"32",1551,1,0.976085109161456,1,0.587081956787276,0,0.240276399029002,1,0.00883694999402845
"33",1601,1,0.75577941816108,1,0.402062511167897,0,0.157086754508714,1,0.00884924632328742
"34",1651,1,0.448868064554568,1,0.736222774126937,0,0.213891749211831,1,0.00879956004916609
"35",1701,1,0.997972483485671,1,0.589818542361867,0,0.241982188766636,1,0.00879814198181743
"36",1751,1,0.160784544138461,1,0.750615811103292,0,0.289741234712401,1,0.0088546496279933
"37",1801,1,0.109398497648749,1,0.699416226631943,0,0.233986330377812,1,0.0088404921997427
"38",1851,1,0.539519014258944,1,0.630971701785036,0,1.72206726787921,1,0.00893430990534977
"39",1901,1,0.814662826310064,1,0.730345608136264,0,0.223349852429798,1,0.00878363342306307
"40",1951,1,0.264212456440773,1,0.527487089193022,0,0.202627411294189,1,0.00876698446192725
"41",2001,1,0.0955180946599261,1,0.436424529846928,0,0.267493742928991,1,0.00877976646967841
"42",2051,1,0.138005086212188,1,0.707558526552037,0,0.22763665920202,1,0.00883927834603867
"43",2101,1,0.9106637468858,1,0.651252591699009,0,0.201205758565002,1,0.00881470075806285
"44",2151,1,0.965197119067704,1,0.612019526232132,0,0.216356911616044,1,0.00880915442745786
"45",2201,1,0.302392145509605,1,0.507490465572448,0,0.267658445646345,1,0.0091130171539077
"46",2251,1,0.995268759733132,1,0.563218095159344,0,0.234634667583664,1,0.00881712976584813
"47",2301,1,0.358433345329519,1,0.568615754244754,0,0.174351434919271,1,0.00878501044223768
"48",2351,1,0.160316354873345,1,0.548411700108663,0,0.22469769027147,1,0.00911489146614945
"49",2401,1,0.979185602529929,1,0.629179023967306,0,0.252027390128355,1,0.00881022288722027
"50",2451,1,0.0514615260894664,1,0.664189183317725,0,0.220157031714351,1,0.00881126219165785
"51",2501,0,0.0223919197986052,1,0.681086431412189,NA,NA,1,0.0088603558681961
"52",2551,1,0.361250499026357,1,0.455856333646731,0,0.277117204515234,1,0.00876673224740967
"53",2601,1,0.400719505261658,1,0.591684511223225,0,0.247687350333418,1,0.00883807133799556
"54",2651,1,0.247115974990104,1,0.487564138295963,0,0.264391926954838,1,0.00913241083437177
"55",2701,0,0.0242101221593428,1,0.609268173040764,NA,NA,1,0.00887558184158987
"56",2751,1,0.184924229458639,1,0.660059304595492,0,0.226129026466781,1,0.00885899775138457
"57",2801,1,0.983609186150391,1,0.706011776914295,0,0.168283579384396,1,0.00892245474178915
