"","Iteration","Intercept","Preclim","InvClim","InvTime"
"1",1,-0.383743418909099,-0.00953062547286621,0.0306512601132378,-0.012637107203051
"2",51,-0.284530361832721,-0.0249152492006728,0.013973307879124,0.00968292072434918
"3",101,-0.247440525547313,0.0012644491364473,-0.00782912851633988,-0.00684350963187619
"4",151,-0.0855250567382494,0.0113545030216143,-0.00456993364478397,0.000128795683031147
"5",201,-0.297537205413678,-0.00991140734105223,0.00947696046924018,-0.00559250617043361
"6",251,-0.0661462314570816,-0.00285643225442461,0.000944657301458207,-0.00090265495385522
"7",301,-0.218997284250062,-0.00964291878623991,0.02281434448353,-0.0310709176148145
"8",351,-0.145185483309737,-0.000154618787283844,-0.0221978514619066,-0.00649801429338137
"9",401,-0.261144912038333,-0.00480809881060629,0.0242623882704383,-0.0363797109699127
"10",451,-0.124067340716361,0.0144893213915367,-0.0104330858933663,0.00960830545395996
"11",501,-0.266985123719002,-0.00268151278566098,0.0108855677302269,-0.0101685447416777
"12",551,-0.196655864201283,-0.00816896819702251,0.00775544422686636,-0.0106333082599401
"13",601,-0.0652416108913469,-0.00239150426105061,0.00265244342674209,0.000920044866095537
"14",651,-0.176332672284942,0.0010667466683929,-0.00536063450059654,0.00285937200217057
"15",701,-0.204158096373408,-0.0148421343677585,0.0197008765742077,0.0121536758977822
"16",751,-0.187087108547546,0.00487711568317284,-0.0116185135096113,0.00307013700390779
"17",801,-0.0840110137385854,0.00886610858267223,-0.0084580993593264,0.00388278622695615
"18",851,-0.175723948402184,-0.00350338551015383,-0.00185290172583241,0.00195602083205415
"19",901,0.00783128431028313,-0.00793108708891466,0.00569496502034683,-0.00402489504790005
"20",951,-0.236988179609096,-0.00299039126751222,0.0176642681267971,-0.0106748777232246
"21",1001,-0.12965281686387,-0.00288384497000838,0.00790392124110784,-0.00183728062185107
"22",1051,-0.16674248222128,0.000675877338944142,4.59693888587021e-05,-0.00440867620994434
"23",1101,-0.0785706730624536,0.00338187981819438,0.00278762009768596,-0.0172235326925572
"24",1151,-0.171473369986785,-0.00605446868491688,-0.0197527663301527,0.00946215131700523
"25",1201,-0.151825220883869,-0.00243670948645192,0.0218070282420781,-0.0106247196912013
"26",1251,-0.103563792004172,0.0207707816828557,-0.00900063212407876,-0.012612616869647
"27",1301,-0.194503362491974,0.024170031488352,-0.00631247047128669,0.00912264521385975
"28",1351,-0.123882689611387,0.00890667628236264,-0.00747675476931331,0.0108360676842523
"29",1401,-0.0856249738660912,0.0021273886362454,-0.00148586335554279,-0.00238708030102619
"30",1451,-0.250716442630179,-0.0275917144800675,-0.00964419999547284,-0.00650286578092096
"31",1501,-0.244717374142842,-0.00166732190533359,0.00740671876015364,0.000462208168760858
"32",1551,-0.313740749061881,-0.00291395464611832,0.0103429603828282,-0.000518347389388385
"33",1601,-0.100916393009656,0.0350479493275824,-0.00579330121017874,-0.00719176978454272
"34",1651,-0.171498016930592,-0.00709085592684683,0.00541837987581634,-0.0054846087333566
"35",1701,-0.27915406136231,-0.00166170415281153,0.00126436698675048,-0.00151223361150055
"36",1751,-0.201190243538637,-0.0109964513604035,-0.00543671407721513,0.000186837715130395
"37",1801,-0.191255924942458,-0.00894009510514104,0.000549745652981937,-0.00289615028256607
"38",1851,-0.105232446749819,0.00558965103582509,0.00113906614512138,-0.000572044360267476
"39",1901,-0.226830435751274,0.00713085326061691,-0.00575171858617374,0.0212843489500398
"40",1951,-0.175069660006889,0.0161551219138598,-0.00411872578223571,0.0014329410324484
"41",2001,-0.0584142966225669,0.00235410188407648,0.0031096605159715,-0.00708481123695037
"42",2051,-0.0538079607632129,-6.84436667723887e-05,0.0024702799708094,-0.00335291807154237
"43",2101,-0.0534800919243912,0.0155702662293331,-0.0205880077686613,-0.00195989241201389
"44",2151,-0.140902617916378,-0.0315215005312204,0.0160584653660503,0.00626542988556267
"45",2201,-0.237370301541253,-0.0116160774595884,0.00452733719254916,0.00399976469614627
"46",2251,-0.124209645765486,0.00941950865208541,-0.0166542987439593,0.0100529642583833
"47",2301,-0.0352265317015379,0.00701816885193274,-0.0139641155499017,0.00501120676620082
"48",2351,-0.140934628384909,0.0105317423620126,-0.00320849050758198,0.00777205782202506
"49",2401,-0.173066824332587,0.00190269315634573,-0.000365095949899308,-0.00160745940887219
"50",2451,-0.162420808980955,-0.000444989737233392,-0.00269203695909759,-0.00415097811574522
"51",2501,-0.199248319610558,-0.00468972857744099,0.00279411207866564,-0.00327141114763529
"52",2551,-0.071818838236108,0.000948828954168368,-0.00729744001227717,0.000503524070174066
"53",2601,-0.211830258079252,-0.0216476731104391,0.00957880324597182,-0.00207033040407001
"54",2651,-0.107955504568388,0.0213638733770363,-0.010325895733343,-0.00512586590145414
"55",2701,-0.27317707386893,-0.00359946674031186,0.0133293271389998,0.000780852575278601
"56",2751,-0.113227958943603,0.00638380996487425,-0.00126597061437494,-4.0534384418367e-05
"57",2801,-0.190787147242525,0.0135706898558565,-0.00406418891539451,0.000121204282275134
"58",2851,-0.229200892115147,0.00463257828553676,0.00147237426761349,-0.00698167643653358
"59",2901,-0.0510528534417185,0.00553115569848295,0.0018454262483969,-0.00823426920822756
"60",2951,-0.245442105012434,-0.000894755074329012,-0.00338463858502247,0.00514265120655999
"61",3001,-0.130880299913954,0.00447114585692576,-0.0012834441990881,-0.00271486366033402
"62",3051,-0.172628651620452,0.000571175556679682,0.00302262054933744,-0.00518170724541067
"63",3101,-0.043208295602974,0.00397745485083828,-0.00554923972982269,0.00339244971539654
