"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.261646750230294,1,0.603046937897955,0,0.262537907188476,1,0.00823431095935614
"2",51,1,0.457992930084499,1,0.783059535203953,0,0.19865579062534,1,0.00824537277539039
"3",101,1,0.536160353243771,1,0.675251026689877,0,0.245614677152256,1,0.0082638505048128
"4",151,1,0.173041278757105,1,0.609829835514167,0,0.25541405495195,1,0.00826175024361226
"5",201,1,0.990958777417781,1,0.777945058817605,0,0.170696434917504,1,0.00837732497063207
"6",251,1,0.373810263173879,1,0.744664403307244,0,0.240894282278899,1,0.00826265983281074
"7",301,1,0.570370591251144,1,0.774447579884325,0,1.66391459566069,1,0.00835454894260773
"8",351,1,0.538343390709672,1,0.712419869192563,0,0.20768574272989,1,0.0082410981611756
"9",401,1,0.220131599829858,1,0.830259089803324,0,0.174882799326777,1,0.00825647273463752
"10",451,1,0.347421945914182,1,0.666653016107446,0,0.244528415069311,1,0.00827198862032056
"11",501,1,0.278518518100189,1,0.753042053235912,0,0.18466331109588,1,0.00828908612353467
"12",551,1,0.292932218307761,1,0.611621014194772,0,1.60677387456949,1,0.00837953837934437
"13",601,1,0.278298425873072,1,0.717129991686052,0,0.208031126144596,1,0.00828598795363308
"14",651,1,0.17187470594978,1,0.852701241182695,0,0.215709084387154,1,0.00834480527447754
"15",701,1,0.543487120899968,1,0.844152939241569,0,0.217576129535459,1,0.00825900994522069
"16",751,1,0.288827055604326,1,0.830062413260782,0,0.186221187762102,1,0.00826582608217492
"17",801,1,0.78610005973815,1,0.758196410718956,0,0.172711012359181,1,0.00830478543815844
"18",851,1,0.169493512252403,1,0.770306122201228,0,0.224980834733117,1,0.0082435503120589
"19",901,1,0.309464450237847,1,0.701540080432098,0,0.210571052052063,1,0.00826564634630515
"20",951,1,0.561932397400157,1,0.817622724162788,0,0.22938037239612,1,0.00828973270416558
"21",1001,1,0.177939224943937,1,0.766729925403077,0,0.198592473897503,1,0.00832284245301405
"22",1051,1,0.177609996768707,1,0.588919489838898,0,0.244733930849571,1,0.0082551363751863
"23",1101,1,0.23850990293363,1,0.760170422025916,0,0.161863556624827,1,0.0083270768751354
"24",1151,1,0.306188400083515,1,0.682199722188814,0,0.262698423222813,1,0.00825554768950664
"25",1201,1,0.137195207733564,1,0.766367124126847,0,0.16918673222585,1,0.00835980197497522
"26",1251,1,0.870421870041278,1,0.815786197094774,0,0.205159157248251,1,0.00827569355898244
"27",1301,1,0.181773073735274,1,0.669231773481627,0,0.251566937792432,1,0.0082466032090831
"28",1351,1,0.235113001005213,1,0.654546557945862,0,0.23841860298449,1,0.00826391848027707
"29",1401,0,0.0482610423905523,1,0.579180403203691,NA,NA,1,0.00825289823395543
"30",1451,1,0.326055439353076,1,0.707035267436521,0,0.231505233867059,1,0.00827342528836356
"31",1501,0,0.032177928394364,1,0.76549507452972,NA,NA,1,0.00830583363927175
"32",1551,1,0.328174866317526,1,0.760977779629857,0,0.203256526544465,1,0.00830585177264301
"33",1601,1,0.546654016126248,1,0.551344288079048,0,0.147045877816627,1,0.00832442917879707
"34",1651,1,0.190079153905747,1,0.837383751605383,0,0.194347998979656,1,0.00826599165673819
"35",1701,1,0.347744599780836,1,0.717536737472474,0,0.213066542949298,1,0.0082661347284659
"36",1751,1,0.0690563657209803,1,0.811088216273965,0,0.260456323573241,1,0.00831255802557634
"37",1801,1,0.128580944556448,1,0.775755499874591,0,0.24853239307608,1,0.0082960120196946
"38",1851,1,0.54308278988851,1,0.821939469751626,0,1.70393078057795,1,0.00840425505137733
"39",1901,1,0.663266655256433,1,0.832023443735408,0,0.215793857817044,1,0.00826510265317274
"40",1951,1,0.32331209076585,1,0.621057180362463,0,0.199729940296693,1,0.00824062996518519
"41",2001,1,0.0546437885381941,1,0.562319348306936,0,0.251183831241909,1,0.00825245532471825
"42",2051,1,0.0561871614057303,1,0.880693557208243,0,0.213917865273654,1,0.00829814529052431
"43",2101,1,0.684577016845744,1,0.787179357950993,0,0.183579788250762,1,0.00828388936944843
"44",2151,1,0.423212263042032,1,0.734214886673916,0,0.209574466763147,1,0.00827181153846525
"45",2201,1,0.327057143073936,1,0.662392345301911,0,0.252563343375262,1,0.00827199087904056
"46",2251,1,0.202888521962116,1,0.699807574478831,0,0.220816021185319,1,0.00828568412044143
"47",2301,1,0.242945646815612,1,0.663804853006811,0,0.17064910452183,1,0.00825353701021261
"48",2351,1,0.428524334859929,1,0.689054684890127,0,0.222936997104337,1,0.00826789315639886
"49",2401,1,0.0637829822138724,1,0.733255956967529,0,0.270903409808178,1,0.00827070124654453
"50",2451,1,0.934066824731246,1,0.791468000619658,0,0.227054342343957,1,0.00826853703780064
"51",2501,0,0.0177382586691067,1,0.804805946720306,NA,NA,1,0.00832334849920699
"52",2551,1,0.232959343930136,1,0.580459737327715,0,0.260307173309408,1,0.00824234602896274
"53",2601,1,0.0548365605230288,1,0.755905775459496,0,0.23967629330081,1,0.00831002046257708
"54",2651,1,0.404765188946039,1,0.637496165495747,0,0.251286209461273,1,0.00827613173140014
"55",2701,0,0.0364058145233778,1,0.802418154600536,NA,NA,1,0.0083415372497128
"56",2751,0,0.00276256976915445,1,0.801153646830333,NA,NA,1,0.00833964834252552
"57",2801,1,0.579255582267968,1,0.884114207751747,0,0.160167133592878,1,0.00839676675821509
"58",2851,1,0.0547417800142808,1,0.688828814382834,0,0.257126012207347,1,0.00826420372332881
"59",2901,1,0.341325121773502,1,0.804438991402566,0,1.62924987979921,1,0.0083925864841447
"60",2951,1,0.310749893637326,1,0.647941080531546,0,0.274568312428385,1,0.00824017405613008
"61",3001,1,0.55036016636324,1,0.675388249130116,0,0.239407609518642,1,0.00827496435808438
"62",3051,1,0.170282815198857,1,0.896345530292798,0,0.16575236723675,1,0.00833934486749398
"63",3101,1,0.06226179294166,1,0.85138099836962,0,0.154314914889431,1,0.0083478037267525
"64",3151,1,0.654136386415807,1,0.87479543942118,0,1.72527230853368,1,0.00837961270161781
"65",3201,1,0.0513498363061131,1,0.85102741566208,0,0.233163502604374,1,0.00829123963765468
"66",3251,1,0.137817165724563,1,0.641023433301777,0,0.215787286173839,1,0.00823745569620381
"67",3301,1,0.369070009596574,1,0.768282093778001,0,0.211006887030981,1,0.00827906995575256
"68",3351,1,0.188914896260066,1,0.785253295014995,0,0.171575368773856,1,0.00827977239808038
"69",3401,0,0.0206616877043364,1,0.602367102627944,NA,NA,1,0.00825358741441341
"70",3451,1,0.991185676276191,1,0.836660326215969,0,0.285410869090227,1,0.00834745092504693
"71",3501,1,0.080451265791199,1,0.714967902789293,0,0.277857516563485,1,0.00837044129629007
"72",3551,1,0.063470863118044,1,0.836262664516267,0,0.203720435093362,1,0.00826530464237086
"73",3601,1,0.867795383527659,1,0.751809600991325,0,0.222548185663187,1,0.00831912325023214
"74",3651,1,0.062144161245657,1,0.845253423792188,0,0.204829033166832,1,0.00835108631602081
"75",3701,1,0.174833672562868,1,0.836858986965877,0,0.176381567297314,1,0.00829504323101628
"76",3751,1,0.757334472294849,1,0.877908178807712,0,0.17641200815924,1,0.00826681223443502
"77",3801,1,0.145584231037169,1,0.693310661955849,0,0.207563750430476,1,0.0082698762364754
"78",3851,1,0.103246227494469,1,0.837224076597911,0,0.21800043250236,1,0.00831170317988242
"79",3901,1,0.368734255378875,1,0.691113057756895,0,0.215192605133911,1,0.00826931157400662
"80",3951,1,0.11632838636003,1,0.743660426515571,0,0.212350692330313,1,0.00829540165530786
"81",4001,1,0.565074771150526,1,0.79570731027351,0,0.188512877649516,1,0.00827719425370106
"82",4051,1,0.0633654018144842,1,0.860008419262871,0,0.186985526657667,1,0.00830891761677149
"83",4101,1,0.888760247646343,1,0.778492786656725,0,0.180439850542669,1,0.00836858805213277
"84",4151,1,0.568382418281451,1,0.905835916589614,0,1.70288223607581,1,0.00837732747440747
"85",4201,1,0.844808566425319,1,0.808181913705886,0,0.177263619061529,1,0.00831054376897246
"86",4251,1,0.473773425645018,1,0.855061094200576,0,0.168670979036038,1,0.00835520907567161
"87",4301,1,0.17861063000401,1,0.603116094263946,0,0.249759725110671,1,0.00826255581585236
"88",4351,1,0.270461834885137,1,0.855322060675479,0,0.182506752397927,1,0.00826395073007617
"89",4401,1,0.86459539525745,1,0.78948428607249,0,0.194842491092658,1,0.00831875992485482
"90",4451,1,0.112897759622247,1,0.858377153134047,0,0.20722562793615,1,0.00828917181925075
"91",4501,1,0.432999393714743,1,0.868386698289632,0,1.57306377245102,1,0.0083171437049502
"92",4551,1,0.270379095698712,1,0.757639571354045,0,0.220309018451828,1,0.00829973925426336
"93",4601,1,0.0579964087152074,1,0.820461881937608,0,0.17255390709142,1,0.0083301948812118
"94",4651,1,0.3317482594214,1,0.813935371545926,0,0.185383658803098,1,0.0083006827793604
"95",4701,1,0.435296070868964,1,0.659981260185622,0,0.263731638413989,1,0.00827238977248855
"96",4751,1,0.112632652442141,1,0.576731123430469,0,0.231038296404477,1,0.00824733102355342
"97",4801,1,0.430231525454751,1,0.707918087023446,0,0.261915106349904,1,0.00826600622966731
"98",4851,1,0.73003897923328,1,0.862846937172252,0,0.167908983111127,1,0.0082987435932425
"99",4901,1,0.126917801031628,1,0.79580589033224,0,0.200384054403884,1,0.00825126296602182
"100",4951,1,0.294766392436654,1,0.616334203853262,0,0.264796235404103,1,0.00823522164325348
