"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.AbSpec","Pvalue.AbSpec","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.AbSpec","Ratio.AbSpec","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.978152497482164,1,0.946194326455764,1,0.0869261117160225,0,0.536154550046363,0,0.759871776029741,1,0.00798555237648308
"2",51,1,0.87170574333196,1,0.225404001099403,1,0.117253638675002,0,0.3704833993159,0,0.368208529236449,1,0.00798715517220695
"3",101,1,0.818968657429225,1,0.945635451209514,1,0.0880598494547394,0,0.577305764603781,0,1.00981082746263,1,0.00799743384500231
"4",151,1,0.873491265846302,1,0.943988355475354,1,0.0955421903359719,0,0.584511950422766,0,1.02133426831646,1,0.00797619500219975
"5",201,0,4.73035761849872e-05,1,0.764943802425011,1,0.120845511376484,NA,NA,0,0.615698118649308,1,0.0080401252711482
"6",251,1,0.973600298494513,1,0.931120480683006,1,0.101129743715015,0,0.577368381372061,0,0.980239738520156,1,0.0079832554425719
"7",301,1,0.931450898435946,1,0.940745434674115,1,0.119039186539776,0,0.366111288412466,0,0.512963831309384,1,0.00801416561013516
"8",351,1,0.98180188388945,1,0.455442974261764,1,0.118367595501809,0,0.570174122350599,0,0.789310471701789,1,0.00794465606401215
"9",401,1,0.932717804139302,1,0.958578123922754,1,0.106811486414654,0,0.376030345128937,0,0.400274179822195,1,0.00799196579676843
"10",451,1,0.837982256538185,1,0.126112968446299,1,0.0963998656474221,0,0.533631452032288,0,0.402668110583699,1,0.00796070295086258
"11",501,1,0.458148685088401,1,0.461592808320739,1,0.092024281952236,0,0.773288779931341,0,0.367733695795455,1,0.00804374249659928
"12",551,1,0.329697668335733,1,0.0911925205359936,1,0.105901191768226,0,1.55174258085622,0,1.39834527962392,1,0.00805266790682405
"13",601,1,0.645667585170452,1,0.89646001158649,1,0.110411190256202,0,0.543016298732463,0,0.845189924664381,1,0.00799739545131954
"14",651,1,0.466437772880904,1,0.834518659784077,1,0.0573084436608791,0,0.411319154553245,0,0.547002800874191,1,0.00810708559318172
"15",701,1,0.983212151398521,1,0.871325967654098,1,0.128629735761895,0,0.522019995283507,0,0.667218216457952,1,0.00799005272064679
"16",751,1,0.534436470721966,1,0.282294592302209,1,0.12837943474547,0,0.611627724243901,0,0.361110865732685,1,0.00864628373923923
"17",801,1,0.868690977213585,1,0.402008713593679,1,0.0944367833066795,0,0.39175201168858,0,0.614137641280665,1,0.0080263135013341
"18",851,1,0.739415453409077,1,0.673952684441575,1,0.133239647342969,0,1.93356906702777,0,2.07834873802669,1,0.00828255366647818
"19",901,1,0.911434757482164,1,0.956875348175117,1,0.0895025901713802,0,0.454351357042868,0,0.827028409003056,1,0.00796231475758892
"20",951,1,0.602445256895886,0,1.18875884135283e-05,1,0.106103963075488,0,0.405976952615148,NA,NA,1,0.00801696175591593
"21",1001,1,0.218128155351645,1,0.272062316389514,1,0.121420209798406,0,0.735771006294686,0,0.43210414328376,1,0.00799649111532101
"22",1051,1,0.936322103287345,1,0.0603632395244331,1,0.0929600645115091,0,0.547216697377563,0,0.436254770119623,1,0.00798950653192145
"23",1101,1,0.642923290820377,1,0.684464173916567,1,0.0910981618520346,0,0.464671054270793,0,0.524458795950795,1,0.00800231680643182
"24",1151,1,0.886102975300357,1,0.808446279668738,1,0.0941080254192482,0,0.603648013275458,0,1.0760278721078,1,0.00799585299868826
"25",1201,0,1.2065296760233e-05,1,0.57138738710112,1,0.0949615528007761,NA,NA,0,0.489515767308345,1,0.00805604061569867
"26",1251,1,0.962895854560369,0,7.00145106294903e-05,1,0.102717037517161,0,0.47157849222115,NA,NA,1,0.0079784276242733
"27",1301,1,0.812178083850122,1,0.74272020951868,1,0.0927983616948628,0,0.618840702806695,0,0.981724039585228,1,0.00802190591133818
"28",1351,1,0.921502753602876,1,0.793134112268715,1,0.0934426204902449,0,0.573943734040017,0,0.967037851745805,1,0.0080113292637582
"29",1401,1,0.507510558649988,1,0.262725827365614,1,0.13624945182967,0,2.18544373506465,0,2.2688212326083,1,0.00831478139872243
"30",1451,1,0.989451549985384,1,0.940410420983951,1,0.0818406386314299,0,0.504787476176435,0,1.02932846861541,1,0.00797030994766845
"31",1501,1,0.56676465523982,1,0.693851337472066,1,0.107518588174894,0,0.540442722524094,0,0.450859445859607,1,0.00799754460965454
"32",1551,1,0.941876519802761,1,0.825936991232975,1,0.106069019708013,0,0.524021395611613,0,0.554037808732745,1,0.00802544299097512
"33",1601,1,0.609428939969972,0,0.00639983953664469,1,0.100955372780816,0,0.616418246736923,NA,NA,1,0.00806585127224954
"34",1651,1,0.400205108072564,1,0.939909813505244,1,0.103946035349611,0,0.986595593658826,0,0.464218349186259,1,0.00854876522935773
"35",1701,1,0.618068555586897,1,0.748440108084752,1,0.131606956398114,0,2.21847110584387,0,2.3809588049628,1,0.00799714128956938
"36",1751,1,0.942847127709577,0,0.0498401891423433,1,0.0851127534245056,0,0.46054143420719,NA,NA,1,0.00800055425138229
"37",1801,1,0.685188711634596,0,0.000163591061133395,1,0.118999542442785,0,0.483302405177073,NA,NA,1,0.00802204713501256
"38",1851,1,0.484414477375157,1,0.725325887900725,1,0.123327061864534,0,0.284177610034352,0,0.523209193172507,1,0.00808271725799384
"39",1901,1,0.570451813838193,1,0.539230666537919,1,0.112064274526184,0,0.310990715205764,0,0.347623665266232,1,0.00800510811505853
"40",1951,1,0.996423512966637,1,0.919421056540349,1,0.105959973369581,0,0.523605865685637,0,0.71889326075213,1,0.00794762292947063
"41",2001,1,0.954040412543609,1,0.806770879083658,1,0.102935267039752,0,0.628205359316206,0,0.937827706048458,1,0.00801998965260755
"42",2051,1,0.602075910687845,1,0.405840012076439,1,0.0946646722461583,0,2.12691375657784,0,2.10341354554531,1,0.00807128382053426
"43",2101,1,0.659610635651764,1,0.957187619818625,1,0.106844984848944,0,0.475584973330968,0,0.752038099478409,1,0.00798839584911868
"44",2151,1,0.936434697366755,1,0.957814286814079,1,0.0964191275291942,0,0.488022902065058,0,0.758833781570909,1,0.00856929768330348
"45",2201,1,0.929376248464357,1,0.915617601020337,1,0.10028018864548,0,0.556132829937919,0,0.550436307166682,1,0.0086327980197128
"46",2251,1,0.42732478270414,1,0.87655929983999,1,0.100642842051686,0,0.550614530078488,0,1.05137604868128,1,0.00799159988635631
"47",2301,1,0.785086681920237,1,0.263516701465884,1,0.0882005643013489,0,0.730274880595264,0,0.885565986558748,1,0.00792488317240528
"48",2351,1,0.831275804031032,1,0.855440140325841,1,0.0830942461658262,0,0.467201453838981,0,0.769064455614932,1,0.0079722430312095
"49",2401,1,0.457689404823857,1,0.857356815460592,1,0.103824872261887,0,0.524021115691637,0,0.833839373423851,1,0.00802030489288743
"50",2451,1,0.916922530166776,1,0.922791765798152,1,0.108058071951202,0,0.596156412144982,0,0.980384599050556,1,0.00797984978447558
"51",2501,1,0.91443521481426,1,0.90812282277113,1,0.108321032844126,0,0.510224720196864,0,0.900991810263494,1,0.00798890095836245
"52",2551,1,0.812346339104486,1,0.548858321556236,1,0.0946079763924755,0,0.526916785592227,0,0.418636168638312,1,0.00800481333790731
"53",2601,1,0.646564119575102,1,0.667117007897385,1,0.104255606016833,0,0.489187552828489,0,0.387644230515276,1,0.00797686751096019
"54",2651,1,0.978713125401194,1,0.947194575134538,1,0.0901098146872761,0,0.532695438839822,0,1.08057337741596,1,0.0079616442309023
"55",2701,1,0.219196254661796,1,0.697635928395092,1,0.103754149542791,0,0.516132266698615,0,0.632848717452019,1,0.00801790725630427
"56",2751,1,0.867691501486112,1,0.803185383504393,1,0.0650512836938822,0,0.314000913499693,0,0.394837114413307,1,0.00806595643170957
"57",2801,1,0.0626202207850712,0,0.000839712144228177,1,0.089979394764069,0,1.71334682404651,NA,NA,1,0.00807966212086951
"58",2851,1,0.945842367416613,1,0.790586430483695,1,0.0781185737826186,0,0.619238426842389,0,0.972901339365806,1,0.00801542820420611
"59",2901,0,0.000159716551388356,0,0.00566877252539211,1,0.0758721693599166,NA,NA,NA,NA,1,0.00807356049257944
