"","V1"
"1",0.444985159869226
"2",0.342080871013477
"3",0.293332862352885
"4",0.381973780955036
"5",0.310119493127866
"6",0.417866567469855
"7",0.213950215166743
"8",0.352412679143715
"9",0.454696133863705
"10",0.279762764029119
"11",0.182491206934808
"12",0.296502042188089
"13",0.260097169057641
"14",0.538838812074692
"15",0.483366843762372
"16",0.395398552029313
"17",0.384163899300851
"18",0.434949945716453
"19",0.399106080022336
"20",0.588685772360402
"21",0.292938898669355
"22",0.527339587555049
"23",0.279495102680385
"24",0.505074401893339
"25",0.346560936913133
"26",0.587209698390388
"27",0.438326088242543
"28",0.480260675563902
"29",0.419131967361284
"30",0.473539051013792
"31",0.330070426809058
"32",0.465756116622742
"33",0.18289192116513
"34",0.18052083135058
"35",0.414453845058316
"36",0.544693975388492
"37",0.588224596069277
"38",0.225238100704244
"39",0.426347750095702
"40",0.483299722295074
"41",0.464758551103991
"42",0.445429416297137
"43",0.30579306639515
"44",0.310309379223016
"45",0.308565410207305
"46",0.291060965353029
"47",0.227580102494458
"48",0.420483839880814
"49",0.451942572751969
"50",0.519778426198833
"51",0.313008716578358
"52",0.507331013807198
"53",0.460966652739941
"54",0.480804452551851
"55",0.340496958590857
"56",0.311907217236258
"57",0.308265410210594
"58",0.403920599298864
"59",0.279879329795986
"60",0.396733517049654
"61",0.410204779747457
"62",0.245465722474708
"63",0.208352726349759
"64",0.244187149826686
"65",0.241474334550015
"66",0.445415262086053
"67",0.30021150293369
"68",0.423946652095488
"69",0.503548539343679
"70",0.307698336723498
"71",0.196726294183751
"72",0.42775882355109
"73",0.57011100181145
"74",0.345208401431795
"75",0.288916381627036
"76",0.160537817763187
"77",0.586609401806395
"78",0.335490598082947
"79",0.253590353043487
"80",0.418810631059009
"81",0.470049636687561
"82",0.341387519965476
"83",0.327513821391365
"84",0.269503543349523
"85",0.511285852963849
"86",0.408899154595851
"87",0.427624276549387
"88",0.456928698475453
"89",0.422505137322205
"90",0.318595977990716
"91",0.256295504098322
"92",0.386386850901513
"93",0.264385510739398
"94",0.320424587005363
"95",0.50546733632542
"96",0.475589941292339
"97",0.32688889865119
"98",0.285380076181597
"99",0.173666692466637
"100",0.45438783978433
