"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.16880955559771,-0.40191892014991,0.034985774940651,-0.173618664111055,0.07901
"PreClim",0.00199670609150505,-0.179721619701013,0.184454656380694,-0.00208557894743056,0.99387
"InvClim",-0.00217113650131863,-0.184650786493876,0.179010917112464,0.00380326659190189,0.98469
"InvTime",-0.00105014477946209,-0.198599510644272,0.184395832306109,-0.00522233871384614,0.95991
"Phylo",0.0541968277870552,3.11968207201406e-16,0.13463379394757,-0.000105904565897345,5e-06
"Spp",0.0596804578693992,4.61542204365512e-17,0.116278348815538,-0.000103663253206069,5e-06
"units",0.00696452127391879,2.2456723214389e-05,0.0251693905077015,6.95238705805616e-05,5e-06
"h2phylo",0.234215560724288,1.35356664669801e-12,0.819049978504956,0.00200175799768054,5e-06
"s2",0.230116511848307,2.59597407907363e-14,0.7870684606538,0.00194982830343433,5e-06
"CVphylo",-0.707864414542331,-3.76901907187249,1.82838849168912,37.8870756225078,0.07901
"CVspp",-0.402164638890939,-3.73173191115122,1.49876982767354,7.2509936598799,0.07901
"CVresid",-0.666332879844651,-2.70066710125423,0.559332240112113,-10.4511531226744,0.07901
