"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-0.00418149960174591,0.0156603613673189,0.0156603613673189,-0.00843350657713747,-0.00272523565207505
"Lag 250",-0.00935977466479731,0.00359053382253202,0.00359053382253201,3.96155074520962e-05,-0.0178903802376769
"Lag 500",0.00293814337856133,-0.00641342337132475,-0.00641342337132474,0.0280462441251742,0.00703560626142107
"Lag 2500",0.0068756091895568,0.00651838884896417,0.00651838884896416,-0.0030451248230456,0.00163313189337548
