"","Iteration","Species","Units"
"1",1,-2.84055034864147e-06,0.000301070389042239
"2",51,-2.85642075214187e-06,8.81647184680298e-05
"3",101,-4.1909957323678e-06,0.000108875120760947
"4",151,-6.35255329869031e-06,0.000109301068657751
"5",201,-2.3312562221155e-06,7.25169897699783e-05
"6",251,-5.63268533557545e-06,0.000298012221631247
"7",301,1.75398313585115e-05,0.000236211817892837
"8",351,-7.17257820512624e-06,0.000166110764426953
"9",401,-2.64896414775987e-06,0.000184675232162634
"10",451,-1.02696976832824e-05,0.000169368872924909
"11",501,-6.5883582384577e-06,0.000159843394206474
"12",551,-3.65213147529876e-06,0.000114954568003894
"13",601,-1.62153986428182e-06,7.0432918095158e-05
"14",651,-1.34887742001835e-06,9.60125898744336e-05
"15",701,-6.82083150040857e-06,0.000187637186357393
"16",751,-7.19882078537069e-06,0.000256534002172396
"17",801,-4.94986389559266e-06,0.000105584425876057
"18",851,-3.90458101453754e-06,0.000111618223734451
"19",901,-1.44110836226495e-06,7.4904457180933e-05
"20",951,-2.90022260888272e-06,0.000132012211048488
"21",1001,-5.27328970253355e-06,0.000165644528190297
"22",1051,-2.6234451278802e-06,0.000107396019296031
"23",1101,-1.92726487962444e-05,0.000197974482423971
"24",1151,-3.27184112853537e-06,0.000179105560726462
"25",1201,-5.30679770734886e-06,0.000133813839806723
"26",1251,-3.7575794746611e-06,0.000197404212094781
"27",1301,-3.13673115844058e-06,0.000127758613748564
"28",1351,-5.22186375455227e-06,0.000246393159014717
"29",1401,-6.09566539276166e-06,0.000143785038851618
"30",1451,-3.31199463479405e-06,9.55056027508241e-05
"31",1501,-2.47596614498627e-06,0.00012806769266037
"32",1551,-3.46422138408878e-06,9.99782642277692e-05
"33",1601,-3.80061364001704e-06,0.000150266135134972
"34",1651,-5.7769669866726e-06,0.000175814292031744
"35",1701,-4.03547683638145e-06,0.000160463398829033
"36",1751,-5.0423067935514e-06,0.00012822910748182
"37",1801,-4.5589172878814e-06,0.000118489920532343
"38",1851,-1.64123487459229e-06,0.000219615053603939
"39",1901,-4.65004474566789e-06,0.000193553436317581
"40",1951,-6.46249602947119e-06,0.000193899880129252
"41",2001,-8.40336025330184e-06,0.000170580762688347
"42",2051,-6.9030387767662e-06,0.000221005263076919
"43",2101,-6.58856683840346e-06,0.000325895993651602
"44",2151,-4.33254449668776e-06,9.7390451779306e-05
"45",2201,-2.71346655286485e-06,8.10892415727145e-05
"46",2251,-5.26418671940413e-06,0.000136971186123118
"47",2301,-4.84326277306631e-06,0.000137879113568358
"48",2351,-4.25849486759928e-06,0.000153744377007697
"49",2401,-4.81397208058112e-06,0.00021085967964173
"50",2451,-2.04260026910149e-06,0.00016935487096362
"51",2501,-3.58193159672418e-06,0.000190585994598936
"52",2551,-1.47616318132489e-06,0.000135614985324801
"53",2601,-5.08990807301969e-06,0.000180031485686809
"54",2651,-1.94395683409175e-06,9.63273874103248e-05
"55",2701,-5.50661489984895e-06,0.000114096048341706
"56",2751,0.000237236000284543,0.000122201508041339
"57",2801,-1.91037340079973e-06,9.06687057665358e-05
"58",2851,-3.04342106411702e-06,8.71197619195762e-05
"59",2901,-4.90227952161335e-06,0.000171462032656778
"60",2951,-1.62446480371042e-06,7.04786561420081e-05
"61",3001,-1.63347589065366e-06,0.000101440829983705
"62",3051,-1.10968309874918e-06,0.000100146824706643
"63",3101,-7.64390009369734e-06,0.00013989938984787
"64",3151,-3.64261137671481e-06,0.000125222908671963
"65",3201,-3.84823418891353e-06,0.000199317979016167
"66",3251,-1.87895340756322e-06,7.75557805990027e-05
"67",3301,-6.1824612130021e-06,0.000164324422075041
"68",3351,-2.39017082119239e-06,0.000338101440264897
"69",3401,-3.01458516581959e-06,9.64321527810129e-05
"70",3451,-2.40045914312621e-06,0.00024927621632849
"71",3501,-5.04584942086706e-06,0.000114958701093651
"72",3551,-3.20958550376563e-06,0.000105068108642016
"73",3601,-3.19710031623059e-06,9.4573490682841e-05
"74",3651,-5.19379294688074e-06,0.000175499663313464
"75",3701,-8.3786064003624e-06,0.00019651577118563
"76",3751,-6.03876202832267e-06,0.000142554101730684
"77",3801,-1.44104454718407e-05,0.000179701537135355
"78",3851,-9.07008850303927e-06,0.000232948006949272
"79",3901,-6.64992633642318e-06,0.000203291963418619
"80",3951,-5.10196307886115e-06,0.000232399177348221
"81",4001,-1.32932348799924e-06,0.000138247902567905
"82",4051,-3.70326775230608e-06,0.000113035791990795
"83",4101,-1.51046904180566e-06,0.000144665555494714
"84",4151,-3.55592878290449e-06,0.000125634210598832
"85",4201,-2.43986103959965e-06,6.18460695985022e-05
"86",4251,-4.77135501859082e-06,0.000113863189646613
"87",4301,-4.57180152440448e-06,0.000127850954308805
"88",4351,-1.6616541724892e-06,7.01131127572627e-05
"89",4401,-3.39519577841069e-06,0.00015757199174753
"90",4451,-2.597563093283e-06,7.73799987469717e-05
"91",4501,-4.87532076753665e-06,0.000135753366577242
"92",4551,-2.59821308093833e-06,0.000237361270010029
"93",4601,-1.70947168830108e-06,7.17456252682497e-05
"94",4651,-2.92726584266236e-06,8.09799716769608e-05
"95",4701,-3.56454361065361e-06,0.000111381293026041
"96",4751,-8.67954572455934e-07,9.46081516564474e-05
"97",4801,-6.28895934645079e-06,0.000153184414402722
"98",4851,-8.91469202313659e-06,0.000339098903718705
"99",4901,-2.48483979553647e-06,8.91071325566763e-05
"100",4951,-2.45360030367633e-06,9.58331286823015e-05
