"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-9.36750795673171e-05,0.00589048753146347,0.00589048753146345,-0.00149482115931946,0.01334390951569
"Lag 250",-0.0155187420290805,-0.00825897050701781,-0.00825897050701781,-0.00727257562102053,0.00250626574182042
"Lag 500",-0.00301322722763389,0.00527625575202354,0.00527625575202353,0.0150440338302875,0.00122373861617965
"Lag 2500",0.00270079724472178,0.00231791366652341,0.00231791366652341,0.0103485473640536,0.00806280569283234
