"","Iteration","Intercept","Preclim","InvClim","InvTime"
"1",1,-0.435105372327677,0.00294960800397846,0.00720105010300156,-0.00514266136491467
"2",51,-0.428342670552716,-0.00152642488271748,0.00192623830460019,-0.00145760046144072
"3",101,-0.432649792314871,-0.00270722034018046,0.00162927910211254,-0.000967683388639264
"4",151,-0.434644971884626,-0.000688818727786228,0.000471655894448419,-0.000365715435713149
"5",201,-0.437460543698452,-0.00156554644969436,0.00191442795452723,-0.00139281165579235
"6",251,-0.432103173323356,-0.000454398426664393,0.00253545200624858,-0.00643492955894827
"7",301,-0.425050086390277,-0.00184191140046515,0.0034906521516104,-0.00423735384757558
"8",351,-0.420393166550787,-0.000802469127113584,-0.000248103716776693,-0.0032874963542308
"9",401,-0.433175644532825,-0.0019160349900146,0.00478262739426821,0.000507797126185462
"10",451,-0.427463005111488,-0.00262382772908658,0.00248021929084519,-0.00232668877712514
"11",501,-0.442895397488133,-0.002204187196005,0.00213320276964526,-0.00246350001322478
"12",551,-0.435154543689835,-0.00208672055915254,0.00284549378056492,-0.00156804745210838
"13",601,-0.431332532933969,-0.000926670655346011,0.0014681146619536,-0.000644826957059648
"14",651,-0.420915003717385,-0.00206608777566326,0.00151676753836455,-0.001685286021162
"15",701,-0.422782899940499,-0.00203600802880219,0.00162854387149905,-0.00234662682992143
"16",751,-0.436172569368148,-0.00122308016432429,-0.00081927031085996,-0.00105456309073101
"17",801,-0.427543296396739,-0.00100915945874769,0.00277100756539049,-0.0019512239111908
"18",851,-0.436874141856165,-0.00172454884380355,0.00312511195752438,-0.00237181283933351
"19",901,-0.418707128513825,-0.0010470794968911,0.00146085506106756,-0.000839475235339233
"20",951,-0.432400389970795,-0.00184771840993721,0.00291876470835251,-0.00194365955117588
"21",1001,-0.427276753987308,-0.00190237451132984,0.00216270208610833,-0.00178625332582674
"22",1051,-0.42206265782881,-0.00159967251743824,0.00200470001063995,-0.00298292148162646
"23",1101,-0.428270457144406,-0.00258336021108296,0.00319433176839024,-0.000233351583159291
"24",1151,-0.43550311691054,-0.000364109260046847,-0.0012970773384777,-0.00024486137179671
"25",1201,-0.440383215365562,-0.00253090232352993,0.00113191480086321,-0.00094351060684672
"26",1251,-0.436880213595844,-0.000532525108041804,0.00343850820647196,0.000632479995775634
"27",1301,-0.436693847504628,-0.0020208994849899,0.00242786143335388,-0.00148205772945362
"28",1351,-0.448334709758705,-0.00421222934388736,0.00237954199142706,-0.00225593268699802
"29",1401,-0.44008044519056,-0.00221789109832229,0.00213649523659575,-0.00266925412562985
"30",1451,-0.425757821409783,-0.00185982662593126,0.00168370684904874,-0.0015316505497702
"31",1501,-0.432280816559527,-0.00311749045231559,0.00303264658832775,-0.00120672562270831
"32",1551,-0.43398813235614,-0.00216666155254128,0.00197124757481697,-0.00172465644340482
"33",1601,-0.425297969484232,-0.00186155117380568,0.00353914025952629,-0.00263701721501362
"34",1651,-0.434239283846509,-0.00339172568821774,0.002125738290003,-0.000829108206066624
"35",1701,-0.440666042251536,-0.00310527106301338,0.00303757576082495,-0.00144767253291508
"36",1751,-0.433845905529491,-0.00280443342195623,0.00190810132796781,-0.00234061492225263
"37",1801,-0.445498458126,-0.00208297522865708,0.00227200169179505,-0.00212606774025408
