"","Iteration","Species","Units"
"1",1,-6.07031448133625e-05,0.00286794215921267
"2",51,-1.78570946425154e-05,0.00160716609907393
"3",101,-3.3393511740524e-05,0.00291658333661972
"4",151,-0.000373635496377092,0.0212915583154828
"5",201,-1.87791924245296e-05,0.000902583212061384
"6",251,-0.000125464269186754,0.0152067223245883
"7",301,-4.07189770063337e-06,0.000202028207680422
"8",351,-8.77232728056396e-05,0.0084790626539623
"9",401,-6.76611064759337e-05,0.00332808842800274
"10",451,-4.14763600363557e-05,0.00226459568339967
"11",501,-1.83205902785385e-05,0.00194560492359361
"12",551,-6.2278670796497e-05,0.00198385210245793
"13",601,-3.72856862143786e-05,0.00387520174485601
"14",651,-5.21683403340119e-05,0.00749995243845878
"15",701,0.000112827599269111,0.000846975648567493
"16",751,-0.000124437849523472,0.0150487112612534
"17",801,0.0041430357665792,0.0199441048347308
"18",851,-0.000602982243259903,0.0167491967295013
"19",901,-7.26483608406284e-05,0.00380444926378745
"20",951,-0.00149373126745977,0.0317396470135709
"21",1001,-2.1280449412161e-06,0.000114483340941405
"22",1051,-0.000171559452987601,0.0120987456486589
"23",1101,-0.000836898285647579,0.0133527904095925
"24",1151,-3.82828352070214e-06,0.000470292206864239
"25",1201,-0.000887380465063704,0.0169006658229797
"26",1251,-4.53781160766364e-05,0.00312220812676764
"27",1301,-0.000302047317164549,0.0196217472906518
"28",1351,-0.000347231904926029,0.0223414341996668
"29",1401,-6.23152829748467e-05,0.00775117558532503
"30",1451,-0.000350363163187284,0.0222511203124482
"31",1501,-8.92325949662335e-05,0.00936155623132457
"32",1551,0.000122918637668045,0.000715572922226718
"33",1601,-0.000191450788241699,0.00651239775911316
"34",1651,-0.000455028723552179,0.00842912990655606
"35",1701,-0.000266160982895083,0.0285604335320073
"36",1751,-0.000449572240768739,0.0427361510505179
"37",1801,-0.000219974987183642,0.00927724261079505
"38",1851,-0.00169220287392226,0.0307721955523929
"39",1901,-3.48784487848859e-05,0.00318686218673288
"40",1951,-0.000270933834798786,0.0252472339724871
"41",2001,-0.00010581762088308,0.00346032193497978
"42",2051,-5.12870540489581e-05,0.00272200831378273
"43",2101,-0.000189010221550438,0.0194812470597637
"44",2151,-1.95842044680547e-05,0.00158260596700824
"45",2201,-0.000311211598506722,0.0258629033627966
"46",2251,-5.24719118189647e-06,0.000261888230746379
"47",2301,-1.50872482814892e-05,0.00136795869665935
"48",2351,-0.000474505446779191,0.0173447529306295
"49",2401,-2.41138803651809e-05,0.00224948517819278
"50",2451,-0.000194075514929931,0.0280828731529615
"51",2501,-0.00012739878009422,0.0107253315768343
"52",2551,-6.03646965543719e-05,0.00769665376027958
"53",2601,-5.36582147659914e-05,0.0025676795837125
"54",2651,-2.22853436646712e-06,0.000219068726403824
"55",2701,-0.000156888930097485,0.00984146777468715
"56",2751,-1.21887046255412e-05,0.000919355622091798
"57",2801,-0.000224400616969028,0.0168880437736316
"58",2851,-0.000234856180033388,0.0111059099354146
"59",2901,-3.64052223102297e-05,0.00138420831998188
"60",2951,-0.000115312520035202,0.00515213561901589
"61",3001,-1.83582238771296e-05,0.00244548825943459
"62",3051,-7.02405437080633e-05,0.00649528699632337
"63",3101,0.000151957960857836,0.000908428328731736
"64",3151,-5.98006411433632e-05,0.000963887816028067
"65",3201,-5.15362494299573e-05,0.00562121234914944
"66",3251,-0.00149589495353615,0.0476631960744971
"67",3301,-1.4993387149032e-05,0.00154179344334021
"68",3351,-0.00155756497945484,0.0537081100191351
"69",3401,0.00405363222410888,0.016137720122578
"70",3451,-0.000240018517743186,0.0279004506063598
"71",3501,-0.000162861749366732,0.0260036770570534
"72",3551,-0.000303657955403723,0.0309478513175095
"73",3601,-0.000207188180680404,0.0207054462740238
"74",3651,-0.000158118538753696,0.0155793419751221
"75",3701,-1.85723638362141e-06,0.000256664971837062
"76",3751,-0.000649432524107515,0.0593333726208138
"77",3801,-0.000895901952007833,0.0392510153369124
"78",3851,0.00402411971980107,0.0293911085423889
"79",3901,-2.01067935240017e-05,0.000745807974423911
"80",3951,-1.36649300294406e-05,0.00150814627754366
"81",4001,-9.89019193829257e-05,0.0143374885566129
"82",4051,-0.000490068513723331,0.00648245053619292
"83",4101,-0.000106652718066997,0.00619174590372431
"84",4151,-0.000727540322311873,0.0257493525634073
"85",4201,-3.32043760236316e-05,0.00147620298039421
"86",4251,-0.000351836989517567,0.0406799133076107
"87",4301,-2.27201881899643e-05,0.00287898999637831
"88",4351,-4.51273478699696e-06,0.000213591977153196
"89",4401,0.00266584072782751,0.0200174336608838
"90",4451,-0.000208305358273509,0.0148656745716741
"91",4501,-0.00117953930754241,0.0168260721411124
"92",4551,-3.25884757964449e-05,0.00316094239804168
"93",4601,-0.000548863611161109,0.0482675920920466
"94",4651,-0.000154106608833702,0.0144791209216533
"95",4701,-0.0003108902409096,0.0188690278297737
"96",4751,-0.000164573823184746,0.00591585808482763
"97",4801,-2.49286656982305e-05,0.00113589756696521
"98",4851,0.00075120926821857,0.00493041561788211
"99",4901,-0.000319436439569273,0.00423603293821164
"100",4951,-0.000743262981803217,0.0151864029443811
