"","Iteration","Species","Units"
"1",1,-9.5199132088227e-05,0.00838652051661126
"2",51,-2.20921857697697e-07,3.71756967981373e-05
"3",101,-0.000111025590251144,0.0169760904245169
"4",151,0.000427134686284306,0.0031825031785727
"5",201,-6.77382278834735e-06,0.000925960919508236
"6",251,-0.00035446797247409,0.0249145971253679
"7",301,-4.29166870764437e-05,0.00614209231628256
"8",351,-1.86367401444018e-05,0.00301539165551779
"9",401,0.00348550647124415,0.0198247913232035
"10",451,-0.00031560747442994,0.0172267185896713
"11",501,-1.42702925468364e-05,0.000530076476078085
"12",551,-5.22600511651117e-05,0.00291522424570319
"13",601,0.0167183078099571,0.02957979601677
"14",651,-1.85979364562514e-05,0.00191981717892987
"15",701,-7.70628072765259e-05,0.00555253518453496
"16",751,-1.13507087990186e-05,0.00107864058230905
"17",801,-8.79487792653075e-05,0.00900301363483035
"18",851,-0.000127780008461063,0.0129886923481899
"19",901,-1.78161597358691e-05,0.00325170507068807
"20",951,0.00912061268092275,0.0190782850151166
"21",1001,-0.000365681624171021,0.0190552422906276
"22",1051,-0.000795568571791143,0.0819205990590535
"23",1101,-0.000229802756284628,0.0112691912604268
"24",1151,-0.000112232711556273,0.0113891628558753
"25",1201,-5.7420065180352e-05,0.00832319446506227
"26",1251,-0.000134593513659543,0.0137419981726994
"27",1301,-4.41535134649041e-05,0.0039236982465342
"28",1351,-4.25785015578826e-05,0.00514722212140276
"29",1401,-0.000217907825985294,0.00916170444691094
"30",1451,0.00741279577689342,0.017538599640327
"31",1501,-0.000926904090404423,0.0291815614289978
"32",1551,-8.22789209347762e-05,0.00988027689916201
"33",1601,0.00129027883825487,0.00182349959888127
"34",1651,0.000347087768099027,0.000596763587780408
"35",1701,-6.3156803684781e-06,0.000257811282412733
"36",1751,-0.000133383601061188,0.00988107681912139
"37",1801,-5.89009009924172e-05,0.00737443511470977
"38",1851,-0.000281277211373215,0.0215490656377108
"39",1901,-3.23875738765074e-05,0.0019659367008459
"40",1951,-8.82978010989567e-05,0.0126443532467507
"41",2001,-0.000401231515498994,0.0129248979057471
"42",2051,-3.15084429381338e-07,5.25219172484481e-05
"43",2101,-0.000646603676117808,0.0254695615338916
"44",2151,0.000303588183387289,0.00157567062300584
"45",2201,-0.000741773623906385,0.0784119239494907
"46",2251,-8.76552219660643e-05,0.010416512310905
"47",2301,-7.722832768847e-05,0.00357246745049375
"48",2351,0.00627225548808913,0.0415653194723019
"49",2401,-7.04476078086142e-07,5.00219775184721e-05
"50",2451,-2.04976709229484e-05,0.00126393786535141
"51",2501,-0.000543501627698228,0.0426802738862245
"52",2551,0.00308992375330615,0.0327054472198398
"53",2601,-0.000340609637308456,0.00992115156284722
"54",2651,-0.000281284899349274,0.0356068744177931
"55",2701,-7.65394552288937e-05,0.00686721850161799
"56",2751,-0.000489792062210361,0.0257288709225701
"57",2801,-5.54097326487189e-05,0.00705190880724897
"58",2851,-0.00075260825589675,0.0502091457815102
"59",2901,-0.000990937476140935,0.0510835937635619
"60",2951,-0.000562258515110863,0.0439450655508171
"61",3001,-0.00010230096998716,0.00783417600983642
"62",3051,0.00292008026190093,0.0248514099773866
"63",3101,-0.000262559628946606,0.0064149547565357
"64",3151,-6.9404146247612e-06,0.000186404475528392
"65",3201,-2.63789452173495e-07,3.70346605475494e-05
"66",3251,0.00103725217379151,0.00376212994175382
"67",3301,-0.000203245522311893,0.0187445042062241
"68",3351,-3.12020697557933e-05,0.00212769501254484
"69",3401,-0.000269581673086923,0.0106646519341454
"70",3451,-6.05473971562508e-05,0.00726752433811511
"71",3501,-1.31786483295691e-05,0.0006888530607693
"72",3551,-0.000357964042023049,0.00889419480226509
"73",3601,-3.50263386827728e-05,0.00511148137476308
"74",3651,-0.00012720049087561,0.00951183727407993
"75",3701,-7.58980428144829e-05,0.0083834615835417
"76",3751,-4.09159442954738e-05,0.00417057091777928
"77",3801,-0.000615399980299819,0.0293414487237807
"78",3851,-1.48146126952396e-06,0.000204469463766583
"79",3901,-1.38286357845211e-05,0.00184123686082657
"80",3951,-0.000444020353748952,0.0408721788601388
"81",4001,0.000719659970789051,0.0031906974687709
"82",4051,-6.00865915570569e-05,0.00499711451413579
"83",4101,-0.000166575437117891,0.0235325403167119
"84",4151,-5.00475169681886e-05,0.00280424990294984
"85",4201,-7.88627742562644e-05,0.00458563404822155
"86",4251,-0.000225111235925518,0.0162002000789302
"87",4301,-0.000716083124331092,0.0134100872308871
"88",4351,-0.000397278068598993,0.0301416372524909
"89",4401,-0.000128240525241517,0.0085983118954438
"90",4451,-0.000444598289129458,0.0316065593949349
"91",4501,-1.15009830900843e-05,0.000763908718582025
"92",4551,-0.00021422261187344,0.0162133008048919
"93",4601,-0.00103022896586121,0.0284927873234403
"94",4651,-4.31032199700116e-05,0.00570264990086724
"95",4701,-9.39777859608271e-06,0.00137107831595213
"96",4751,-3.53859440557535e-06,0.000177652238501572
"97",4801,-0.000371424128514292,0.0404426802470164
"98",4851,-2.03089145946363e-05,0.00297439974589013
"99",4901,-6.35227722593631e-05,0.00138809063766048
"100",4951,-0.000119810048971175,0.0147228452884915
