"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",0.0893149007586642,-0.216115858056583,0.388090195687255,0.145883231856137,0.52548
"PreClim",0.00152868933320773,-0.082587210679776,0.0877909639093559,0.00290914771075212,0.91203
"InvClim",-0.00222359786888984,-0.0864402214574511,0.0828319472493604,-0.00173279413250382,0.93956
"InvTime",0.00150788307891635,-0.0825124775510631,0.0851763797109015,-0.00131598953755918,0.90441
"Spp",0.0116503659314834,1.94589579048385e-14,0.0320714547246614,-6.23092230732759e-05,5e-06
"units",0.0153087839203212,2.39366391970892e-05,0.049973964759863,4.59272132982058e-05,5e-06
"s2",0.341193230181233,5.4345899681201e-12,0.987179105902973,0.00192039168830369,5e-06
"CVspp",0.541153835295643,-7.31857275417089,7.9782694247598,-25.7145344222445,0.58133
"CVresid",0.585549137706774,-7.84351966784176,8.99884151151477,-50.3990168260643,0.58133
