"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.431812155389056,-0.483444255001814,-0.380069428239949,-0.433304340855643,0.00099
"PreClim",-0.00187574667797631,-0.046967373265943,0.0421210287167924,0.00103210858898195,0.71826
"InvClim",0.00268595344147549,-0.0352795430717379,0.0471996000560466,0.00116573331522862,0.63633
"InvTime",-0.00175952996929464,-0.0517714814886858,0.042528982157819,-0.00240365290088318,0.74496
"Phylo",0.00493768766529532,2.06012924103178e-16,0.00918699472953205,-6.05816271876644e-06,5e-06
"Spp",0.00281244901551621,9.99481339968954e-17,0.00678255499719712,-4.81572723264248e-06,5e-06
"units",0.000163059741680841,5.60153834298497e-05,0.000315177501177388,0.000101923695175573,5e-06
"h2phylo",0.285608508058895,1.58670036386895e-12,0.870926132317962,0.00130663224464194,5e-06
"s2",0.248807728267574,3.34291744940929e-13,0.818082722902367,0.00176930660482169,5e-06
"CVphylo",0.0162417964209751,-0.221930284567025,-3.2916868188032e-08,2.63151699694001,0.00099
"CVspp",-0.0411293630692793,-0.189822892894704,-2.30194041695305e-08,-0.351840106316132,0.00099
"CVresid",-0.0280699728255376,-0.0424821683147196,-0.0179929092832019,-0.00694402642648129,0.00099
