"","V1"
"1",0.248922710164661
"2",0.0405092464462149
"3",0.130700366964216
"4",0.297507392811842
"5",0.168929682510739
"6",0.0216174132440184
"7",0.316508859686197
"8",0.253351078208682
"9",0.281914638755988
"10",0.0837603223764549
"11",0.25794102702558
"12",0.0808923146479836
"13",0.0774522625904015
"14",0.0614132583351366
"15",0.0445526135713486
"16",0.181909235341437
"17",0.21376698520665
"18",0.288473823792131
"19",0.0777943579200157
"20",0.21371702598581
"21",0.175699243130996
"22",0.281093190167719
"23",0.335010464746039
"24",0.137997865039406
"25",0.307095183525619
"26",0.108701789986098
"27",0.358297658735463
"28",0.125980970354807
"29",0.265200484693965
"30",0.103449241288021
"31",0.161295100196723
"32",0.236850445316185
"33",0.207189320126781
"34",0.164647245050624
"35",0.0722666918978883
"36",0.292371699064156
"37",0.247312888754443
"38",0.326134778761387
"39",0.320280532700414
"40",0.23557870548391
"41",0.460115204878497
"42",0.20258026282982
"43",0.184612834382822
"44",0.322455699460887
"45",0.13899948493504
"46",0.270760606265324
"47",0.040947238280304
"48",0.228666385017047
"49",0.240645393638855
"50",0.0956869335994252
"51",0.28715141617962
"52",0.0900753656315084
"53",0.133002520110311
"54",0.40859322682865
"55",0.322465027622725
"56",0.0607852967446753
"57",0.196196210264997
"58",0.0910495454985401
"59",0.377166271451702
"60",0.209730598498605
"61",0.345903576214721
"62",0.186316074934998
"63",0.543388482726387
"64",0.124260061111823
"65",0.147851144373808
"66",0.11012082166691
"67",0.310410567383211
"68",0.250296511679888
"69",0.144153139356807
"70",0.280264786816156
"71",0.0719751642327929
"72",0.370203514682503
"73",0.222015574129971
"74",0.0995128899881883
"75",0.122257537545281
"76",0.234741014896951
"77",0.138653447286773
"78",0.406028458632061
"79",0.13603200144775
"80",0.226395119316701
"81",0.277268278439059
"82",0.436700271863063
"83",0.0432608056076127
"84",0.0963803453342117
"85",0.203417592430395
"86",0.330354865945696
"87",0.115310945989294
"88",0.0338515040258993
"89",0.10848492392798
"90",0.216171332108269
"91",0.290545634618395
"92",0.287583431202758
"93",0.27878512314559
"94",0.0944035113249262
"95",0.0651028686885734
"96",0.108795775794781
"97",0.105941978095985
"98",0.127957717731434
"99",0.374067374792946
"100",0.247845980178932
