"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.133023931268134,-0.660430838142929,0.384055847742275,-0.129068235447839,0.31711
"PreClim",0.0397140868927258,-0.494834855766385,0.578190711981733,0.0257958336375195,0.71728
"InvClim",0.0276869009046709,-0.482357081084047,0.539351368925963,0.0343263941131084,0.77746
"InvTime",-0.0195859669804584,-0.574301260548964,0.542909492258332,-0.0309024784179872,0.8639
"Phylo",0.300927738403889,3.28913635094084e-13,0.945136341024267,-0.00174075958049225,5e-06
"Spp",0.264365283210484,1.75500333441115e-11,0.997804331738597,-0.00179688391997325,5e-06
"units",0.00667706057368434,1.84407859036384e-05,0.0219815449827462,4.87916965904757e-05,5e-06
"h2phylo",0.429785701878824,2.10700919286194e-11,0.95967681205803,0.00226852169712833,5e-06
"s2",0.432450393151911,1.50743835160782e-10,0.96274134970913,0.00222828231817177,5e-06
"CVphylo",-1.72579651324019,-12.8139230542506,10.7053072507926,-92.0218028317613,0.31711
"CVspp",-1.48912660861253,-12.5507419545151,12.6031744400651,14.8802119481988,0.31711
"CVresid",-0.378158026408732,-3.73337972008464,2.84014823151737,-42.0785542520825,0.31711
