"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,-0.0227838637630488,-0.0548657282488421,0.00979772140271962,1800,0.112222222222222
"2",51,-0.00436787555461628,-0.0215215073594663,0.0102305668260669,1800,0.516666666666667
"3",101,0.0160639328124149,-0.0324210875260178,0.0631331110926112,1800,0.364444444444444
"4",151,-0.00752499985734516,-0.0424132433399791,0.0213690326781943,1800,0.535555555555556
"5",201,-0.0019246929185993,-0.0808719614869915,0.0910987671072689,1800,0.994444444444444
"6",251,-0.0104813446124585,-0.0370579432637896,0.0203084344684612,1800,0.346666666666667
"7",301,-0.00172973835014301,-0.0637280044757063,0.066301812272286,2290.55515625713,0.952222222222222
"8",351,-0.00376340491113347,-0.0537912070722086,0.0375782956107287,1800,0.836666666666667
"9",401,-0.00313591121984588,-0.0719716422900092,0.0589741595904343,1800,0.911111111111111
"10",451,0.0271467256967209,-0.0186958435606357,0.0756409282039385,1800,0.171111111111111
"11",501,-0.00587779787734904,-0.0468255273153773,0.0391108482144773,1800,0.754444444444444
"12",551,-0.0349093712330235,-0.119894103088882,0.0361309892323334,1800,0.25
"13",601,-0.0013082768441441,-0.0176114875594067,0.0139212984504411,1926.60920589873,0.832222222222222
"14",651,-0.00616627423916471,-0.0325892747787293,0.023231081024278,1800,0.508888888888889
"15",701,0.00724600623396382,-0.0174247231534537,0.0300908337303554,1800,0.366666666666667
"16",751,-0.019774394918376,-0.0640712102904217,0.0213531009649159,1800,0.26
"17",801,-0.00612547427673293,-0.0637450861177058,0.0527144533498358,1800,0.802222222222222
"18",851,-0.00550605522275461,-0.0443652779831609,0.0349721624806989,1800,0.73
"19",901,-0.00915650316679262,-0.0264644374838099,0.00864933707634918,1897.73341706792,0.167777777777778
"20",951,-0.00177434842506682,-0.0468713918962749,0.039180402920465,1800,0.908888888888889
"21",1001,0.00192389498999409,-0.0071594802011532,0.0099689871276496,2316.69079067305,0.457777777777778
"22",1051,-0.00375120837707523,-0.0573169569615857,0.049675038389978,1800,0.882222222222222
"23",1101,-0.00554975918437315,-0.0377790535958411,0.0326984927523881,1800,0.712222222222222
"24",1151,-0.012250813564886,-0.0583053863156238,0.0359847429062938,1756.94130384134,0.467777777777778
"25",1201,-0.0349568180347109,-0.0991774844151223,0.020717245672131,1800,0.176666666666667
"26",1251,-0.000787001306347719,-0.00973085980149335,0.0107768101879628,1488.10435925992,0.817777777777778
