"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-0.0117080592574842,0.0261418404947622,0.0261418404947622,0.0290517990391893,-0.00117614134939219
"Lag 250",-0.00289457753056538,-0.00582922115310588,-0.00582922115310587,0.00542570769831209,0.00153109868049381
"Lag 500",0.00578686211005109,0.00737116531308864,0.00737116531308864,0.00204389469499263,0.022151610342968
"Lag 2500",0.00958812304706262,-0.011176252195665,-0.011176252195665,-0.00590426640495619,0.00408791414264601
