"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.507515204690724,1,0.987836190162337,0,0.237540780023892,1,0.00808435912043228
"2",51,1,0.537010479505746,1,0.935435480164333,0,0.318055816488797,1,0.00809303773610769
"3",101,1,0.887772160844016,1,0.88371748794086,0,0.318737970417487,1,0.00807809595071044
"4",151,1,0.666777233991027,1,0.974154726489925,0,0.190863535289573,1,0.0081127956931659
"5",201,1,0.972165568234241,1,0.935652774689725,0,0.225085317867777,1,0.00823412248381867
"6",251,1,0.429277740633804,1,0.926460909937232,0,0.370337486563559,1,0.00810136775430205
"7",301,1,0.898474370388343,1,0.997334808018976,0,0.376352569715035,1,0.00823203298345286
"8",351,1,0.500675436923264,1,0.980580955794781,0,0.329537889367243,1,0.0080628571065983
"9",401,1,0.940059055276858,1,0.982494491224598,0,0.325107098279188,1,0.00823998879428707
"10",451,1,0.275398908878098,1,0.987824687220375,0,0.205807245174128,1,0.00812026935670568
"11",501,1,0.916731492870089,1,0.976392212669027,0,0.257720150574811,1,0.00809439802229694
"12",551,1,0.720653188183174,1,0.98223546563061,0,0.347693108431213,1,0.00810868001207303
"13",601,1,0.406187525241096,1,0.99144106764794,0,0.263155131801763,1,0.00815886921517057
"14",651,1,0.507671948389672,1,0.995267740246889,0,0.334948521968807,1,0.00833856182786838
"15",701,1,0.718258591934815,1,0.996147435014254,0,0.186957836280345,1,0.00828557223007483
"16",751,1,0.19596988865074,1,0.931866232514921,0,0.27823229680876,1,0.0081123196721166
"17",801,1,0.810455562290238,1,0.889481949365948,0,0.223893228512541,1,0.00809863117577421
"18",851,1,0.675845153567567,1,0.944369692653469,0,0.21335349639994,1,0.00806370889182973
"19",901,1,0.399879346258664,1,0.985308904966258,0,0.266983474568663,1,0.00817805743054888
"20",951,1,0.849826746728713,1,0.991902137977323,0,0.290320297547736,1,0.00814381049322638
"21",1001,1,0.511036521619264,1,0.994478387518328,0,0.195582075030013,1,0.00828924474762607
"22",1051,1,0.246774684739037,1,0.972956705088101,0,0.346002449219183,1,0.00810766222680025
"23",1101,1,0.123077871555934,1,0.866285892253354,0,0.311172765542089,1,0.00808972194565881
"24",1151,1,0.606239206319169,1,0.998799185552083,0,0.43847857366788,1,0.00834037729465945
"25",1201,1,0.0840868178136653,1,0.943999675416748,0,0.284725310578754,1,0.00812296463173303
"26",1251,1,0.691014260885191,1,0.984706165984419,0,0.222363156325681,1,0.00819032109025418
"27",1301,1,0.536770579315643,1,0.952146765095152,0,0.329017211660565,1,0.00812701289473901
"28",1351,1,0.343506667369796,1,0.967964489596935,0,0.233994192134959,1,0.00809930017556009
