"","Iteration","lowerInt","upperInt","lPreClim","uPreClim","lInvClim","uInvClim","lInvTime","uInvTime","lSpecies","uSpecies","lAbSpec","uAbSpec","lUnits","uUnits"
"1",1,-0.373440348939766,-0.152449636647361,-0.131304089103651,0.0876292528555496,-0.10226915891144,0.10043644453981,-0.10464216741093,0.142513872306154,3.53834740877521e-09,0.0495131936958592,7.64625461243291e-11,0.0537838813722329,0.0022176560506227,0.00456730496595729
"2",51,-0.255381143957493,-0.14654876786517,-0.0627530740748625,0.0408226650433789,-0.0498562278417012,0.0446391896912246,-0.0608319264429156,0.0466900826431811,2.83283292106401e-10,0.0127766283071598,1.36857037907161e-09,0.00948586718677449,0.000828178089243154,0.00171576466513125
"3",101,-0.291715552448295,0.0699383504106663,-0.132391562190605,0.209612455306342,-0.15583403646815,0.158502014270198,-0.181158153471188,0.154856386827305,1.74800420501175e-11,0.138584323690168,7.02399312517101e-10,0.12706712699923,0.00659053223166833,0.0134396551587397
"4",151,-0.0702356916954159,0.182091819922789,-0.145684050556156,0.0925826246239012,-0.111513946772902,0.108321964275092,-0.10492242865439,0.145791433780687,1.08819863825661e-08,0.0629975825075556,2.15104615445207e-10,0.0534413596593614,0.00232282754571213,0.00477612217630002
"5",201,-0.437327995488886,0.183151739645837,-0.37865785213944,0.28251765287132,-0.237292448364315,0.337642067799607,-0.352191399899311,0.294725263825967,2.24711753829354e-09,0.404878311581519,2.75457439123886e-09,0.342819271051647,0.0111346782238263,0.0232492512721917
"6",251,-0.328576817264548,-0.0905236567195971,-0.117045613165828,0.102356061135652,-0.0803099036274944,0.113582323247101,-0.125499774672789,0.128068556587095,5.40227631389446e-11,0.0622344349478968,3.65580402054685e-10,0.04500231948765,0.00210215598813678,0.00432184610014374
"7",301,-0.403453102568164,0.069707451883005,-0.270440841151867,0.240649109910009,-0.231682867684867,0.232898283742543,-0.248433450491575,0.262783026322722,3.6168647628833e-10,0.271108734105855,4.43680560851815e-09,0.21276945701701,0.003782081345066,0.00786631620688813
"8",351,-0.306065552620566,0.0182029150892049,-0.160707708681002,0.148566554556965,-0.139086276671151,0.13702900664066,-0.179321192743373,0.159797141510353,1.2183279264509e-10,0.115080132864182,1.70278521064662e-09,0.0997676492231598,0.00533860473362005,0.0109980217258935
"9",401,-0.574418105257791,-0.0790250263526104,-0.244163093615498,0.302545157777786,-0.25925599229231,0.225719720649067,-0.298684059423977,0.25386874331889,8.59603300981022e-11,0.290103102366661,1.94736513476267e-09,0.204077079465559,0.00404782214358895,0.00842930035150958
"10",451,-0.251476110024669,0.123217811073118,-0.165464878766215,0.195133372813871,-0.166309827807709,0.154094921716023,-0.197171189196524,0.204802063381067,1.05402723048469e-09,0.137059888411121,5.20386259979272e-10,0.120545990828743,0.00477047765260975,0.00988854734585391
"11",501,-0.361305194252054,-0.0622705785390281,-0.149247339126305,0.140972429217072,-0.115842078514106,0.13940644482318,-0.183912327411235,0.153391193423886,1.38561641508742e-09,0.0968744063512536,3.60776195012096e-11,0.0775773018899088,0.00576001302221464,0.0118488089769414
"12",551,-0.431112233105523,0.104048476375283,-0.28513758815825,0.222248647158267,-0.212661008044961,0.273429256216332,-0.207939614891075,0.335876764254863,1.22482798272678e-08,0.292357333867359,1.98546807046275e-08,0.216181717311366,0.0136040791049468,0.0280577224566931
"13",601,-0.310405827185605,-0.19968848026474,-0.0495288498059381,0.0518892495892942,-0.0468895948679346,0.0502548036347434,-0.0671378964325413,0.0428992116653717,4.74132819338942e-11,0.0119136352678027,1.19603429945235e-11,0.0103885697626394,0.00053058214910609,0.00109885059220683
"14",651,-0.265200596329009,-0.0849308698598179,-0.106046088745643,0.0761665019817883,-0.0833142977571697,0.0872763967781793,-0.107325530145317,0.0823072558559943,2.24528304257286e-11,0.0319225192720855,6.76220803763814e-12,0.0272206123393364,0.000521935100187224,0.00109184553859386
"15",701,-0.408825411555881,-0.16687378109782,-0.0947368905472104,0.139706577727338,-0.104645963001531,0.1402614601393,-0.113717188112787,0.161229308869224,1.33442616912518e-10,0.0757298717279115,3.892461386296e-11,0.0741784888654558,0.000654267773911889,0.0013573672515036
"16",751,-0.242167412870913,0.10218446025101,-0.169818558322731,0.172631318419008,-0.164332234002359,0.169068157625588,-0.20337448612554,0.171104072360322,9.08648979555703e-10,0.126281700162549,1.60671623029137e-09,0.114558415766387,0.00563327441026301,0.0117175266948966
"17",801,-0.360370959722786,0.0966536178457318,-0.219101659051375,0.174337050339091,-0.222352264943765,0.172945391233952,-0.238729303415312,0.223529647548276,1.51246521424416e-10,0.211305461134675,2.23009857672025e-09,0.182893103420172,0.0126730793853121,0.0263145647228643
"18",851,-0.194951929266608,0.0800586593104526,-0.139055048624869,0.112228224147657,-0.122389856747759,0.12200024042977,-0.118928659925587,0.166244533509598,1.23490795476203e-09,0.0785316816444037,3.68203654601565e-09,0.0705074028516249,0.00435895365117507,0.0090195903333075
"19",901,-0.15684423721541,-0.0111228484602179,-0.061107742600143,0.0742565839282179,-0.0635499618947506,0.0654993810530868,-0.0742509000774589,0.0633150946086971,2.99468348920338e-14,0.0194575404274114,6.50324878531426e-12,0.0168894260907904,0.000433866643367718,0.000898094927605645
"20",951,-0.240909636457218,0.0666955839114962,-0.137812412256608,0.142307516140136,-0.154503842262784,0.129915355792036,-0.173575759919913,0.155932353925891,1.17366838510909e-10,0.0882302577670452,1.14162564955145e-11,0.0947396422921335,0.00399460775548413,0.00834291355443267
"21",1001,-0.1823829477853,-0.124264857953676,-0.0254704219987616,0.0244081539894978,-0.0279802788572852,0.0233346086315578,-0.0285320707916981,0.030796178674791,9.87615331429152e-12,0.00330863077717268,6.7589327905817e-12,0.00260037048472826,6.82166323349351e-05,0.00014394755948997
"22",1051,-0.535282497869048,-0.125581542990403,-0.193604757587309,0.174479270981465,-0.162194154952886,0.15485522592644,-0.224467323874705,0.170079894625815,1.44999797097276e-09,0.155185497268268,4.77946027265853e-12,0.123046020768204,0.00831676501538291,0.0174299455130602
"23",1101,-0.322678172509768,-0.00882830139016733,-0.130177699116757,0.13366971121286,-0.114954708478763,0.138030746165896,-0.124159361323109,0.177094959100941,6.93172444118022e-10,0.0919046006348901,4.6080798433034e-11,0.0826915723894951,0.00469146730742784,0.00974195481317598
"24",1151,-0.42021087489411,-0.0840704117290443,-0.177307975012809,0.170132992527215,-0.14474812860135,0.194755549164256,-0.200063492658956,0.13463811233305,1.01630697599372e-11,0.131228183186788,9.78771149700805e-10,0.106344623600792,0.00146386917771851,0.00308269210518267
"25",1201,-0.41455985455832,0.0583953847526573,-0.24172251447817,0.177203837694833,-0.141257713927189,0.253781162755331,-0.254355101656984,0.239932062411754,8.54421468655003e-11,0.18299943389005,1.52748046653963e-09,0.186141517958124,0.0112985937124391,0.023407998714598
"26",1251,-0.269817231564957,-0.179037607740611,-0.0435042291137506,0.0376732115691993,-0.0384437076536415,0.0336951018034597,-0.0448379986846703,0.040600271182484,7.58575009329627e-15,0.00752776139268544,1.22926133428946e-10,0.00555100348558282,0.000133585401634917,0.000276307165480514
"27",1301,-0.585857073056104,-0.0376944095769431,-0.291265448227932,0.220357633650565,-0.201234517226112,0.267194870510139,-0.343598674955501,0.23933339661744,1.53458175127934e-08,0.289128946003286,1.20950884082189e-10,0.252376372262832,0.0120441082569015,0.0246989676842797
"28",1351,-0.428648743109079,-0.0646269845747156,-0.172382950753672,0.239209325241973,-0.172305678963312,0.156476851581829,-0.243555347864458,0.161428330524359,1.46217037657069e-09,0.15210895760599,2.60129045248591e-09,0.118095917296568,0.00550451978996913,0.0112084986047444
"29",1401,-0.6300568463339,-0.127325922694581,-0.242170903671649,0.29398241654053,-0.218060794446501,0.265884909509623,-0.229569121336681,0.335464197713009,2.36781830268484e-08,0.324132738452949,2.05595718188714e-08,0.224515333110118,0.002060806757892,0.00433855249681176
"30",1451,-0.376413511095961,-0.195685989951016,-0.0816040430800058,0.0825546601263341,-0.0756988773064222,0.0796438398829196,-0.0824073086114367,0.0945539570529945,2.56845108226319e-11,0.029645677792665,4.25422045830461e-10,0.0303033013547091,0.000650669135379154,0.00135008950373703
"31",1501,-0.219615611247718,-0.181943886826048,-0.0164868255887995,0.0189824493427295,-0.0184309030337317,0.01471443225455,-0.0223061862780014,0.0156259548894013,2.91891516034754e-11,0.0015420410828329,5.16498650578563e-11,0.00127457176681509,8.56235892344089e-05,0.000176893220504116
"32",1551,-0.480232008187158,-0.063798556511756,-0.239458700030809,0.164589388034074,-0.125995551119559,0.212541795015568,-0.180058812533389,0.244099652481964,9.67414900445875e-15,0.171254887475316,6.93895735290384e-09,0.143012641128933,0.00695511311029395,0.0144005404041555
"33",1601,-0.147703302980517,0.200353768363129,-0.200918071641354,0.147165686414155,-0.153252805524971,0.149269421541248,-0.180353115611069,0.161556970662787,1.27619048652638e-09,0.131232277219928,1.35613395061469e-11,0.110695235888627,0.00220150186694653,0.00454417925022344
"34",1651,-0.49739160030731,-0.221857044300123,-0.126257937401533,0.164257946569705,-0.116841452458175,0.127315520687262,-0.148312327699387,0.161366814136272,8.68143953108667e-11,0.0813044716829878,1.90412245505945e-09,0.0643751649847276,0.00239345218280237,0.00498578230341403
"35",1701,-0.30337974975555,-0.118210091739456,-0.069677198829595,0.104345864892821,-0.0934185123041971,0.0669383303320501,-0.0668788951415991,0.0978771545633208,1.69577037027625e-10,0.0345791028832492,5.04666932996271e-10,0.0261441388975847,0.000573484271105234,0.00118137806383444
"36",1751,-0.350644459889736,0.0859758383448934,-0.2630239064747,0.175636641957681,-0.223004059913364,0.193095400626248,-0.222136410535313,0.202271654328797,4.1419300131451e-09,0.20375602945835,4.63081342011621e-10,0.150781393914297,0.00190559219226232,0.00395976758103948
"37",1801,-0.296691986062797,-0.0744037646218203,-0.129139316290093,0.0842265912360745,-0.0632964421165525,0.12062307909946,-0.116856803055271,0.110221987677505,4.22292671756517e-10,0.054608308108618,6.00044564053349e-10,0.0433910162146719,0.00279386280856507,0.00570611136341802
"38",1851,-0.305402232726919,-0.000958185533818323,-0.123747348974575,0.163939382429817,-0.151638519513654,0.115477125509642,-0.163102399514173,0.143292120686965,1.28068559803886e-09,0.085045007710571,4.28487936104876e-09,0.0864068552230067,0.00326026654871948,0.00676853465846853
"39",1901,-0.536881927037371,0.1941686772916,-0.364043208275689,0.324587956958567,-0.245560856688826,0.382635486219442,-0.359006388705893,0.329605528400862,5.06924109313403e-09,0.459480126570617,2.05201526431307e-08,0.408372157346711,0.0189815369002654,0.0389119498711656
