"","Iteration","Species","AbSpec","Units"
"1",1,-0.00013546765532016,-0.000134537955797674,0.00318138185975573
"2",51,-3.69409179071659e-05,-3.20204150127827e-05,0.0011827011466605
"3",101,-0.000343968422431291,-0.000294345773325737,0.00839616723273269
"4",151,-0.000166976131922018,-0.000145687878675277,0.00324473053985056
"5",201,-0.00101220341645752,-0.00104935790634916,0.0159824752393273
"6",251,-0.000134369981188387,-0.000114630464576502,0.0029959658595478
"7",301,-0.000678850808586614,-0.000617643023995944,0.00540191357261491
"8",351,-0.000294567031925891,-0.000284471475332279,0.00760374705512609
"9",401,-0.000690369366269952,-0.000544630746638927,0.00578411304139029
"10",451,-0.00035382929605513,-0.000300697738269505,0.00674352401054015
"11",501,-0.000261020829686614,-0.000227893088542638,0.00803493103486597
"12",551,-0.00090549560472721,0.00467985994326149,0.0195453393873869
"13",601,-4.10317122735859e-05,-3.57846020238162e-05,0.000754872702227395
"14",651,-9.63557343943409e-05,-8.69970219283881e-05,0.00074235994727346
"15",701,-0.000120560576794923,-0.000104065984624726,0.000908295904377135
"16",751,-0.000305948994975609,-0.000268504488514587,0.00805381889680874
"17",801,-0.000551179074007091,-0.000455208305132086,0.0181756338964663
"18",851,-0.00020297926577139,-0.000194153378627266,0.00621267632824796
"19",901,-4.39700087473413e-05,-4.54100521680907e-05,0.000600343294725013
"20",951,-0.000307284040002344,-0.000263670495004586,0.00575572887831599
"21",1001,-8.64842920750581e-06,-8.53156016692267e-06,9.49677845739541e-05
"22",1051,-0.000487960822279418,-0.000381348349086588,0.0119764282460555
"23",1101,-0.000193103530003376,-0.000165328449160084,0.00658818723101807
"24",1151,-0.000314186073537639,-0.000301475156175666,0.00203879742573616
"25",1201,-0.000596094760850106,-0.000535284967434046,0.0144914571055461
"26",1251,-1.53830672513896e-05,-1.62969886661571e-05,0.000184275176383495
"27",1301,-0.000948009992024366,0.00352762752101906,0.017191376677735
"28",1351,-0.000447228363105878,-0.000404541317239624,0.00753949638383678
"29",1401,-0.000800790110451082,-0.000692290310408669,0.00292867092817055
"30",1451,-9.95286892658738e-05,-9.56452674968293e-05,0.000915410626752704
"31",1501,-3.48686182083827e-06,-3.0593566692463e-06,0.000110071566419982
"32",1551,-0.000535639139389214,-0.000408926342860297,0.00987590623368153
"33",1601,-0.000235093867354512,-0.000213428118264257,0.00303320648365367
"34",1651,-0.000219697354199021,-0.000196724319381109,0.00335197667084472
"35",1701,-5.95637542990364e-05,-5.56184539041298e-05,0.000796384354238777
"36",1751,-0.000580310132676846,-0.000519425166204775,0.00268163299838955
"37",1801,-0.000120261836150203,-0.00010179366515992,0.00389951371982468
"38",1851,-0.000219690757599617,-0.000206446800327286,0.00467383432398842
"39",1901,-0.00157097595201285,-0.00134939830844819,0.0260695267170207
"40",1951,-0.000374705521636942,-0.000330430513842026,0.00568212639905184
