"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",0.0315889396063099,-0.0174343095014336,-0.0174343095014336,-0.0164439298185001,0.0183021831336341
"Lag 250",0.00428913289999193,0.0258183644585802,0.0258183644585802,-0.0271576913682199,0.00798307413977761
"Lag 500",-0.0100302124792722,0.00440459395401816,0.00440459395401818,-0.00237858827866387,0.0131538020786984
"Lag 2500",-0.000288380133623613,0.00196563187771832,0.00196563187771832,0.029495844894223,0.00749600653515111
