"","Species","Residuals","Intercept","InvClim","PreClim","InvTime"
"1",733.691786846407,2000,1834.65957671212,2324.74430887994,2425.82149408218,2055.1706334182
"2",603.888985280135,2000,2000,2204.24066462583,2466.93189440535,2030.43406906233
"3",686.268790950641,2000,1642.52774439372,2376.10491320805,2596.58769926669,1953.36777559674
"4",1149.78125598467,2000,2000,2982.81203276632,2387.44817799832,1992.73503364107
"5",376.32968182868,2000,2000,2183.55274263112,1859.04150621536,3383.02741288582
"6",1022.9286778916,2000,1728.48745742464,2863.16182232666,2241.22078883475,1967.52188283948
"7",299.122779762001,2000,2000,1898.38128640879,1712.10422451092,2155.93495002258
"8",880.242523151213,2000,1603.21976896988,2490.29693206935,2443.00052794143,1992.8197697259
"9",605.883553603406,2000,2000,2228.24871675813,2450.28716337147,2006.98927986993
"10",458.151487448085,2000,2000,2182.12360223653,2482.03173755446,1987.35018395802
"11",586.309636219866,2000,2000,2199.03247386239,2467.99079765567,2027.63712601769
"12",585.259251116326,2000,1979.85009540728,2209.12773841576,2470.07294914655,3354.18902951441
"13",658.85279451712,2000,1652.00230768256,2330.89007134164,2467.66026131117,1966.50923924839
"14",1022.13456391704,2000,1813.35241538154,3327.05511154521,3109.14733651939,1924.96385142521
"15",400.282425256765,2000,2000,2139.90827742701,1852.64720230574,3494.50936922962
"16",963.116802213505,2000,2000,3089.71514384347,2400.16448759004,1958.95886900976
"17",944.350831314425,1999.99999999999,2000.00000000001,2982.56929910144,2328.45772237964,2000.75128493553
"18",1038.46652539423,2000,1875.34793508516,2916.65239406134,2348.68361998411,1974.41959073067
"19",668.822532976603,2000,1679.94728309319,2325.30378268997,2471.30825180726,1976.89852992241
"20",1011.50892687065,1999.99999999999,2000,3020.99142525256,2549.85171149374,2000
"21",161.462510902876,2000,2000,2000.65782983683,1848.52934619545,2083.57760754376
"22",840.583117762135,2000,1596.1687103596,2494.02904728493,2578.49113791729,1976.36045909851
"23",1027.42954794052,2000,1949.48208333813,3132.75436206722,3076.44811644063,1922.69893485496
"24",459.841661672126,2000,2233.48513231252,2135.33905145489,1914.43447335022,3498.77634117736
"25",1160.10841284316,2000,2000,3064.89009246588,2465.54259371124,1985.96804495473
"26",609.76550136274,2000,2000,2231.91706304336,2456.21805336448,2010.51844175442
"27",1098.12730490013,2000,1971.58418996354,3138.74636799079,2742.85932132502,2013.27897394652
"28",916.482737676487,1999.99999999999,2000,2975.85858658169,2323.76810400841,2001.41505716185
"29",956.361672274949,2000,2146.63481598796,2836.1331839693,2329.10232846695,1936.95090949178
"30",1117.16773184219,2000,2000,3201.87081916951,3196.79481913143,2000
"31",950.419296974206,2000,1803.92360131668,3703.38413126948,3493.44127656432,2187.11351091173
"32",619.192811709198,2000,2000,2066.03016403375,2074.2597024533,3426.085269335
"33",916.928475113774,2000,1669.41089355187,2664.90494550989,2214.09845570462,2046.39565676029
"34",815.384507669275,2000.00000000001,1671.02564548131,2383.4078920104,2532.26120475081,1996.40688106146
"35",1051.18234342325,2000,2000,2960.5597837466,2574.02947289907,2000
"36",951.36198387537,2000,1950.52693054248,2855.80752145903,2993.81987599021,2106.494481382
"37",1022.0498113635,2000,2000,3110.19283962519,2308.60636338729,1972.31569580677
"38",973.141546881888,2000,2000,2911.21611568251,2559.97396866677,2000
"39",684.188398388309,2000,1674.7115076105,2362.25045200564,2545.0969691069,1964.64188179519
"40",981.02290535005,2000,2193.87231882369,2460.88134492601,2218.82341783468,1818.60629466338
"41",612.488389890592,2000,2000,2238.0169149798,2461.97925091916,1993.59470556222
"42",845.142224928195,2000,1549.73512842382,2505.39559923118,2661.68084662261,1975.56013855344
"43",1069.82203936567,2000,2000,2964.70226998275,2319.98286284321,1970.84906378248
"44",821.766634488151,2000,1417.48479050127,2480.77440939396,2618.45827956436,1909.35650047487
"45",1200.24442272797,2000,2000,2744.43822533383,2213.86723504851,1991.42663460346
"46",138.958877654658,2000,2000,1840.78305873114,1534.55842600981,2091.72150140419
"47",629.703576258695,2000,2000,2260.32791246651,2463.40876252191,2031.14896749659
"48",833.592404880389,2000,2000,4327.53837781033,3060.72262841406,3314.51786351979
"49",318.42536771304,2000,1791.06902212151,3501.85219997619,1241.6764349065,3759.01313831353
"50",980.267679269539,2000,2000,3080.95239507873,2761.90118181823,2775.80637558777
"51",962.097816038012,2000,1641.47243539026,3021.27394789675,2391.65081646048,1967.78072026058
"52",897.907469465535,2000,2000,2629.72665198921,2156.18252710739,2029.78403013977
"53",602.633592859875,2000,2000,2110.08901341054,1906.84969108465,3460.38350028181
"54",699.656217123221,2000,2000,1944.34986630348,1795.81841390083,2114.18658599804
"55",970.42302588502,2000,1651.38427887151,3033.72391253621,2409.12158817539,1978.43268446324
"56",511.267077052983,2000,1878.70235651352,2282.84690962336,2442.35126200348,1963.65684631834
"57",892.157639910769,2000,2000,3120.29217426028,2384.64490369012,1972.38091546521
"58",984.681479458578,2000,1974.40784309452,3007.99303657898,2539.2101714801,1934.16888276933
"59",243.308651532754,2000,1836.5559332631,1801.4856287073,1846.00892435835,3427.08307243859
"60",799.490866060347,2000,1637.84328848971,2408.73822023832,2647.94715906515,1993.80712450955
"61",668.862217364168,2000,1744.20378767487,2362.18283401003,2526.68960021288,1994.11177749249
"62",960.977243852962,2000,1884.97538784277,3061.91095753597,2656.11459666479,2017.02392262762
"63",467.634135926997,2000,2000,1907.61510776375,1639.82794503164,2106.20133773005
"64",571.25087312929,2000,2000,2036.37958921862,1723.26148968117,2080.55741492807
"65",686.417607780082,2000,1618.4046813919,2352.33185228317,2460.76300369242,1959.68724803229
"66",1008.55285387089,2000,1843.15921308075,2544.84610679743,2528.70903515947,1793.25040216044
"67",651.268807259195,2000,2000,2333.53082723306,2485.14630086109,1970.81294549078
"68",1124.17294840996,2000,2000,2675.68769460249,2613.62403492207,1992.69060906612
"69",907.658040376411,2000,2000,3047.07882288987,2321.61628489596,1962.02288317104
"70",952.179379517103,2000,2150.21429889643,3124.16639886653,2812.78303827818,1859.04677006283
"71",1096.6579904981,2000,2083.46666980097,3141.59811190592,2783.0538808013,2000
"72",982.182505109477,2000,2000,3009.98222119992,2715.28899760692,1929.01963291568
"73",933.366011276382,2000,2098.88635284455,3321.46376678038,3311.38015221955,2084.84708660603
"74",864.931164204114,2000,2000,3264.50192397579,3053.26508158854,2041.16851044968
"75",633.349576453468,2000,2000,1984.54708031937,1756.0749362896,2118.7394580625
