"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",0.0564932265556644,-1.32813211990288,1.41138208132179,0.0933151889819399,0.85223
"PreClim",-0.032769679861266,-1.38149728081771,1.26553784075077,-0.0585317764540179,0.94133
"InvClim",-0.0440736316478746,-1.30222522515396,1.22519906866364,-0.0466060643372739,0.86568
"InvTime",-0.00727794789862573,-1.35423795896349,1.26973449465004,0.0166837125404218,0.99592
"Phylo",1.49966244170777,4.2263552115956e-11,5.66186177636031,-0.0168791587730591,5e-06
"Spp",1.18628743402936,8.00681957070726e-12,4.57522809353797,-0.0143118772018435,5e-06
"units",0.019803967360858,0.000245348934804691,0.0538659004258588,0.00111752772813742,5e-06
"h2phylo",0.515659731773602,8.16507515759921e-11,0.979978193917525,0.00190236968914122,5e-06
"s2",0.447784780208694,2.91319505619599e-12,0.970290327477889,0.00192503234495982,5e-06
"CVphylo",4.36341608463552,-25.055373024255,23.701427865001,-778.659001005522,0.85223
"CVspp",2.95839719270648,-22.6510681805147,23.2916499071747,533.593217175992,0.85223
"CVresid",-0.0844836287347148,-5.58744759201611,5.96793686737257,66.841171912929,0.85223
