"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.194043595713621,1,0.163491293537024,0,0.230246619968925,1,0.00837562747451758
"2",51,1,0.890140246273281,1,0.155728102422699,0,0.180373666121337,1,0.00837653469027174
"3",101,1,0.851677600449814,1,0.149854835026059,0,0.154822338313176,1,0.00838249316521402
"4",151,1,0.892558678420363,1,0.156482484588169,0,0.174023506315878,1,0.00837795753505225
"5",201,1,0.126276127448974,1,0.166863336699303,0,0.284167974603132,1,0.00837378682278181
"6",251,1,0.75813975577665,1,0.142037795209312,0,0.151613733347305,1,0.00838730609770754
"7",301,1,0.827520241143088,1,0.146858316189738,0,0.158527026744704,1,0.00838117282207299
"8",351,1,0.927144203541513,1,0.149373386705593,0,0.184907504958908,1,0.00838005994408503
"9",401,1,0.0538504323338026,1,0.168884055286358,0,0.326724893348529,1,0.00837334430364944
"10",451,1,0.954103390062377,1,0.153605743468835,0,0.184621985584952,1,0.00837922077815621
"11",501,1,0.660710258815055,1,0.142395157601593,0,0.147972347811004,1,0.00838249776591505
"12",551,1,0.876310783242849,1,0.14926422818942,0,0.158982969036668,1,0.00838078707707665
"13",601,1,0.241821373917667,1,0.162264323882928,0,0.174713839654971,1,0.00837576421134411
"14",651,1,0.0987068630305905,1,0.169135732856868,0,0.403265633340135,1,0.00837322049329245
"15",701,1,0.508003203051917,1,0.158558400058355,0,0.165250519297557,1,0.00837480102035308
"16",751,1,0.731319955069733,1,0.144083705290389,0,0.146376585174614,1,0.00838247893462838
"17",801,1,0.645782115405193,1,0.143256658943074,0,0.140308458365413,1,0.00838712529757076
"18",851,1,0.847678790171613,1,0.149769855579996,0,0.145409459648536,1,0.00838060331783306
"19",901,1,0.481142144559286,1,0.131168947277202,0,0.152389566528736,1,0.00838802449110004
"20",951,1,0.498746721863199,1,0.167919593264232,0,0.26107760143165,1,0.00837390550804447
"21",1001,1,0.34873718711768,1,0.165725508098713,0,0.299472607121341,1,0.00837289878306664
"22",1051,1,0.656268895976771,1,0.161021747889307,0,0.16654865733126,1,0.0083774572398792
"23",1101,1,0.751977952152371,1,0.145053736630812,0,0.142344527590013,1,0.0083828891638078
"24",1151,1,0.820483493660045,1,0.15764456811125,0,0.161809047484066,1,0.00837774346175521
"25",1201,1,0.36122213262636,1,0.167011273758439,0,0.248864504127559,1,0.00837476667000261
"26",1251,1,0.873236451350667,1,0.156470227632665,0,0.177457212942578,1,0.0083768723901114
"27",1301,1,0.471127572215303,1,0.160488023448032,0,0.171387332359122,1,0.00837692981110265
"28",1351,1,0.876276505244103,1,0.151247021372859,0,0.153805501779121,1,0.00838111863702517
"29",1401,1,0.878466464449051,1,0.149332261779937,0,0.157646776651308,1,0.00837880408273376
"30",1451,1,0.915256354033043,1,0.154450648667976,0,0.177234988435518,1,0.00837747690196621
"31",1501,1,0.870269992224108,1,0.149902593887712,0,0.151526048488628,1,0.00837972077156643
"32",1551,1,0.905008060726823,1,0.152149602789515,0,0.167274686187074,1,0.00837861601288839
"33",1601,1,0.890345701986428,1,0.149928284305447,0,0.16316148194284,1,0.00837744731316206
"34",1651,1,0.890791872250415,1,0.154583477274559,0,0.159988827254765,1,0.00837942258238806
"35",1701,1,0.365431321062625,1,0.168330318193587,0,0.316638109969411,1,0.00837309797411186
"36",1751,1,0.679999265798125,1,0.143989913465488,0,0.144581767195987,1,0.00838278728288686
"37",1801,1,0.906579489729138,1,0.155335784868523,0,0.173885231810279,1,0.00837813898725466
"38",1851,1,0.567282250621902,1,0.139632687651444,0,0.144686452186987,1,0.00838211743904934
"39",1901,1,0.595051902156723,1,0.157981960914564,0,0.154770385523271,1,0.00837555281913088
"40",1951,1,0.852137996484739,1,0.147405166111978,0,0.144778640034487,1,0.00838027782356693
"41",2001,1,0.524683808073589,1,0.136474598095258,0,0.145110497617945,1,0.00838739313622002
"42",2051,1,0.0705374768932461,1,0.167282387709505,0,0.269711148546518,1,0.00837402275026329
"43",2101,1,0.640452046210561,1,0.158623508138213,0,0.177080419740795,1,0.0083766014995979
"44",2151,1,0.71455412997825,1,0.146376231306067,0,0.143775916660987,1,0.00838371346124923
"45",2201,1,0.793315691059054,1,0.156737782678086,0,0.164077570510258,1,0.00837660577570941
"46",2251,1,0.427722475634231,1,0.168085198367406,0,0.362070462162982,1,0.00837377307241906
"47",2301,1,0.653895846062605,1,0.143727605272467,0,0.142541556653291,1,0.00838511512301146
"48",2351,1,0.846574856458012,1,0.145879550499085,0,0.165565198061273,1,0.00838079752046508
"49",2401,1,0.662552463672985,1,0.158939611707373,0,0.158209459537888,1,0.00837697727062214
"50",2451,1,0.828973754692151,1,0.149119963993237,0,0.154033796587998,1,0.0083825787264347
"51",2501,1,0.878791484968535,1,0.152754394241429,0,0.150268404159066,1,0.00838023558528101
"52",2551,1,0.589239070764326,1,0.137188278188249,0,0.15462174391481,1,0.00838744712198308
"53",2601,1,0.667277136361996,1,0.162448132571007,0,0.176647970314498,1,0.00837717594408767
"54",2651,1,0.873160320141312,1,0.157517422989917,0,0.16424892873912,1,0.0083787222035986
"55",2701,1,0.882799389186155,1,0.156091873899002,0,0.164863287403793,1,0.0083784438625544
"56",2751,1,0.862442812908882,1,0.155676358070932,0,0.181087566109163,1,0.00837610196332285
"57",2801,1,0.892354733156266,1,0.151762832965072,0,0.163739237845949,1,0.00838051328780962
"58",2851,1,0.838456742422741,1,0.14745465216235,0,0.161262116821292,1,0.0083822119710602
"59",2901,1,0.830958822786363,1,0.156688813870994,0,0.173095742334646,1,0.00837667638500026
"60",2951,1,0.663159673634309,1,0.137963024035082,0,0.14414442096706,1,0.0083853321796115
"61",3001,0,7.89336816353625e-07,1,0.169509972715566,NA,NA,1,0.00837332519892318
"62",3051,1,0.785771586173125,1,0.156763428672405,0,0.157519996348264,1,0.0083775234396007
"63",3101,1,0.558516102340575,1,0.160270588711347,0,0.174801850764818,1,0.0083769363520935
"64",3151,1,0.9057363362004,1,0.149005165095121,0,0.181649854719715,1,0.00838165891132356
"65",3201,1,0.645207217236094,1,0.142963127201527,0,0.137542848139653,1,0.00838596791133756
"66",3251,1,0.663950616051065,1,0.145296527572743,0,0.149485977158798,1,0.00838549718015164
"67",3301,1,0.838487012039616,1,0.148995976709362,0,0.137590500451595,1,0.00838202456970706
"68",3351,1,0.836597636232735,1,0.146127625783904,0,0.145877396910968,1,0.00838261435432596
"69",3401,1,0.72334077786668,1,0.140486606566282,0,0.156829931045244,1,0.00838357579797388
"70",3451,1,0.538821624371769,1,0.135172384090685,0,0.159992964442508,1,0.00838507589554456
"71",3501,1,0.606722774229485,1,0.137354059039963,0,0.143305491576905,1,0.00838525969121294
"72",3551,1,0.478561243758943,1,0.158941650518747,0,0.170566298688728,1,0.00837669412135337
"73",3601,1,0.521570827509448,1,0.159331588173569,0,0.179047774340396,1,0.00837587315667199
"74",3651,1,0.845963447792088,1,0.145950158195996,0,0.165853770428375,1,0.00838255637032285
"75",3701,1,0.887510225758625,1,0.150500884181005,0,0.156643065352394,1,0.00837929994322595
"76",3751,1,0.774153659272814,1,0.159618804309884,0,0.16703828623962,1,0.00837767704076756
"77",3801,1,0.125921722767132,1,0.161897829860913,0,0.227647810155238,1,0.00837556201260841
"78",3851,1,0.891871152039922,1,0.15257207321994,0,0.174108576349982,1,0.00838194017901807
"79",3901,1,0.835133060597972,1,0.149407194415758,0,0.157004669510872,1,0.0083828130970184
"80",3951,1,0.593407728336057,1,0.139934288712936,0,0.153426681860608,1,0.00838527640074761
"81",4001,1,0.307792212436551,1,0.160571958949943,0,0.190402967164672,1,0.00837534859186145
"82",4051,1,0.573287659276571,1,0.135668530086706,0,0.151190771767342,1,0.00838889202100548
"83",4101,1,0.137537562149747,1,0.167433550155661,0,0.303087565326585,1,0.00837377163980408
"84",4151,1,0.090785989074625,1,0.1630977038007,0,0.210452105058399,1,0.00837447097562033
"85",4201,1,0.847020689239781,1,0.145878382938306,0,0.173087714192699,1,0.00838143540095214
"86",4251,1,0.370870846543605,1,0.15974460473134,0,0.178581493172479,1,0.00837610756478526
"87",4301,1,0.717856272400633,1,0.141568887331677,0,0.151158038267568,1,0.00838378570848138
"88",4351,1,0.565780427606742,1,0.135982875825602,0,0.15175629998665,1,0.00838455672108224
"89",4401,1,0.682279042011957,1,0.139469326218899,0,0.15607162513916,1,0.00838326511921666
"90",4451,1,0.868989290860463,1,0.156851303625889,0,0.158250887130989,1,0.00837930269055084
"91",4501,1,0.802966715364801,1,0.145663027525469,0,0.149281858905892,1,0.00838252744917191
"92",4551,1,0.382687118555011,1,0.168671358459779,0,0.318386085624257,1,0.00837327053430484
"93",4601,1,0.594967635022848,1,0.163831063014849,0,0.202090128997481,1,0.00837618967192274
"94",4651,1,0.176296580327257,1,0.160975229806003,0,0.172771185150169,1,0.0083749480709711
"95",4701,1,0.83517118840271,1,0.146974334900364,0,0.145698425963214,1,0.00838191640320472
"96",4751,1,0.816659790104842,1,0.146907945054919,0,0.173320065721298,1,0.00838237313573329
"97",4801,1,0.937815083542134,1,0.154028882549257,0,0.185124385941689,1,0.00837866756482206
"98",4851,1,0.73087031115351,1,0.146128831450402,0,0.141513861690153,1,0.00838297617704582
"99",4901,1,0.582145925397255,1,0.138781180510774,0,0.144437511427479,1,0.0083843039890936
"100",4951,1,0.639359315579771,1,0.159110624073458,0,0.16616429246442,1,0.00837593765014633
