"","V1"
"1",0.224201671839808
"2",0.226085684585417
"3",0.318150772261496
"4",0.237577511936186
"5",0.0940158211191673
"6",0.197160342835359
"7",0.336866542900316
"8",0.332817606610136
"9",0.306550355961322
"10",0.319417059415647
"11",0.320564868060517
"12",0.359224170559332
"13",0.090216324810126
"14",0.123111314153715
"15",0.236028785033054
"16",0.119009428174846
"17",0.480625280932285
"18",0.33559043921998
"19",0.451366885122648
"20",0.156566107134948
"21",0.256890030568745
"22",0.198162783406942
"23",0.420159111072902
"24",0.254282271416011
"25",0.403305700314874
"26",0.214660307329334
"27",0.320755483181622
"28",0.290896342918949
"29",0.361879799979229
"30",0.179193842798277
"31",0.38529590856335
"32",0.260726154778288
"33",0.336821032986342
"34",0.141306562616981
"35",0.236420060836772
"36",0.427920225373963
"37",0.260445331612295
"38",0.315953022584749
"39",0.323599086496273
"40",0.403518183962297
"41",0.279642762929926
"42",0.174728363674887
"43",0.235346153497062
"44",0.367930653877883
"45",0.330891413656274
"46",0.208365060816512
"47",0.0609720102228205
"48",0.384218996336451
"49",0.191469108118119
"50",0.377451538460956
"51",0.406756616844016
"52",0.202296325658773
"53",0.198753312824163
"54",0.322494039618121
"55",0.292192730204456
"56",0.326585757707817
"57",0.308480231225009
"58",0.131882080460286
"59",0.330231870465989
"60",0.426978955352142
"61",0.129920416857096
"62",0.128441953792331
"63",0.240689328319018
"64",0.377583498444769
"65",0.366180480055519
"66",0.352690009590144
"67",0.33042761729156
"68",0.279705009442465
"69",0.23132682264387
"70",0.211542174303926
"71",0.198604169637488
"72",0.212328898029872
"73",0.203604665514991
"74",0.323414146712348
"75",0.13028273479521
"76",0.268151380228749
"77",0.509052617642692
"78",0.267651707205948
"79",0.290942991877947
"80",0.502314223806029
"81",0.212072109612777
"82",0.45580107749895
"83",0.287972274409752
"84",0.116090771630332
"85",0.215782970387521
"86",0.132140268916686
"87",0.55833547694041
"88",0.2102853815583
"89",0.360492097787706
"90",0.252599652938698
"91",0.388756860049187
"92",0.156120161555872
"93",0.153863172043234
"94",0.266742383685974
"95",0.231031881519093
"96",0.335269540689333
"97",0.198108407414427
"98",0.333220342132629
"99",0.205080969218421
"100",0.28440210981836
