"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-0.0141171002508488,0.0167513346326388,0.0167513346326388,-0.00357805818718821,-0.0128851862540881
"Lag 250",0.0148705970305661,0.00202010268048455,0.00202010268048456,0.00707583022237102,0.000860040078458441
"Lag 500",0.00152850300455112,-0.00743433077930329,-0.00743433077930329,-0.00279003689000115,-0.0159619336792852
"Lag 2500",-0.00929703927221716,0.00211857222346935,0.00211857222346936,0.00892933082693822,-0.014475945971452
