"","Iteration","Intercept","Preclim","InvClim","InvTime"
"1",1,-0.433246361340287,-0.00215548887276795,0.00341002633525286,-0.00193409577173986
"2",51,-0.42190876486608,-5.57928821633413e-05,0.00142864262008938,-0.00180634083147463
"3",101,-0.429625887839395,-0.00162784539877553,0.00165479387771569,-0.000976013354965888
"4",151,-0.429817384773214,-0.00197575562374333,0.00158337806370989,-0.0022535816735097
"5",201,-0.448354782903632,-0.00211289247130358,0.00301492878488313,-0.000301606368329876
"6",251,-0.43286067869602,-0.00283375628953486,0.00215625163641808,-0.000674890389820604
"7",301,-0.425051722987979,-0.0015530565058115,0.00190576797694322,-0.000305883493296466
"8",351,-0.426766419840338,-0.000177391747786193,-0.000400572946986255,-0.00382351167874034
"9",401,-0.441882147630417,-0.00273198661624238,0.00174445273907775,-0.000984022620395153
"10",451,-0.43337786879362,-0.0026411132461221,0.00344485157699048,-0.000822201916407805
"11",501,-0.441091883798767,-0.00191719652276506,0.000980419762331652,-0.000858061060711124
"12",551,-0.43349471452084,-0.00159806279983782,0.000435265803078788,-0.000686623639240908
"13",601,-0.426463319156317,-0.00120141978225707,0.00175079650071652,-0.00161293313526382
"14",651,-0.438955543641403,-0.00250304539073468,0.00256378012400668,-0.0012435154078988
"15",701,-0.423871296179706,-0.00141430287239519,0.00157225335680694,-0.00113875532240826
"16",751,-0.432799416894528,-0.00197542142520307,0.00266505868834865,-0.00125340711977232
"17",801,-0.432201112585374,0.00180746709515156,0.0019090113054093,-0.0036879490608811
"18",851,-0.42391411169152,-0.00189456278285161,0.00225182936585983,-0.00247874330383091
"19",901,-0.420566941968106,-0.00117642989495348,0.00138217642497146,-0.000452515268802245
"20",951,-0.421375245202355,-0.001004655247557,0.00236338516786785,-0.00137154362664144
"21",1001,-0.423715655933328,0.000475903328511995,0.00255372239768978,-0.00290446248091761
"22",1051,-0.4360809076116,-0.0018334982827371,0.00285051235291234,-0.00167881324325544
"23",1101,-0.43592473434114,-0.000415384255369466,0.00278855922721882,-0.00252314730339154
"24",1151,-0.432149515925393,-0.00432249001493679,0.00481017716391674,0.00100591417002781
"25",1201,-0.442956489853307,-0.00175268711172533,0.00264316147889967,-0.00151867526952104
"26",1251,-0.438712053874341,-0.0042234079817387,0.00152154772186364,-0.00237679133305457
"27",1301,-0.431851441588169,-0.00333322052673704,0.00340693058975802,-0.00101348026070514
"28",1351,-0.439508637061238,-0.00283326831828196,0.00235863884479945,-0.00146266814074603
"29",1401,-0.437384415495879,-0.00115058763468889,0.00195314205979485,-0.00134466047687676
"30",1451,-0.440675240695428,-0.00100336153458319,0.00405293913813537,-3.25034058265006e-05
"31",1501,-0.424711125569868,-0.00377363858884233,0.00312533170214183,-0.000300995039298757
"32",1551,-0.427162452321143,-0.00216677992873485,0.00220571995895663,-0.00155413989714143
"33",1601,-0.440913753440844,-0.00276628005304225,0.00314604695368928,-0.00132621716288173
"34",1651,-0.437268037896391,-0.00274423082514763,0.000606665746402113,-0.00141016020246909
"35",1701,-0.4236124178752,-0.00136477916913635,0.00164377947572025,-0.000336936557694956
"36",1751,-0.431493911987781,-0.00153908534986638,0.00173412358200506,-0.000799005094545446
"37",1801,-0.447562637425928,-0.00386456866683366,0.00375740132387081,0.00145648617320215
"38",1851,-0.419212170487205,-0.0022309016389615,0.0058241874551111,-0.0066175557501586
"39",1901,-0.439975385699962,-0.00406728485320174,0.00399855140737249,-0.00352189395629665
"40",1951,-0.444221370825343,-0.00115161749725945,0.00202532908088957,-0.0010399195379614
"41",2001,-0.437095124282173,-0.00203193677932867,0.00425278603853765,-0.00140631801197097
"42",2051,-0.431919206589166,0.000471519156245104,0.00232804837258827,-0.00328810502804472
"43",2101,-0.425985865117792,-0.00165437759330472,0.00113908217144659,-0.00114331562158687
"44",2151,-0.44412711804285,-0.00232914018671002,0.00262756528256977,-0.00152562690965211
"45",2201,-0.425394968710731,0.00187733949678259,-0.000714029731324839,-0.00109634826584593
"46",2251,-0.428989989012485,-0.00182988034326298,0.00217873023478088,-0.0016645573747156
"47",2301,-0.444056968174466,-0.00222119351221228,0.00299636230265343,0.00294739447343539
"48",2351,-0.426898016182599,-0.00303818524484167,0.000744590234925235,-0.000729079415899336
"49",2401,-0.445459660740408,-0.00157326976198713,0.00200540064260818,-3.51673784159123e-05
"50",2451,-0.447873299581505,-0.000333962430487389,0.000802153876128031,-0.00160036779192801
"51",2501,-0.437155533621417,-0.00143816513631156,0.00248703248793725,-0.00109523049505589
"52",2551,-0.431342594899264,-0.00145065232922037,0.00182114059205862,-0.000852690557579749
"53",2601,-0.430703133324895,-0.00248969314830616,0.00239106881823142,-0.00179736412827958
"54",2651,-0.435980699797623,-8.49121859625157e-06,0.00168153774380786,-0.000419635176032551
"55",2701,-0.438886871645048,-0.000801175306204605,0.00195513953015264,-0.00245320451860187
"56",2751,-0.431997420841157,-0.00270080513942506,0.00147933945270173,-0.00120944368715492
"57",2801,-0.434469681148427,-0.00195358252830141,0.00296623198950857,-0.00179455526437
"58",2851,-0.44089609197534,-0.00150064074954859,0.00250798689546478,-0.00085583567896691
"59",2901,-0.447056515357327,-0.00193668584303386,0.00429618130826376,-0.0020528393464439
"60",2951,-0.428435823879362,-0.0023432837230048,0.00193753410065356,-0.00130249530321924
"61",3001,-0.434112156454819,-0.00275613965960475,0.00184170670850964,-0.00173572788488668
"62",3051,-0.43736607419619,-0.00281334488854201,0.00218297226404124,-0.000923601526976348
"63",3101,-0.426732684666319,-0.00030824998333373,-0.0011162531638414,0.000824431689154304
"64",3151,-0.426869122583076,-0.00254416351640102,0.0021307417101675,0.000435153952353079
"65",3201,-0.426141581039478,0.000235901549711426,0.000465376283813962,-0.00375080877865408
"66",3251,-0.439561010054221,-0.00286350224456799,0.0025657553289663,-0.00193247810204034
"67",3301,-0.433104723999292,-0.00324109539173956,0.00250085948199194,-0.001526622879964
"68",3351,-0.4305457439591,-0.00204684756634574,0.00204415806503924,-0.00106107023454988
"69",3401,-0.418091131995759,-0.00261459596169517,0.00061949539402506,-0.00181655618846199
"70",3451,-0.425410269522476,-0.001179366737731,0.00163804848432728,-0.00159599975528507
"71",3501,-0.443841297797345,-0.00191213045669203,0.00374674876155279,-0.000784290156867429
"72",3551,-0.433723548692753,-0.0017130433134912,0.00233157684769233,-0.00130632157814095
"73",3601,-0.426229844738545,-0.000738079018041127,0.00099491218432618,-0.00112357371520322
"74",3651,-0.422352176796958,-0.000919772023012272,0.00169343683957315,-0.00109230764255605
"75",3701,-0.429501891224038,-0.00132828336661145,0.00174780095461033,-0.00131911312624328
"76",3751,-0.435382437208139,-0.00665066775796941,0.00157618035805268,0.00502486978080618
"77",3801,-0.436371972263576,-0.000898845016544858,0.00248234200359698,-0.00204100273855518
"78",3851,-0.430945917344904,-0.000342182980576089,0.00321953919206602,-0.00209744296251296
"79",3901,-0.444415484216709,-0.00163948478408327,0.00154483201875058,-0.00128377264222984
"80",3951,-0.429175585928363,-0.00373424147741552,0.00213488328701639,-0.000177378478510959
"81",4001,-0.428397532397653,-0.00242693322273468,0.00237139883417692,-0.00403362007784425
"82",4051,-0.440317093311761,-0.00509767959503393,0.00292188462717058,0.00120019295475382
"83",4101,-0.424696927118826,-0.00124928342979538,0.00168020415091849,-0.00122798519543443
"84",4151,-0.433142064568352,-0.00213899865850098,0.00619161573892713,-0.0024976355952826
"85",4201,-0.434164471351482,-0.00261782854925685,0.00272871562335231,0.00166238656277806
"86",4251,-0.428413647702041,-0.00139660023497001,0.0015597064497852,-0.00105902886030662
"87",4301,-0.442114275909104,-0.00186261152559028,0.00316669616223977,-0.00174632009499204
"88",4351,-0.43209031883182,-0.00042299287918024,0.000779678425741226,-0.00165228691216612
"89",4401,-0.437066153373074,-0.00374477177185173,0.00380996151416646,-0.00214494516640062
"90",4451,-0.430872482833622,-0.00373406339133264,0.00282296162646123,-0.00119066662513556
"91",4501,-0.43735602083084,-0.00268951327169756,0.00062153078639221,-0.001779775397622
"92",4551,-0.425145033033445,-0.00161694426000064,0.00280422984878559,-0.000939642560270959
"93",4601,-0.430610303250259,-0.0019105272833663,0.00131114772184496,-0.000921498976140217
"94",4651,-0.4270575378168,-0.00183607429889035,0.00149379140506323,-0.000690286549085428
