"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.424880067366017,1,0.938613316319379,0,0.35669254837077,1,0.0085628278530982
"2",51,1,0.597414213126669,1,0.946244557754184,0,0.514939089506995,1,0.00854378668941141
"3",101,1,0.729905847024725,1,0.930320052025604,0,0.391742101004629,1,0.00855521055709367
"4",151,1,0.351822655965162,1,0.973524763122308,0,0.271307929570647,1,0.00859734596044483
"5",201,1,0.389974555472705,1,0.957480028987017,0,0.531331662575112,1,0.00853698240338708
"6",251,1,0.335994417969641,1,0.9830561792322,0,0.296072231549445,1,0.0085630240758171
"7",301,1,0.548680953771389,1,0.92357532455043,0,0.440616575217496,1,0.00855301921323726
"8",351,1,0.600254301459557,1,0.930918981130598,0,0.408927797556057,1,0.00854104480574102
"9",401,1,0.154823574949813,1,0.886728319688798,0,0.255545995219613,1,0.00861854485268013
"10",451,1,0.844860749699216,1,0.930609590078989,0,0.449835583925838,1,0.00858510686808044
"11",501,1,0.15216097342464,1,0.894563021357574,0,0.384733663793469,1,0.00862704070863357
"12",551,1,0.229476556865317,1,0.904841368919236,0,0.307245087592833,1,0.00860885460228161
"13",601,1,0.757727565135608,1,0.929127742361723,0,0.236466697391446,1,0.00868590123737014
"14",651,1,0.701587103211797,1,0.975353193648303,0,0.463711703879562,1,0.00854277535082288
"15",701,1,0.730507464299484,1,0.975811720321864,0,0.304665513334657,1,0.00858350084760719
"16",751,1,0.44901892746774,1,0.936839366944957,0,0.298990116219146,1,0.00856993611309402
"17",801,1,0.810076224070653,1,0.974462101029841,0,0.377452887331393,1,0.00854112022719227
"18",851,1,0.433745384140937,1,0.931605393947814,0,0.297962074311823,1,0.00856120213993158
"19",901,1,0.525961689069328,1,0.936126281951929,0,0.579256443184037,1,0.00854100313470554
"20",951,1,0.944345474970489,1,0.785174287551539,0,0.268976133920383,1,0.00867102311541445
"21",1001,1,0.42044205480684,1,0.96218211900055,0,0.295590231540764,1,0.0085658062094606
"22",1051,1,0.767450603020115,1,0.979187898453692,0,0.368863064589212,1,0.00854433796039679
"23",1101,1,0.166078439902863,1,0.976038082760215,0,0.347829578674436,1,0.00859510505528431
"24",1151,1,0.704483875970016,1,0.960344816281898,0,0.420211004117817,1,0.00856490395793018
"25",1201,1,0.508239317197466,1,0.956181662804174,0,0.61123364816606,1,0.00853871462527913
"26",1251,1,0.595136786319967,1,0.934841958087527,0,0.366314410379395,1,0.00857211565969427
"27",1301,1,0.933371838999848,1,0.981014528728046,0,0.376418607014451,1,0.00854170615121994
"28",1351,1,0.803798537900038,1,0.950194838261818,0,0.421582075573612,1,0.0085506271193907
"29",1401,1,0.302075801543044,1,0.979565300225609,0,0.376886504510218,1,0.00859519165856628
"30",1451,1,0.192215228229826,1,0.901282417787707,0,0.250897349822429,1,0.00863753497972378
"31",1501,1,0.239312633429068,1,0.956164160442312,0,0.273175761318666,1,0.00859948603370986
"32",1551,1,0.569441424667839,1,0.916900505147795,0,0.430512946690292,1,0.00855070288898432
"33",1601,1,0.811486447805831,1,0.826568983222008,0,0.261193165249681,1,0.00871115633576399
