"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-0.0194656031310707,0.0131737750973715,0.0131737750973715,-0.032140363542553,-0.0230748688949787
"Lag 250",0.00116412629034869,-0.0130812121003856,-0.0130812121003856,-0.00946349334222978,-0.00301980868786228
"Lag 500",0.00389212091563552,-0.0204663102751235,-0.0204663102751235,0.0471141334352783,0.0246491099149774
"Lag 2500",-0.00736021736372975,-0.0204539295441285,-0.0204539295441285,-0.0288837896226771,0.0108785603155586
