"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.375189450215596,-0.725778844214801,-0.039008161817037,-0.371043522243561,0.04196
"PreClim",-0.0118177171953502,-0.365289318477153,0.326694195064192,-0.0027490138980073,0.8859
"InvClim",0.00608604510924673,-0.307946376444306,0.316920128432685,-0.000531330186051227,0.93283
"InvTime",-0.0203760198670401,-0.339388225867879,0.305990370950894,-0.0253054739717076,0.69239
"Phylo",0.12714408634915,2.98276596096686e-18,0.540092688264261,-0.00072220158633077,5e-06
"Spp",0.0654574437619943,2.22622681010421e-13,0.242364550061859,-0.000389713080845634,5e-06
"units",8.99126499234136e-05,2.22851633557898e-05,0.000236476993703651,3.59662491290804e-05,5e-06
"h2phylo",0.556869099098395,3.35360752433381e-15,0.9916946711233,0.994354380733514,5e-06
"s2",0.43042544838041,8.04210630151828e-12,0.979691189772666,0.00166286487251474,5e-06
"CVphylo",-0.177151588311481,-2.67464452624139,-4.86719785651411e-09,-45.7161563316404,0.04196
"CVspp",-0.295163974818236,-1.97946485921374,-1.11028405420446e-06,-17.8703995938977,0.04196
"CVresid",-0.0224855809511957,-0.0572640190748298,-0.00501440081087317,0.0743039456812795,0.04196
