"","Iteration","AbSpec","units"
"1",1,0.518166218289039,0.0344940501274922
"2",51,0.275561807620594,0.0341889899287558
"3",101,0.363858143606609,0.0341701646570749
"4",151,0.331070262682587,0.0340729111837447
"5",201,0.254946420189216,0.0341345510837991
"6",251,0.473968576308081,0.0345918022006853
"7",301,0.469516067989027,0.0345628824969663
"8",351,0.451156822576769,0.0343534337838629
"9",401,0.453533656546589,0.0344618185381817
"10",451,0.419320326428228,0.0346025194685735
"11",501,0.417741099854641,0.0347826998033362
"12",551,0.358531130114831,0.0342920455370726
"13",601,0.262109816618699,0.0341327081872391
"14",651,0.404436388617812,0.0342015030513431
"15",701,0.472389788653121,0.034461146862572
"16",751,0.476032459198647,0.034503189713745
"17",801,0.340283156450734,0.034289681703307
"18",851,0.333284577251472,0.0342153427599789
"19",901,0.338592722738974,0.0342012002273227
"20",951,0.414457593792233,0.0344163205767517
"21",1001,0.436924104925342,0.0344597098943362
"22",1051,0.401467207659673,0.0343880079107764
"23",1101,0.504747681523208,0.034773782514462
"24",1151,0.411220220962252,0.0344436091135841
"25",1201,0.365111507570321,0.0342865553757136
"26",1251,0.466652758635083,0.0346641264694527
"27",1301,0.342001282885041,0.0341555856225958
"28",1351,0.416644903312545,0.0343564508138365
"29",1401,0.307626768587809,0.0342145060322082
"30",1451,0.335141068093004,0.0342392810484769
"31",1501,0.378677338367079,0.0342715204745601
"32",1551,0.265176488934332,0.0341073242473652
"33",1601,0.466666420679366,0.0342845010006052
"34",1651,0.330248329190315,0.0342585894534543
"35",1701,0.32402220768577,0.0342571137767936
"36",1751,0.303649752677361,0.0342410813174642
"37",1801,0.32296930396317,0.0341899073345375
"38",1851,0.457623496582263,0.0343535381196
"39",1901,0.45898768473943,0.0343430200772672
"40",1951,0.410901107247412,0.0343806174880101
"41",2001,0.422692335965178,0.0342198672842746
"42",2051,0.447132857119251,0.034593354687617
"43",2101,0.459112299017261,0.0348248025951166
"44",2151,0.373830094412543,0.0342982788921629
"45",2201,0.273124974075415,0.0340862551199185
"46",2251,0.456145126734541,0.034221314800626
"47",2301,0.370231324230378,0.0342995985722775
"48",2351,0.342745610938523,0.0342510047004242
"49",2401,0.440689253644502,0.0345550144896098
"50",2451,0.40847706726691,0.0345124793848503
"51",2501,0.404626616707262,0.0345449480078717
"52",2551,0.412790505465524,0.0344480203151992
"53",2601,0.34955435772592,0.0343339309909172
"54",2651,0.412019200500072,0.0342993183590387
"55",2701,0.407058159797339,0.0340753320697538
"56",2751,0.379206827062908,0.0342912241986041
"57",2801,0.282940096364084,0.0341469397385765
"58",2851,0.309487372975856,0.034160965649286
"59",2901,0.377660981523218,0.0344751543065571
"60",2951,0.371150911422556,0.0341840698745789
"61",3001,0.405038515226889,0.0342292465898568
"62",3051,0.379993237673889,0.0343053143984159
"63",3101,0.392111375132292,0.0345559758753835
"64",3151,0.37310228788175,0.0342560993447648
"65",3201,0.363998425597964,0.0342343410309407
"66",3251,0.309169213252193,0.0341352547278351
"67",3301,0.423195651436115,0.0342895951393586
"68",3351,0.479285757520124,0.0345068679478933
"69",3401,0.390170791991792,0.0343827660477522
"70",3451,0.461193070206594,0.0345363723764832
"71",3501,0.363227710757162,0.0343347011053047
"72",3551,0.279251605438209,0.0341695820386761
"73",3601,0.2948980686389,0.0341837791657929
"74",3651,0.364656206281563,0.034231867631915
"75",3701,0.418516013017682,0.0346064484836188
"76",3751,0.333640875188228,0.0342679436018712
"77",3801,0.421606310785516,0.0344814625359659
"78",3851,0.391317227905866,0.0344049453937777
"79",3901,0.423425225272828,0.0344516310656472
"80",3951,0.445283031684697,0.0345219606712146
"81",4001,0.368576324049413,0.0342430096021201
"82",4051,0.313837162741222,0.0342327951083707
"83",4101,0.386025474238717,0.0341600966938196
"84",4151,0.365670329118935,0.0342817631646258
"85",4201,0.295450683443058,0.0341993402482885
"86",4251,0.426932040945044,0.0345198171559081
"87",4301,0.360973194773707,0.0342969705871813
"88",4351,0.32074824521018,0.03423589105476
"89",4401,0.413852385338269,0.0344465221402243
"90",4451,0.314952531353114,0.0341932105432723
"91",4501,0.401831325791481,0.0342303229324559
"92",4551,0.504949648815684,0.0347778695506792
"93",4601,0.31901639177217,0.0341935435682462
"94",4651,0.364468908455918,0.0342734408793435
"95",4701,0.278118603186733,0.0341711732644611
"96",4751,0.414822838808472,0.0340971236753675
"97",4801,0.438814903083474,0.0343504404935929
"98",4851,0.465304328201263,0.0347082707076894
"99",4901,0.277080165915959,0.0341342921812545
"100",4951,0.356916078856131,0.0342068530848285
