"","Iteration","Intercept","scPreClim","scInvClim","InvTime"
"1",1,0.03235096220894,-0.0360805021314416,-0.0781169816428688,0.0221673008092128
"2",51,0.0411506266673232,-0.0507931063586914,-0.00919230809660492,0.046414180645322
"3",101,0.0232818404834556,-0.0440825161548129,-0.0337134119531793,0.0268729778470612
"4",151,0.0264414229831394,-0.0327229594647349,-0.0193990301379986,0.0329359736542863
"5",201,0.0394374750850042,-0.0412564686530257,-0.000239183000948912,0.0492829246688344
"6",251,0.0296609680554987,-0.0329213370130201,-0.0643258518968821,0.029729241863901
"7",301,0.0290373175402888,-0.0319064160141158,-0.062525698362373,0.0302630612335662
"8",351,0.0259805932702307,-0.0336182741127969,-0.054998663698723,0.0303853101445184
"9",401,0.0250449284682812,-0.0293998085979687,-0.0555353163286566,0.0330101994911359
"10",451,0.0161047969341699,-0.0408922271007305,-0.0323501164228592,0.0460991541078727
"11",501,0.012235089968764,-0.0396084217923842,-0.0173234114758336,0.0547380404864149
"12",551,0.0206671704600426,-0.0458557348767447,-0.0173565907368523,0.0490721322206207
"13",601,0.0365756606649289,-0.0428924596649206,-0.0067630038933712,0.0453199529857673
"14",651,0.0245238350146948,-0.0316268686806118,-0.036151323901676,0.0350865286384716
"15",701,0.0294527620468782,-0.0309581011894898,-0.0622615832158079,0.0291729307059263
"16",751,0.0279711847943619,-0.0352471316590172,-0.0660003540457579,0.02590739705063
"17",801,0.0194637519909935,-0.0568830826268993,-0.0196348038136839,0.0479750601693425
"18",851,0.0229199439656626,-0.0467541126296354,-0.0178680296007056,0.0445090044303385
"19",901,0.0221169083829593,-0.0449490813361591,-0.0215382350151808,0.0400125197232512
"20",951,0.0206862641313841,-0.0325769165958476,-0.0338765832698751,0.0413623393058855
"21",1001,0.0206283148028545,-0.0398232742650462,-0.0484546447124672,0.0340656022243486
"22",1051,0.00886193058527645,-0.0548282733591698,-0.0304817583482205,0.0360454756616412
"23",1101,0.0316217852757331,-0.0377074114082917,-0.0765189519642489,0.0248531700405225
"24",1151,0.0198300756242536,-0.0337847286842852,-0.032048543670303,0.0427915250568322
