"","Iteration","Pass.Stat.Int","Pvalue.Int","Pass.Preclim","Pvalue.Preclim","Pass.InvClim","Pvalue.InvClim","Pass.InvTime","Pvalue.InvTime","Pass.Halfwidth.Int","Ratio.Int.","Pass.Halfwidth.Preclim","Ratio.Preclim","Pass.Halfwidth.InvClim","Ratio.InvClim","Pass.Halfwidth.InvTime","Ratio.InvTime"
"1",1,1,0.0598838265410435,1,0.58040852845047,1,0.234746043481807,1,0.25195068228706,1,-0.00600556413118548,0,-0.137490464137968,0,-228.884445475231,0,-0.402124773796441
"2",51,1,0.0962518704770585,1,0.088025028495999,1,0.372960410344113,1,0.627655739465864,1,-0.0125484028570661,1,-0.0995404871001461,1,0.0927305443956195,0,-0.236018060106463
"3",101,1,0.315834516213273,1,0.05804646249616,1,0.0571158513807628,1,0.560052926755346,1,-0.00660074751841228,0,0.552482547852826,0,-6.23170677860714,0,-0.39148437499993
"4",151,1,0.537940239749475,1,0.330942546820009,1,0.311125651181451,1,0.1373198304424,1,-0.00737542050222466,0,0.185252089833718,0,0.33058708092495,0,-0.142590199708429
"5",201,1,0.613111664995788,1,0.368402240446385,1,0.365057036624392,1,0.143356200120016,1,-0.0159066363574622,0,0.131921248858777,0,0.162140994944091,0,-0.13400329087276
"6",251,1,0.318977498258934,1,0.144167781551083,1,0.862338805329025,1,0.0994526973093806,1,-0.0161786182058943,1,0.0966076015736722,0,0.214220309234761,1,-0.084107379177695
"7",301,1,0.088874698692894,1,0.320726436933704,1,0.360006043973339,1,0.520666804846485,1,-0.0079530281147013,1,-0.0792384653260402,0,0.206762834432506,0,0.397186393975627
"8",351,1,0.110821080419039,1,0.197343720202425,1,0.350971341986823,1,0.583012967778773,1,-0.00404407266929655,0,-0.116935241958662,0,0.10628863011949,0,-0.140240262035774
"9",401,1,0.0756409511324135,1,0.0513903923488375,1,0.310176733371278,1,0.595149026098149,1,-0.0130430987344066,0,0.249785111896977,0,-0.159347347649555,0,0.512306872165274
"10",451,1,0.599613093869537,1,0.281099549786773,1,0.236253093154977,1,0.45693237457168,1,-0.00348170897904795,0,0.707766156465315,0,-0.381189979084446,0,-0.209434792557
"11",501,1,0.732706570209898,1,0.282337694069374,1,0.293483980877493,1,0.1882821782557,1,-0.00222120981263044,0,-0.156109236558185,0,0.335938315769475,0,5.97161316897171
"12",551,1,0.120730741712399,1,0.20687486734226,1,0.173318187991221,1,0.168054079201232,1,-0.00986161305632631,1,0.0858630482534983,1,-0.0603875821635126,0,0.133052055614216
"13",601,1,0.504746883704159,1,0.222397750884699,1,0.792492388801728,1,0.473514170463385,1,-0.00992085816513021,0,-1.15072671493197,0,0.362139228593793,0,0.471119746445041
"14",651,1,0.504819792935014,1,0.259497666800526,1,0.126495910440924,1,0.134356232570916,1,-0.00712655284234652,0,0.154567960881165,0,-1.00261697814951,0,0.518804167358584
"15",701,1,0.769579568879504,1,0.253261346457279,1,0.296825163497061,1,0.253886936962494,1,-0.00398154426719567,0,0.205594812509386,0,-0.242914937044758,0,-0.119626574946254
"16",751,1,0.197523060452941,1,0.300278932970049,1,0.12074405094622,1,0.103436157003978,1,-0.00574824046147417,0,0.391644369951025,0,-0.276091630989518,0,0.347740250221273
"17",801,1,0.802750144399991,1,0.146283787223883,1,0.297113644317831,1,0.1895691395183,1,-0.00331847317679317,0,0.204828551682324,0,0.182575684676409,1,-0.0921067733680017
"18",851,1,0.100847618943698,1,0.160844896769916,1,0.104379676450326,1,0.149303654572716,1,-0.00672578227160874,0,0.343989149355678,0,-0.202683620419328,0,0.174249051655669
"19",901,1,0.743784353618261,1,0.263255503968316,1,0.314052779173782,1,0.182118917808339,1,-0.00325394911145711,0,-0.225967410535863,0,0.238587777835447,0,-0.917353448162349
"20",951,1,0.764692758076911,1,0.149785333590302,1,0.250644959806477,1,0.121320895382617,1,-0.00481381670404709,0,-0.172338071721654,0,-0.361544966071931,0,0.110412602527106
"21",1001,1,0.0884736748621439,1,0.301929939938129,1,0.405111154507912,1,0.551062591760184,1,-0.00394791273943399,0,-0.185373775951128,0,0.10686700770493,0,-0.181478627209091
"22",1051,1,0.799503292076645,1,0.258614215236029,1,0.299382906225176,1,0.197543138764799,1,-0.00219257458630117,0,-0.228127223744487,0,0.199736377970695,0,-0.230024186393522
"23",1101,1,0.798623747578385,1,0.232833566881201,1,0.245155287586757,1,0.761223102192499,1,-0.011994716055942,0,0.6846960895526,1,0.0769242981011015,0,-0.271982795819648
"24",1151,1,0.135078727720135,0,0.0359413927387435,1,0.610446565100879,1,0.146365121123065,1,-0.0065727157590761,NA,NA,0,0.516537351844921,0,-0.490223696614502
"25",1201,1,0.528402712463125,1,0.232791256455522,1,0.361088346799521,1,0.129697529023383,1,-0.00430255292378914,0,-0.931788758501047,0,-0.971376789585473,0,0.169945641894046
"26",1251,1,0.0805233397286111,1,0.147068986427161,1,0.235096487414475,1,0.431356230441111,1,-0.00633834299803714,0,-0.770353070789379,0,-0.141187412254603,0,1.16878960369582
"27",1301,1,0.0626267223519633,1,0.315625954405324,1,0.315991882226095,1,0.518663691291035,1,-0.00272504380462999,0,0.370353715253928,0,-0.120050614497085,0,0.947493012544049
"28",1351,1,0.628358234693722,1,0.397349373199125,1,0.336876491413323,1,0.346309530694168,1,-0.0100461501769408,1,0.0770058468996146,0,0.106265696357726,0,-0.108755793849948
"29",1401,1,0.593969312989357,1,0.64011154861996,1,0.219471457726454,1,0.102453043184949,1,-0.00427785120420437,1,-0.0459374924513348,0,0.124797191564673,0,0.76620285792878
"30",1451,1,0.255664635500322,1,0.288711179335498,1,0.130913030132894,1,0.0949064917159108,1,-0.00436028799543423,0,0.740108452646704,0,-0.370011116067561,0,0.553059980312462
"31",1501,1,0.569972056484195,1,0.275652022524672,1,0.379928446402938,1,0.127938600858962,1,-0.00796787377216443,1,0.0707922107044983,0,-0.128291697152798,0,-0.467918270217368
"32",1551,1,0.0907657812003226,1,0.463565369960912,1,0.241030951474015,1,0.227984135923613,1,-0.0033198652520234,0,-0.151814942999544,0,0.123051224397474,0,-0.292440175424249
"33",1601,1,0.608195263922419,1,0.490398562810645,1,0.229434217713828,1,0.115784960776947,1,-0.0032968209246568,0,-0.292672118303428,0,0.366181650629711,0,0.674359955021333
"34",1651,1,0.190712451418882,1,0.285039716461558,1,0.171634032851535,1,0.113451046014404,1,-0.00637837503163681,1,-0.0584800836949064,0,0.602009309266173,0,0.265678902181753
"35",1701,1,0.103685108873804,1,0.20797334563189,1,0.167320616498628,1,0.149019629257622,1,-0.00330529444094453,0,0.553176148680782,0,-0.223975312063792,0,0.172634224201347
"36",1751,1,0.0707146785400209,1,0.200124397657005,1,0.421749435163939,1,0.334447512965789,1,-0.00271519118654619,0,-0.502681002727509,0,0.727855644701626,0,-0.114625801307243
"37",1801,1,0.7436342523493,1,0.297165880682986,1,0.342131520881021,1,0.146019985626279,1,-0.00384514377955839,0,-0.235909306344541,0,0.139177205277087,0,-0.244819036793438
"38",1851,1,0.828679549376954,1,0.104618920714563,1,0.186339694443447,1,0.283288137977971,1,-0.00315550809373401,1,0.0528590634849222,0,0.329812806948286,0,0.390252697223371
"39",1901,1,0.0618865173766078,1,0.148927217941949,1,0.126797080957489,1,0.0754096706732572,1,-0.0142859006137953,0,-0.233601095813188,0,-0.302983784041949,0,0.131169238008903
"40",1951,1,0.0820019684910137,1,0.216274517826769,1,0.197803524922953,1,0.0520073907035049,1,-0.00488997146598192,1,0.0924250359241576,0,-0.111571882219414,0,-0.201541650493647
"41",2001,1,0.154839762500438,1,0.385154561674155,1,0.188371622137185,1,0.345140550024619,1,-0.0045907679088917,0,-0.123348750781928,0,0.327002093265582,0,0.529034859710652
"42",2051,1,0.729901764079396,1,0.322925516844585,1,0.373086476893584,1,0.145323058152951,1,-0.00284393849620429,1,-0.0939733228282307,1,0.0834254508626994,0,1.97072089933352
"43",2101,1,0.174675762989279,1,0.306109315044072,1,0.13833338784908,1,0.113052765557105,1,-0.00411978678495201,0,0.361317625371216,0,0.936203409398613,0,-0.564084390781894
"44",2151,1,0.539697706240931,1,0.230625125557377,1,0.375844914000945,1,0.127277552094235,1,-0.00263632539961016,0,-1.26313718609758,0,1.75502499758249,0,-0.798370624509845
"45",2201,1,0.696507715137165,1,0.433663088702146,1,0.295069604894367,1,0.108648900877982,1,-0.00349223543403652,0,-11.6073648205536,0,0.100301459556977,0,-0.181090973668846
"46",2251,1,0.0530847165818487,1,0.230447322444066,1,0.379935196327636,1,0.346049411334001,1,-0.00997992669903408,0,-0.448980383235412,0,0.135406761212826,0,-0.923817950713678
"47",2301,1,0.538192784712079,1,0.222982039066141,1,0.311426382693077,1,0.126391706663293,1,-0.00253757430311723,0,-150.970007787646,0,-1.07629269961213,0,0.785284945265621
"48",2351,1,0.827137286969962,1,0.237544732423369,1,0.346390823314385,1,0.139390750149798,1,-0.00601885370812015,0,-0.249344646913713,0,-0.268966712261685,0,-0.132369879532439
