"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.AbSpec","Pvalue.AbSpec","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.AbSpec","Ratio.AbSpec","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.422308166872386,1,0.299177831618772,1,0.955665033151281,0,1.25189921623763,0,1.29036435244757,1,0.00761007191982689
"2",51,1,0.580270679512071,1,0.940680404658277,1,0.955426814625031,0,1.36315900042707,0,0.58932124994966,1,0.00766978627114974
"3",101,1,0.680092571378134,1,0.0705246492022065,1,0.949683961837761,0,0.454308344242909,0,0.589590958492802,1,0.00762982021566229
"4",151,1,0.725738876403466,1,0.739969837933173,1,0.925449593354112,0,1.63316505885859,0,0.813065545033216,1,0.007653566283912
"5",201,1,0.426348715220562,1,0.465859975407882,1,0.927608168536021,0,1.25689537127682,0,0.789217525133905,1,0.0076458489297876
"6",251,1,0.697734929407036,1,0.259004480087495,1,0.97899193730849,0,1.39390553338639,0,0.508033836844666,1,0.00762608749412368
"7",301,1,0.616094244387758,0,0.00019859205130246,1,0.944276972851443,0,0.626362229296581,NA,NA,1,0.00763861356393952
"8",351,1,0.658153930124337,1,0.83260300787822,1,0.917405747315788,0,1.41194746829059,0,0.672541493475578,1,0.00761121013446474
"9",401,1,0.761493337480226,1,0.284214131094745,1,0.957912985930435,0,1.06303540031039,0,0.397503471665897,1,0.00765559758700321
"10",451,1,0.712381404915966,1,0.889908220209205,1,0.943883012911631,0,1.65530022071041,0,0.791168315069494,1,0.0076370553290977
"11",501,1,0.434864506572209,1,0.475226217796116,1,0.91155427738005,0,1.18212852779086,0,0.665159232571903,1,0.00761796061985408
"12",551,1,0.608120447401389,1,0.334096229278059,1,0.978560575770535,0,1.46313705582295,0,0.541842766892876,1,0.0076245172182015
"13",601,1,0.925665860103801,0,0.0426380754017546,1,0.905638819181369,0,0.397951923172261,NA,NA,1,0.00768805315035222
"14",651,1,0.670874652418193,1,0.271355387736208,1,0.959882839400705,0,1.5194047144747,0,0.803853000929375,1,0.00765142296599552
"15",701,1,0.800035507383047,1,0.81740262672216,1,0.96371296433658,0,1.18939314486145,0,0.651257501807063,1,0.00765661051833386
"16",751,1,0.624094786734606,1,0.254002099488362,1,0.961746938562036,0,1.45423591306379,0,0.790204634685256,1,0.00763344184011422
"17",801,1,0.681222411983013,1,0.775693154498024,1,0.94044969096636,0,1.23687240770931,0,0.720950365168517,1,0.00763249067688036
"18",851,1,0.50848719048057,1,0.243993427291908,1,0.974532310289426,0,1.28452140672681,0,0.781051927241131,1,0.00763302320739444
"19",901,1,0.701758583552879,1,0.943131537559285,1,0.924209620451692,0,1.37689572884704,0,0.707278579370646,1,0.00761602565221903
"20",951,1,0.69116177112173,1,0.704509609665473,1,0.963674208931602,0,1.27937221220152,0,0.608198667690586,1,0.00762960927101834
"21",1001,1,0.78433789952335,1,0.904553887186567,1,0.941105452053507,0,1.33295056645516,0,0.760111531797277,1,0.0076391035666373
"22",1051,1,0.701170853746673,1,0.911533916383025,1,0.922490026908168,0,1.38175137252331,0,0.717067952773562,1,0.00761584977272377
"23",1101,1,0.764182329960635,1,0.903476857850703,1,0.942011021741926,0,1.50598927027473,0,0.633101427051437,1,0.00765610657204135
"24",1151,1,0.77114332180554,1,0.446554531889622,1,0.967897971699993,0,1.20139409674474,0,0.52279748144992,1,0.00764302943066583
"25",1201,1,0.68480413735145,1,0.734125593257016,1,0.948621942062888,0,1.66426434058723,0,0.76780219353139,1,0.00765092358558595
"26",1251,1,0.315064303681322,1,0.259402545533439,1,0.975076036284121,0,1.45085383171065,0,0.948474777857671,1,0.00765638938329366
"27",1301,1,0.719600479281286,1,0.648747598603307,1,0.942815422716443,0,1.31944534147847,0,0.742145574843284,1,0.00763312757377385
"28",1351,1,0.640067904278342,1,0.254372174393168,1,0.950616996769716,0,1.44508482999732,0,0.784873238805816,1,0.00763898380325788
"29",1401,1,0.631400035746742,1,0.247845478879117,1,0.975472441132487,0,1.53142048298192,0,1.04467780848185,1,0.00763258286427354
"30",1451,1,0.703257023717213,1,0.673862312325125,1,0.961601941766442,0,1.59398284550135,0,0.720622468048314,1,0.0076485240373638
"31",1501,1,0.685579441899242,1,0.7448916443899,1,0.952050326576307,0,1.6786169081878,0,0.789546686163803,1,0.00763997046490628
"32",1551,1,0.646782451544581,1,0.317485484839991,1,0.946721452600535,0,1.35698899523527,0,0.784355826595566,1,0.00761002703237186
"33",1601,1,0.656822175827075,1,0.260126819309956,1,0.964962476391011,0,1.57888374243957,0,0.829756783304927,1,0.00764066262705053
"34",1651,1,0.603385291474961,1,0.228494035988446,1,0.968601161178264,0,1.46476365676663,0,0.815709966202946,1,0.00763944778371878
"35",1701,1,0.763816668393993,1,0.465701934425074,1,0.958077252267439,0,1.36698289843412,0,0.564885269420134,1,0.00763427393395617
"36",1751,1,0.878635681601745,1,0.381517353459515,1,0.913538235084847,0,0.489116200631755,0,0.677644286268438,1,0.0076294066235314
"37",1801,1,0.729108436896666,1,0.779824521297584,1,0.93968760417955,0,1.35543956323274,0,0.729538105361197,1,0.00764072116799788
"38",1851,1,0.419997828810525,1,0.146002919184231,1,0.959658843324855,0,0.620158221555678,0,0.548103966157712,1,0.00765085256812196
"39",1901,1,0.767407183853623,1,0.812823271615876,1,0.97093874827269,0,1.75085608932693,0,0.603045062423949,1,0.00765171865379415
"40",1951,1,0.435796485206916,1,0.95778839660298,1,0.955681885105004,0,1.62153392308415,0,0.567293139635142,1,0.00764728173300758
"41",2001,1,0.632271045944626,1,0.34015703287206,1,0.948882403654594,0,1.26896125003236,0,0.817992506912177,1,0.00762442087425664
"42",2051,1,0.740615562390471,1,0.897221489085808,1,0.938813531418656,0,1.38940312746271,0,0.786754287147429,1,0.00763746684377195
"43",2101,1,0.668162850067235,1,0.230532521480531,1,0.978330049747679,0,1.41439375180044,0,0.827063003512384,1,0.00763668402597755
"44",2151,1,0.71047997889378,1,0.715391346789747,1,0.95350963362247,0,1.65506615394523,0,0.776369454210738,1,0.00764888392190022
"45",2201,1,0.449306868303015,1,0.210165930921802,1,0.975830081110821,0,1.35366443544346,0,0.824718175140806,1,0.00763682170308889
"46",2251,1,0.647142987645695,0,0.000405785293151162,1,0.931030562821906,0,0.673160204791194,NA,NA,1,0.00763564879817261
"47",2301,1,0.683484899096061,1,0.72511482855071,1,0.945066944647936,0,1.67465796903465,0,0.769503861436732,1,0.00765526285057895
"48",2351,1,0.792379469601773,1,0.26889873593083,1,0.901811535626013,0,0.53168494119318,0,0.576742126361155,1,0.00765986207574794
"49",2401,1,0.568466629434018,1,0.656294329028064,1,0.925267719731402,0,1.155066306678,0,0.571913143448292,1,0.00763472283794748
"50",2451,1,0.635518907751382,1,0.221236652907992,1,0.97809710631855,0,1.50373913401501,0,0.87107109826448,1,0.00763280740994272
"51",2501,1,0.63494857429388,0,4.75223020419691e-05,1,0.913140581177058,0,0.659051007825316,NA,NA,1,0.00766211605406935
"52",2551,1,0.701292808308554,1,0.983158557529392,1,0.98884952914065,0,1.40858064644159,0,0.517202257412917,1,0.00765189849631662
"53",2601,1,0.66099836016688,1,0.956386842380259,1,0.970750248568508,0,1.43585182749814,0,0.580835483299246,1,0.00764243310254407
"54",2651,1,0.907728697041041,1,0.239292591873305,1,0.956317519159334,0,0.559455838185997,0,0.585046229793407,1,0.00766182518638298
"55",2701,1,0.61538248304451,1,0.734794012271282,1,0.948096375791533,0,1.37270220905405,0,0.697885039243859,1,0.00766030743960767
"56",2751,1,0.550976102806773,0,5.1902803632764e-07,1,0.965361561783776,0,0.657539934980892,NA,NA,1,0.00764338406525885
"57",2801,1,0.787106612481536,1,0.682192259558026,1,0.96213080688598,0,1.24903765072614,0,0.691132495054894,1,0.007627860170824
"58",2851,1,0.614055363825613,1,0.197715852974448,1,0.979448489462537,0,1.44731041359537,0,0.94810340723418,1,0.00762817336997024
"59",2901,1,0.736840166925897,1,0.788746089244316,1,0.941917008301219,0,1.34554318511275,0,0.704778063136291,1,0.00762164514533737
"60",2951,1,0.659931453304462,1,0.234646082034363,1,0.971546680791412,0,1.31883160493832,0,0.865755079476313,1,0.0076415693953441
"61",3001,1,0.130645788857266,0,2.74290123438714e-05,1,0.974083422415686,0,0.523635882868936,NA,NA,1,0.0076717475780751
"62",3051,1,0.565652882530121,1,0.63518223436373,1,0.959984950781992,0,1.48136908629088,0,0.697129486806709,1,0.00764557069878191
"63",3101,1,0.627121318185668,1,0.217413215300602,1,0.977439794052071,0,1.51608880304527,0,1.01474417570054,1,0.00763031358959727
"64",3151,1,0.416240908127127,1,0.0854858370495818,1,0.948415232497137,0,0.452125317820178,0,0.610612311145387,1,0.00764954138925595
"65",3201,1,0.778289035837468,1,0.100376360462862,1,0.894551524001841,0,0.52662144477805,0,0.682935826380169,1,0.00764223211205129
"66",3251,1,0.602190067743441,1,0.639115724285479,1,0.943741419340162,0,1.52623506768455,0,0.722329864823568,1,0.00762785299285813
"67",3301,1,0.395695236832806,1,0.316478446282141,1,0.965079456615861,0,1.23667147605367,0,0.789869139637493,1,0.00764183235258377
"68",3351,1,0.293320337182305,1,0.117078970871867,1,0.893492439908967,0,0.635599206912753,0,0.548929083833612,1,0.00764576912075529
"69",3401,1,0.804358227195028,1,0.587341539557047,1,0.958411255728543,0,1.26538911634583,0,0.508760787975112,1,0.00766283856340066
"70",3451,1,0.432600058526935,0,0.000121829628018988,1,0.934465982784783,0,0.650885044603365,NA,NA,1,0.00766086303791801
"71",3501,1,0.628836902592924,1,0.229688678464296,1,0.978975228880408,0,1.62656660826923,0,0.966863295845677,1,0.00763165628110537
"72",3551,1,0.780640915688347,1,0.88705829961127,1,0.924959944828368,0,1.33658032100799,0,0.76568872312586,1,0.00763571827501795
"73",3601,1,0.658847254258236,1,0.803677006941624,1,0.917666459969317,0,1.36583118240263,0,0.656164574543818,1,0.00765596367712127
"74",3651,0,0.0423285846016468,0,6.01765111840624e-06,1,0.945484173897825,NA,NA,NA,NA,1,0.0076636637275618
"75",3701,1,0.618762387359976,1,0.312896734326821,1,0.924439586038649,0,1.35755428476559,0,0.721160657486279,1,0.00761028042699788
"76",3751,1,0.449919917337214,1,0.301331230601224,1,0.947248798714454,0,1.30842919890341,0,1.2662553770235,1,0.00762057768689365
"77",3801,1,0.625170280505635,1,0.513106380641455,1,0.970670996135797,0,1.23114312949177,0,0.609754370768675,1,0.00761723692153735
