"","Iteration","AbSpec","units"
"1",1,0.0041947538955172,0.0348513388160976
"2",51,0.000643839342186562,0.0295263990829286
"3",101,-0.00162330002947223,0.0376717757183619
"4",151,-0.0223095538132454,0.0326087159714776
"5",201,-0.0218837331861491,0.0320430438918732
"6",251,0.436060708948163,0.0342405269840911
"7",301,0.00813909067906835,0.0361869555038754
"8",351,-0.00241484492672281,0.0356636133837091
"9",401,0.0155958731844481,0.0383820604223664
"10",451,-0.00192390338434504,0.0329309584059392
"11",501,-0.0215949625531011,0.0304972137350269
"12",551,0.0849666890891777,0.0345924008601985
"13",601,-0.00308209079591132,0.0344530270103142
"14",651,0.207603137651331,0.0342681571565924
"15",701,0.0303973510046381,0.0347298316709373
"16",751,0.220847696248148,0.0336239114691539
"17",801,0.000212351383629237,0.0309889097577913
"18",851,0.24504913284059,0.0336109124696455
"19",901,-0.0227962147861841,0.0296264815255026
"20",951,-0.0200236934339142,0.032071333714451
"21",1001,0.00150696211595787,0.0300328221161474
"22",1051,-0.0227286520777084,0.0294355897739128
"23",1101,0.00654720097163141,0.035440179259818
"24",1151,0.487964622921376,0.0333271838838965
"25",1201,-0.0241703568672339,0.0329764335243496
"26",1251,0.00288990072269953,0.0267751568835247
"27",1301,0.000238487783868202,0.0291402452656193
"28",1351,0.0111761557842826,0.0342523086588034
"29",1401,0.00355800277540507,0.0336333116431549
"30",1451,0.193788137469758,0.0333409601385936
"31",1501,-0.0237624319703862,0.0327115809788437
"32",1551,-0.0119946456357319,0.0309004092934646
"33",1601,-0.00797017746331524,0.0347087894511287
"34",1651,0.231965449175822,0.0327996910029159
"35",1701,0.238125184596963,0.0350784782915681
"36",1751,0.00108683206497979,0.030214872850032
"37",1801,-0.0235408910567349,0.0298828887600812
"38",1851,-0.0142482539123967,0.0340964985680694
"39",1901,0.00494322531048551,0.0363727220282832
"40",1951,0.000222206795064146,0.0355172165071252
"41",2001,-0.00188288401110884,0.0338375192741703
"42",2051,-0.0233684070213168,0.0302686489159925
"43",2101,0.255082556401185,0.0336936760932732
"44",2151,-0.0247780799784742,0.0326684261065831
"45",2201,-0.013146620482244,0.033099561318959
"46",2251,0.0209353511448039,0.0420696307193225
"47",2301,-0.0241407466067532,0.0330885427737551
"48",2351,-0.0237888024227192,0.0302620254164654
"49",2401,0.000507412115635028,0.0296080061996658
"50",2451,-0.00925560064383959,0.0294017554916841
"51",2501,-0.000835735750258808,0.0315872879610784
"52",2551,0.122167762311297,0.0375448957818125
"53",2601,0.0422278469772895,0.0369716969424548
"54",2651,-0.0194000818116153,0.0319584956845331
"55",2701,-0.000776667289461047,0.0319208924463009
"56",2751,-0.00966854262003109,0.0346172925838352
"57",2801,0.000326500931042771,0.0329551315306127
"58",2851,-0.00400576547255258,0.0298426323291968
"59",2901,-0.00160260379012633,0.0286578274663844
"60",2951,0.247095409641841,0.0339546189732816
"61",3001,0.036837966249,0.0346859838447679
"62",3051,0.00253334069400682,0.0288983650473837
"63",3101,0.00532886482226223,0.0336917356386211
"64",3151,-0.000550135229744741,0.035559704978568
"65",3201,0.000776937558536,0.0294913033922064
"66",3251,-0.00126404872998526,0.0312153031592117
"67",3301,0.197613550414566,0.0335703016102987
"68",3351,0.000294173695493573,0.0353324218752519
"69",3401,0.135717195333104,0.0289812990298744
"70",3451,0.0010279671785246,0.0346227263646674
"71",3501,0.322411044484794,0.0334274797036758
"72",3551,0.00162199360288373,0.0300456787522392
"73",3601,-0.000982279405807184,0.0308165964924219
"74",3651,-0.00290583426369079,0.0316912040272078
"75",3701,-0.00329278704676452,0.0313511120066643
"76",3751,0.00382231454477209,0.0336072293976022
"77",3801,-0.0171469119782317,0.0332582083377465
"78",3851,0.0576173002700754,0.0381226255279746
"79",3901,-0.000573615715969158,0.0331283262019683
"80",3951,0.000539304255200773,0.0298462987315063
"81",4001,-0.0192268259797439,0.032618446894745
"82",4051,0.205363489628805,0.03337234728311
"83",4101,8.48612222054686e-05,0.0294892750671351
"84",4151,-0.0233719953224909,0.0324743826062244
"85",4201,-0.0189542867975113,0.0302611928373969
"86",4251,0.00460895315718317,0.0343100569729822
"87",4301,0.140328239813103,0.0378547562943453
"88",4351,0.168145314184903,0.0389954508031785
"89",4401,0.00781766261209642,0.0409579244772249
"90",4451,0.00143583864287369,0.0339854491037906
"91",4501,0.114067816409902,0.0366531235592943
"92",4551,0.00190272133530665,0.0337098181050078
"93",4601,-0.00459935883029266,0.0332836146916448
"94",4651,-0.0050077188271597,0.0336678427595883
"95",4701,-0.019004804325735,0.034254993565892
"96",4751,0.00703707941043613,0.0364458930710498
"97",4801,0.00175754906139503,0.0312547572602597
"98",4851,-0.000769215822120384,0.0337435714086672
"99",4901,0.156607765042593,0.0331604857856893
"100",4951,0.00089160989616933,0.0287563230056077
